file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,The Movement for Civil Liberties issued a travel warning for Missouri.,Civil rights group issues travel warning for Missouri,0.8629341721534729
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,The National Association for the Advancement of Colored People (NAACP) has issued a travel warning for people of color traveling to Missouri due to discriminatory state laws and racist attacks.,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.8998051285743713
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""The NAACP Travel Advisory for the state of Missouri, effective August 28, 2017, urges African American travelers, visitors, and residents of Missouri to exercise increased caution while traveling throughout the state due to a series of racially motivated incidents that have been occurring statewide,"" the statement from the association reads.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.8640813231468201
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","The NAACP stated that it took this step based on current Missouri state laws that make it difficult to defend against racially motivated crimes in court, as well as the actions of law enforcement agencies that disproportionately target minorities.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.8328724503517151
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,„Dochází k porušování občanských práv.,"The translation of the given Czech text to English is:

""There is a violation of human rights.""","""You have violations of civil rights that are happening to people.",0.6026652455329895
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""People are being stopped by police just because of the color of their skin, they are attacked or killed,"" said Rod Chapel, president of the NAACP in Missouri, to the Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.881102442741394
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,„Hromadí se nám dosud největší množství stížností.“,"The translation of the given Czech text to English is:

""Still, a large number of complaints is piling up.""",We are hearing complaints at a rate we haven't heard before.,0.5895982384681702
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.",It is the first warning of its kind that the organization has issued for the United States.,It is the first such warning that the organization has issued for a state in the US.,0.9192374348640442
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Among the incidents cited by the organization were racially motivated slurs directed at black students at the University of Missouri and the death of Tory Sanders, a black man from Tennessee.

Note: Tory Sanders was a black man from Tennessee who died in 2014 after being shot by a police officer.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.8554580807685852
translations_llama-3.1-8b-instant_cs-en.csv,llama-3.1-8b-instant,cs-en,cs,en,unspecified,"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders died under disputed circumstances at the beginning of this year after running out of gasoline while traveling across the state, and the police arrested him without charges for committing a crime.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",0.8719708323478699
