file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...

Hier ist eine mögliche Übersetzung des restlichen Textes:

- ""Elections européennes"" könnte auch als ""Europawahlen"" übersetzt werden.
- ""Objectifs"" könnte auch als ""Ziele"" übersetzt werden.
- ""financement"" könnte auch als ""Finanzierung"" übersetzt werden.

Wenn Sie mir den restlichen Text geben, kann ich Ihnen eine vollständige Übersetzung anbieten.","Europawahlen: Ziele, Finanzierung...",0.4602857232093811
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Kandidatur der Liste ""Gelbe Westen"".

Wenn Sie möchten, dass ich die restlichen Fragen übersetze, bitte ich um die Fortsetzung des Textes.","Vier Fragen zur Listenaufstellung der ""Gelbwesten"".",0.5064519047737122
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden.

Hinweis: ""Gilets jaunes"" ist eine französische Bewegung, die sich durch ihre gelben Westen auszeichnet. In Deutschland wird diese Bewegung oft als ""Gelbwesten"" bezeichnet.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.",0.6547588109970093
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.","Die Liste besteht heute nur aus 10 Namen, von den ursprünglich vorgesehenen 79.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,0.6076205372810364
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Im Gegensatz zu dem, was sie angekündigt haben, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren.

Hinweis: ""Crowdfunding"" ist ein englischer Begriff, der in vielen Sprachen verwendet wird. In Deutschland wird oft ""Crowdfunding"" oder ""Crowd-Financing"" verwendet, in Österreich und der Schweiz ""Crowdfunding"" oder ""Crowdfunding-Plattformen"".","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.",0.525175929069519
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Die Übersetzung des französischen Textes in Deutsch lautet:

Ingrid Levavasseur sollte die Liste ""Gilets Jaunes"" bei den Europawahlen anführen.

Hinweis: ""Gilets Jaunes"" ist ein Begriff, der in Deutschland nicht direkt übersetzt werden kann. Es handelt sich um eine Bewegung, die sich für soziale Gerechtigkeit und gegen die Ungleichheit einsetzt. Der Name ""Gilets Jaunes"" bezieht sich auf die gelben Sicherheitswesten, die die Demonstranten trugen. In Deutschland wird die Bewegung oft als ""Gelbe Westen"" oder ""Gelbe Jacken"" bezeichnet.","Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.",0.6257584095001221
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,De la rue aux urnes.,"Die Straße in die Wahlurne.

(Note: This is a common French expression, often used to describe the transition from the streets (where protests or demonstrations take place) to the ballot boxes, where people exercise their right to vote.)",Von der Straße zu den Urnen.,0.4482487440109253
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.",0.741924524307251
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","Übersetzung:

In einer Erklärung verbreitet der ""Bürgerinitiativ-Bündnis"" (RIC) einen embryonalen Kandidatenliste mit zehn Namen.

Hinweis: ""Ralliement d'initiative citoyenne"" ist ein französischer Begriff, der nicht direkt übersetzt werden kann. Ein möglicher Ansatz wäre ""Bürgerinitiativ-Bündnis"" oder ""Bürgerinitiative-Allianz"".","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.",0.6360482573509216
translations_llama-3.1-8b-instant_fr-de.csv,llama-3.1-8b-instant,fr-de,fr,de,unspecified,"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","Über ihnen: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Normandie, die eine der Figuren des Bewegungs ist.

Hinweis: ""A leur tête"" bedeutet wörtlich ""auf ihrem Kopf"", aber in diesem Kontext bedeutet es ""an der Spitze"" oder ""an der Führung"". Die Übersetzung ""Über ihnen"" ist eine mögliche Alternative, aber ""An der Spitze"" oder ""An der Führung"" wäre eine genauere Übersetzung.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.",0.473482221364975
