file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"After the barricade was broken, thousands of people went into chaos in Central Park",Thousands in Central Park panic after barrier collapse,0.763716459274292
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"Thousands of people were put in a difficult situation due to the disruption of a police barricade at a political event, fearing possible gunshots at Central Park.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",0.846062183380127
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,"The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics.

However, the original Gujarati text seems to be a bit different from the translation provided. Here's a more accurate translation:

The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics.

Here's a more detailed translation of the original Gujarati text:

The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,0.7193300724029541
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"On Saturday evening, after the Beriyaar (a type of storm surge) subsided, the authorities assured the crowd that they are safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,0.7964122295379639
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Social justice issues took center stage on the scorching hot afternoon of the incident.,Burning social justice issues dominated the event that started on a sunny afternoon.,0.8684771656990051
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","Approximately 60,000 people turned Great Lawn into a sea of Global Citizens Festival, where Cardi B, The Weeknd and other pop stars were also expected to perform.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",0.8591114282608032
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,Some speakers have asked their Congress members to attend the Senate hearing this week to respond to the nomination of Brett Kavanaugh to the Supreme Court.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,0.8955168724060059
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","Anna Hazare will go on a hunger strike from second October, wrote a letter to PM Modi.

Note: This translation is based on the given Gujarati text. However, the original text might be a news headline or a short article, so the translation might not be a complete or detailed translation of the original text.",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,0.6640874743461609
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: Social activist Anna Hazare has announced a hunger strike from second October.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,0.9494217038154602
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Anna Hazare said that the government led by the Prime Minister is being attacked for the reason that the central government's power has come in due to the Lokpal movement.,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,0.8670494556427002
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"However, four years have passed but the government is somehow avoiding the appointment of Lokpal and Lokayukta.",Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,0.8817232847213745
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,They said that they will start a hunger strike from second October taking Lokpal appointment as an issue and they are firm on their decision.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",0.8702012896537781
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.",Anna Hazare has accused Prime Minister Narendra Modi of being guilty of inaction in the last four years and not appointing a Lokpal.,Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.,0.8430092334747314
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"અન્નાએ લખ્યું કે, લોકપાલ અને લોકાયુક્તની નિયુક્તિ માટે 16 ઓગસ્ટ 2011ના રોજ દેશ આખો રસ્તા પર ઉત્તરી આવ્યો હતો.","Anna wrote that, on 16 August 2011, the country came out on the streets for the appointment of Lokpal and Lokayukta.","Anna wrote that on 16th August 2011, for the election of the Lokpal and Lokayukt, the whole country was marching on the roads.",0.8920390605926514
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે.,"Your government has come to power because of this movement.

Note: The translation is quite direct and simple, as the Gujarati text is quite straightforward. However, if you'd like a more nuanced translation, I can try to provide that as well.

Here's a more nuanced translation:

It is because of this movement that your government has gained power.

This translation maintains the same meaning as the original text but uses slightly different wording to convey the idea that the movement has contributed to the government's rise to power.",Your government has come to power due to this movement.,0.6796232461929321
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,અન્નાએ આ પહેલા પણ જાહેરાત કરી હતી કે ગાંધી જયંતીના અવસર પર 2જી ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં અનશન કરશે.,Anna has also announced earlier that she will go on an indefinite fast from 2nd October on the occasion of Gandhi Jayanti at Ralegan Siddhi.,"Earlier Anna had also announced that on the occasion of Gandhi Jayanti, he will start fasting from 2nd October in Ralegan Siddhi.",0.8596283793449402
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,તેમણે શુક્રવારે સમાચાર એજન્સીને જણાવ્યું હતું કે ખેડૂતોને તેના ઉત્પાદનનો યોગ્ય ભાવ નથી મળી રહ્યા છે.,They informed the news agency on Friday that farmers are not getting a fair price for their production.,He told the news agency on Friday that farmers are not getting the right prices for their produce.,0.9412846565246582
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.,The farmers are committing suicide.,Because of which they are killing themselves.,0.6869586706161499
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","I'm happy to help you with the translation. However, I don't see the Gujarati text you'd like me to translate. Please provide the text, and I'll do my best to translate it into English.

Assuming the text is the one you provided:

 સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV

Here's the translation:

Civil Hospital theft of Superintendent's car, seen on CCTV.","Superintendent's car stolen from the civil hospital, watch CCTV.",0.5819135904312134
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","In Sardarnagar, Ahmedabad, ""Deshi Daru No Daro"" (meaning ""The Ocean of Country-made Liquor""), click here to see the most important news until now.

Note: ""Deshi Daru"" is a colloquial term in Gujarati for country-made liquor, and ""Daru No Daro"" is a play on words with ""Daro"" meaning ocean.","Click here to see the Desi liquor in Sardar Nagar, Ahmedabad, and other important news.",0.6458415985107422
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"સુરત: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","I'd be happy to help you translate the text. However, I don't see the Gujarati text you'd like me to translate. Please provide the text, and I'll do my best to translate it into English.

Assuming the text is:

સુરત: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV

Here's the translation:

Surat: Car theft from Civil Hospital, seen on CCTV","Surat : Superintendent's car stolen from the civil hospital, watch CCTV.",0.5855389833450317
translations_llama-3.1-8b-instant_gu-en.csv,llama-3.1-8b-instant,gu-en,gu,en,unspecified,"અમદાવાદ: સેટેલાઈટ પોલીસે નકલી PSIની કરી ધરપકડ ,જુઆે વીડિયો","I'm happy to help you with the translation. However, I need the Gujarati text to be able to provide an accurate translation. Please provide the text, and I'll do my best to translate it into English.","Ahmedabad : Satellite Police arrested the fake PSI, watch video.",0.4950169026851654
