file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,28-year-old Chef Found Dead in San Francisco Shopping Mall,28-Year-Old Chef Found Dead at San Francisco Mall,0.9255253672599792
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.","Recently, a 28-year-old chef who had moved to San Francisco a short time ago, was found dead in the stairwell of a local shopping mall this week.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.,0.893754780292511
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","However, the brother of the victim, stating that he did not think the person who could harm him was someone who would, said: ""In the end, things were going well for him.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him.""",0.8303755521774292
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.",The San Francisco Medical Examiner's Office announced that the body found at the Westfield Mall on Wednesday morning belonged to 28-year-old San Francisco resident Frank Galicia.,"The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.",0.9190822243690491
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department announced that the cause of death was determined to be homicide and that the investigation is ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.,0.9240304827690125
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The brother of the victim, Louis Galicia, told KGO radio station in San Francisco that Frank, who had previously worked as a chef in the kitchen at a station in Boston, had started working as the head chef in the kitchen at the San Francisco show ""Sons & Daughters"" six months ago, achieving his dream job.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.",0.83510822057724
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","The official of Sons & Daughters stated that this death ""shocked them"" and that they are ""extremely saddened"".","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death.",0.8758509159088135
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The Sözcü stated, ""We have a small but tight-knit team working here like a family, and he will be greatly missed.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said.",0.8457961678504944
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,We would like to express that they are not alone in this difficult time and that our prayers are with them.,Our thoughts and condolences are with Frank's family and friends at this difficult time.,0.8316951394081116
translations_llama-3.1-8b-instant_tr-en.csv,llama-3.1-8b-instant,tr-en,tr,en,unspecified,"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia stated that Frank initially stayed in hostels and said, ""Eventually, things were going well for him.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him.""",0.8608030676841736
