file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four Maps That Will Change Your View of the City,Munich 1856: Four maps that will change your view of the city,0.9192317724227905
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.",A former asylum where young people are supposed to meet today.,"A mental asylum, where today young people are said to meet.",0.8273537158966064
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where excavation is now underway for the S-Bahn tunnel.","A crypt chapel, where they are now digging tunnels for the S-Bahn.",0.8251917958259583
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Allotment gardeners cultivate the former land of farmers.,Allotment holders cultivate the soil of former farmers.,0.8141451478004456
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings exciting stories to light.,The oldest official map of Munich brings captivating stories to light.,0.9320537447929382
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Es nervt, wenn Landkarten nicht aktuell sind.",It's annoying when maps are not up to date.,It is annoying when geographical maps are not up-to-date.,0.9130467176437378
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Everyone knows this, who has ever had to get upset because the car navigation system displayed a green meadow instead of a bypass road.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,0.8172573447227478
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital Bayern Atlas, an offering of the Geoportal Bayern of the state government, are anything but up-to-date - but precisely because of that, they are very revealing.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",0.8723083138465881
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially when you compare them to current online maps.,Especially when one compares them with current online maps.,0.9342674016952515
translations_llama-3.2-90b-vision-preview_de-en.csv,llama-3.2-90b-vision-preview,de-en,de,en,unspecified,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",It then becomes clear how cities and municipalities in the distribution area of the Münchner Merkur have changed since the 19th century.,Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,0.8760548233985901
