file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to correct their sex, was diagnosed as mentally ill, and now they create art on the subject - ""A person should have the right to their own body""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""",0.8343569040298462
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,The ceiling of the Project room gallery of the Academy of Fine Arts hangs with dozens of patient stories.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,0.8586781620979309
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,Jokaisessa niissä lukee Camille Auerin nimi.,"In each of them, the name Camille Auer is mentioned.",The name of Camille Auer is written on every one of them.,0.8185681104660034
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a multi-year story of how outsiders have written down their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,0.852832555770874
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,Päättäneet hänen puolestaan kuka hän on.,Decided for him who he is.,decided on who she is on her behalf.,0.7196245193481445
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to tell my personal care history so that the violence of the process becomes visible,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.",0.8803918957710266
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"By the process, he refers to the gender reassignment process.","Here, ""process"" refers to her sex reassignment procedure.",0.8602131009101868
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is often a research period lasting several years, which includes meetings with psychologists, psychiatrists, nurses, and doctors.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.",0.9237496256828308
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process begins with a referral to ""gender identity disorder"" diagnostic assessments, which are performed in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,0.9221859574317932
translations_llama-3.2-90b-vision-preview_fi-en.csv,llama-3.2-90b-vision-preview,fi-en,fi,en,unspecified,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,The process in Auer's case started four years ago.,Auer's process started four years ago.,0.9237827062606812
