file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","The President of Russia, Vladimir Putin, signed a law introducing administrative liability for violating the deadline and procedure for paying for goods (works, services) when making purchases for state and municipal needs.","Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.",0.8616729974746704
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,This law is intended to address the very acute problem of non-fulfillment of their obligations by customers in the implementation of state and municipal procurement.,This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,0.8424327373504639
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Two years ago, the situation where entrepreneurs could not receive payment for already fulfilled state and municipal contracts was widespread.","Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.",0.852835476398468
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,"At the same time, the President of Russia instructed the Prosecutor General's Office of the Russian Federation to take the issue under special control.","At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",0.8730098009109497
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","Because the businessmen themselves could not cope with unscrupulous clients who concluded unfunded contracts, tried in every way to evade the obligations taken to pay and included illegal conditions in the contracts.","After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.",0.8029270768165588
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Проблема была системной в целом в стране.,The problem was systemic overall in the country.,The problem was systemic throughout the entire country.,0.9231346249580383
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","Since 2015, in the interests of protecting the rights of entrepreneurs to receive payment for public orders, the prosecutor's office has submitted 9.7 thousand representations. As a result of their consideration, 4.5 thousand officials were brought to disciplinary responsibility, 533 to administrative responsibility, 75 materials were submitted to investigative bodies for organizing procedural checks, and 46 of them resulted in the initiation of criminal cases.","Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.",0.764512836933136
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"As a result, the debt to entrepreneurs was paid off in the amount of more than 66 billion rubles.","In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",0.8272634148597717
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Moreover, these enormous sums were accumulated far from being the result of non-payment of multi-billion dollar contracts.","Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",0.8413203358650208
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.","The legendary debts were the result of numerous, systematic delays in paying entrepreneurs for much more modest sums.",Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,0.8002238869667053
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Вот характерный случай.,Here's a typical case.,Here is a typical case.,0.961426317691803
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,The head of a small company won a competition for providing social transportation services worth several million rubles.,The head of a small company won a tender for the provision of social transport services worth several million rubles.,0.8980952501296997
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","A person invested all their working capital, fully fulfilled their obligations, but did not receive the due money on time.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.",0.8635676503181458
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","The result is a growing financial snowball of debts for wages, taxes, and loans, which would have led to bankruptcy if the entrepreneur had not sought help from the prosecutor's office.","The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.",0.8590695261955261
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Сейчас в ряде регионов проблему удалось максимально нивелировать.,"Now, in a number of regions, the problem has been largely neutralized.","Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.",0.8435585498809814
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","However, as of the first half of 2017, the total amount of debt on state and municipal contracts identified by prosecutors of the constituent entities of the Russian Federation was approximately 27.4 billion rubles.","Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles.",0.8748085498809814
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","In regions where debt indicators continue to reach critical values, the prosecutor's office operates in manual anti-crisis management mode.

(Note: A more natural translation might be: 
In regions where debt levels remain critically high, the prosecutor's office is intervening with manual crisis management.)","In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management.",0.7598673701286316
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","The Prosecutor General personally holds on-site meetings with representatives of local authorities, at which all the violations uncovered by prosecutors are thoroughly examined and measures for their immediate elimination are discussed.","The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification.",0.8373854160308838
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Такие оперативные совещания в этом году уже прошли в Ярославле и Екатеринбурге.,Such operational meetings have already taken place in Yaroslavl and Yekaterinburg this year.,"This year, these types of briefing sessions have already taken place in Yaroslavl and Yekaterinburg.",0.8748465776443481
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Качественно улучшить платежную дисциплину публичных заказчиков сможет реализация Федерального закона No 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для обеспечения государственных и муниципальных нужд"", который на прошлой неделе подписал президент России.","The quality improvement of payment discipline of public customers can be achieved through the implementation of the Federal Law No. 189-FZ ""On Amendments to the Code of the Russian Federation on Administrative Offenses in terms of establishing administrative liability of the customer's officials for violating the deadline and procedure for payment of goods (works, services) when making purchases for state and municipal needs"", which was signed by the President of Russia last week.","The realization of Federal Law No. 189-FZ “On amending the Code of the Russian Federation on Administrative Offences in terms of establishing administrative liability for officials of a customer for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs”, which was signed by the Russian president last week, will qualitatively improve the payment discipline of public sector customers.",0.8101146221160889
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,Проект закона был разработан Минэкономразвития России по инициативе Генпрокуратуры.,The draft law was developed by the Ministry of Economic Development of Russia at the initiative of the Prosecutor General's Office.,The Ministry of Economic Development and Trade of the Russian Federation developed the bill at the request of the Office of the Prosecutor General.,0.8223368525505066
translations_llama-3.2-90b-vision-preview_ru-en.csv,llama-3.2-90b-vision-preview,ru-en,ru,en,unspecified,"Новый закон дополнит Кодекс Российской Федерации об административных правонарушениях статьей, которая предусматривает штраф от 30 тыс. до 50 тыс. рублей за нарушение должностным лицом заказчика срока и порядка оплаты товаров, работ и услуг при государственных и муниципальных закупках.","A new law will supplement the Russian Federation's Code of Administrative Offenses with an article that provides for a fine of 30,000 to 50,000 rubles for a breach by an authorized official of the customer of the deadline and procedure for payment of goods, works and services in state and municipal procurement.","The new law will add an article to the Code of the Russian Federation on Administrative Offences, which stipulates a penalty of between 30,000 and 50,000 rubles for violation of the deadline and procedures for payment of goods, works, or services as part of state and municipal procurements by an official of a customer.",0.8189310431480408
