file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"上周,古装剧《美人私房菜》临时停播,意外引发了关于国产剧收视率造假的热烈讨论。","Last week, the historical drama ""The Beauty's Private Kitchen"" was suddenly suspended, unexpectedly sparking a heated discussion about the fake ratings of domestic dramas.","Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",0.8231573104858398
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,民权团体针对密苏里州发出旅行警告,Civil rights groups issue travel warning for Missouri,Civil rights group issues travel warning for Missouri,0.953513503074646
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"由于密苏里州的歧视性政策和种族主义袭击,美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。","Due to Missouri's discriminatory policies and racist attacks, the NAACP (National Association for the Advancement of Colored People) issued a travel warning to people of color planning to visit Missouri.",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.8866108059883118
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁,因近期密苏里州发生了一系列可疑的种族性事件,所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度,特此告知,”该团体的声明宣称。","The NAACP's Missouri travel advisory, which took effect on August 28, 2017, called for all African American travelers, visitors, and Missourians to exercise extreme caution while traveling throughout the state due to a series of recent suspicious events in Missouri, the group's statement declared.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.8392441868782043
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"NAACP 指出,最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼,该州执法也一定程度上针对少数群体,这些现象促使该组织发布了旅行警告。","The NAACP pointed out that a recently passed Missouri law makes it harder for people to win discrimination lawsuits, and that law enforcement in the state disproportionately targets minorities, prompting the organization to issue a travel warning.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.8958659172058105
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,侵犯公民权利的行为正发生在人们身上。,Infringements on citizens' rights are happening right before our eyes.,"""You have violations of civil rights that are happening to people.",0.8298675417900085
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"他们因肤色被停车盘问,被殴打或被杀害,”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。","""They were stopped, questioned, beaten or killed because of the color of their skin,"" Rod Chapel, president of the Missouri NAACP, told The Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.889668345451355
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,"“我们收到了许多投诉,数量前所未有。”","We have received a large number of complaints, unprecedented in scale.",We are hearing complaints at a rate we haven't heard before.,0.8598240613937378
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,这是该组织在美国针对某个州发布的第一个此类警告。,This is the organization's first such warning issued in the United States targeting a specific state.,It is the first such warning that the organization has issued for a state in the US.,0.9164418578147888
translations_llama-3.2-90b-vision-preview_zh-en.csv,llama-3.2-90b-vision-preview,zh-en,zh,en,unspecified,该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The organization cited the racial slurs against black students at the University of Missouri and the death of 28-year-old Torry Sanders, a black man from Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.9128186106681824
