file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to correct her gender, was diagnosed with a mental illness, and now she makes art about it - ""A person should have the right to their own body""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""",0.9138814210891724
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,"The Finnish text translates to English as:

""The ceiling of the Academy of Fine Arts' Project Room gallery hangs dozens of patient stories.""

In this sentence, the Finnish text describes a scene where the ceiling of a gallery is adorned with numerous patient stories.",Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,0.6719344854354858
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Jokaisessa niissä lukee Camille Auerin nimi.,"In each of them, it reads Camille Auer's name.",The name of Camille Auer is written on every one of them.,0.7982966899871826
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a multi-year story about how outsiders have written down their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,0.850541889667511
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Päättäneet hänen puolestaan kuka hän on.,"Those who decide for him, whoever he is.",decided on who she is on her behalf.,0.6776911616325378
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to share my personal care history so that the violence in the process becomes visible,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.",0.8708609938621521
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"In the process, he refers to the gender correction process.","Here, ""process"" refers to her sex reassignment procedure.",0.7837181687355042
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is often a research phase that lasts for years, involving meetings with psychologists, psychiatrists, nurses, and doctors.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.",0.9114116430282593
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process begins with a dispatch to ""gender identity disorder"" diagnostic research, which is conducted in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,0.8644422292709351
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,"At Auer's place, the process started four years ago.",Auer's process started four years ago.,0.8739242553710938
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Even before this, she had used estrogen ordered over the internet and was otherwise very far along in her own correction process.","Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",0.873979926109314
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","She felt like a woman, but according to Finnish law, a person must undergo a correction process for their gender to be legally corrected as well.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.",0.8283851146697998
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Finnish text translates to English as follows:

""Trans Act, or the Act on the Confirmation of the Gender of Transsexuals (563/2002), requires transsexual individuals to undergo forced sterilization, so that the correct gender can be recorded, for example, in the Population Register Centre and passport.""","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.",0.827124297618866
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"Currently, every gender-correcting individual requires a psychiatric diagnosis and proof of infertility.","Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.",0.8385404944419861
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Ihmiselle kuuluu oikeus päättää omasta kehostaan.,A person has the right to decide about their own body.,People should have the right to decide on their own body.,0.9568343162536621
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""This situation is intolerable and violates human rights,"" says Auer.","""This situation is intolerable and in violation of human rights"", Auer says.",0.9713807702064514
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Translain uudistamisesta on puhuttu Suomessa jo pitkään.,"The Finnish text translates to English as:

""Talk about the Transrail reform has been going on in Finland for a long time.""",Amendments to the Finnish trans act have been on the table for long.,0.684519350528717
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The UN Human Rights Council has made eight observations on the law, and there is a preliminary judgment from the European Court of Human Rights that requires the parties to the European Convention on Human Rights to respect the right to self-determination.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination.",0.888312578201294
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,Finland's previous government prepared a law change under the leadership of then Social and Health Minister Susanne Huovinen.,"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health.",0.8740267753601074
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,The elections came and the Finns Party rose to power.,"After the following elections, the Finns Party received seats in the Government.",0.8568416237831116
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Nyt lakimuutos on jälleen jumissa.,Now the law reform is stuck again.,"Now, the amendments are again at a standstill",0.7482460141181946
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Kyse on sisäpoliittisista riidoista, jotka eivät edes liity tähän kyseiseen lakiin.",The issue is about internal political disputes that do not even relate to this particular law.,due to internal disagreements that are not even related to this particular act.,0.8730948567390442
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""Hallitus ei halua nostaa sitä pöydälle, koska hallituksen sisällä on erimielisyyksiä lain muuttamisesta"", kertoo Amnestyn Suomen osaston toiminnanjohtaja Frank Johansson.","""The government does not want to bring it to the table because there are disagreements within the government about changing the law,"" says Amnesty Finland's executive director Frank Johansson.","""The Government is not willing to handle the act, as there are disagreements over the amendments within the Government"", says Frank Johansson, director of Amnesty Finland.",0.8973619937896729
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Näyttelytilan etuosaa hallitsevat kaksi suurta installaatiota.,The front area of the exhibition space is dominated by two large installations.,The front of the exhibition area is dominated by two large installations.,0.9653534889221191
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Toinen niistä muodostuu Auerin käyttämien lääkkeiden pakkauksista ja käyttöohjeista.,The second one is formed from the packaging and instructions of the medications used by Auer.,One of these is made of the packages and instructions of medicinal products used by Auer.,0.8291214108467102
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Potilaskertomus-installaatiossa kuka tahansa kävijä voi lukea esimerkiksi Tampereen yliopistollisen sairaalan transpolin psykologin tulkinnan Auerista.,"In the patient report installation, any visitor can read, for example, the interpretation of Auer by the psychologist of the Tampere University Hospital's transplant clinic.","Any visitor to the patient record installation can read, for example, the interpretation a psychologist working in the transgender department of Tampere University Hospital has made of Auer.",0.8216732740402222
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Psykologi tapasi Camille Auerin kaksi kertaa ja kirjoitti näiden perusteella kertomuksen, joka tulisi määrittelemään Auerin oikeuden hoidon sekä avun saamiseen.","A psychologist met Camille Auer twice and wrote a report based on these meetings, which would define Auer's right to treatment and receiving help.","The psychologist met Camille Auer two times and, on the basis of these meetings, wrote a report that would define Auer's rights to receive treatment and assistance.",0.907914400100708
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Tutkittavan todellisuuden­taju näyttäytyy alttiina horjumiselle.,The perception of the reality being studied appears to be vulnerable to fluctuations.,The patient's sense of reality is reported to be close to shaking.,0.659430980682373
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Tutkittavan käsitys itsestä näyttäytyy rajatilatasoisella tavalla hajanaisena ja persoonallisuuteen liittyvät epävakaat piirteet korostuvat.,The subject's self-concept appears fragmented and the unstable aspects related to personality are emphasized.,The patient's conception of herself seems to be disorganised as a borderline case and the unstable features of her personality are emphasised.,0.844955563545227
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Auer ei tunnistanut itseään näistä kuvauksista.,Auer did not recognize himself from these descriptions.,Auer does not recognise herself from these reports.,0.849025547504425
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""Oli järkytys kuulla, että minut diagnosoitiin mielisairaaksi"", Auer sanoo.","""It was a shock to hear that I was diagnosed as mentally ill,"" Auer says.","""It was shocking to hear that I was diagnosed as mentally ill"", Auer says.",0.9505681395530701
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Vielä suurempi järkytys oli, kun Auerille ei myönnetty sukupuolenkorjaushoitoa.","The translation of the Finnish text to English is:

""An even bigger shock was when Auer was not granted gender reassignment treatment.""",What was even more shocking was that Auer was not given access to gender reassignment surgery.,0.7915892601013184
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Hoitohenkilökunnan mukaan hänen voimavaransa eivät olleet riittävät prosessin aloittamiseen.,"According to the healthcare staff, her resources were not sufficient to initiate the process.","According to the nursing staff, she did not have sufficient resources to start the process.",0.8867806792259216
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Häneltä kiellettiin oma identiteettinsä.,They were forbidden their own identity.,Her own identity was denied from her.,0.7860453128814697
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Silloin 11. helmikuuta 2015 ­Auer käveli ulos tapaamisesta ja potkaisi transpolin odotusaulan television hajalle.,"Then, on February 11, 2015, Auer walked out of the meeting and kicked the transponder's waiting room TV to pieces.","On that day on 11 February 2015, Auer walked out of the meeting and smashed a TV in the waiting room of the transgender department.",0.7837094068527222
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Myöhemmin tuosta televisiosta syntyi taideteos nimeltään Monument for the Excluded, jossa Auer reflektoi kokemustaan vallasta ja sen käyttämisestä.","Later, from that television, an art piece called ""Monument for the Excluded"" was born, in which Auer reflects on his experience of power and its use.","Later, that TV evolved into a Monument for the Excluded, a work of art through which Auer reflects on her experiences in power and how it is exercised.",0.8508685231208801
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""On hullua, että kuka tahansa syntymässä naiseksi määritelty ihminen voi suurennuttaa rintansa, mutta rintojen poistamiseen tarvitsee diagnoosin"", Auer kertoo.","""It's crazy that anyone defined as a woman at birth can enlarge their breasts, but you need a diagnosis to remove them,"" Auer says.","""It's crazy that anyone defined as a woman at birth can have their breasts enlarged. But, to have breasts removed altogether, a diagnosis is needed"", Auer says.",0.8939622640609741
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Kehosi ei ole sinun omasi, jos koet olevasi muuta kuin syntymässä määritelty sukupuolesi määrää.",Your body is not your own if you feel like you are anything other than the gender you were assigned at birth.,You do not own your body if you feel that your gender is not the one defined at birth.,0.8776842355728149
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Auerin kokemus ei valitettavasti ole ainoa laatuaan.,Auer's experience unfortunately is not the only one of its kind.,"Unfortunately, Auer's experience is not unique.",0.9216812252998352
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,Sukupuolenkorjausprosessi on monelle rankempi henkisistä syistä kuin puhtaasti lääketieteellisten operaatioiden takia.,The gender reassignment process is more challenging for many due to psychological reasons than purely because of medical operations.,"For many, a gender reassignment process is tougher mentally than physically as a result of medical operations.",0.8971673846244812
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Sen läpikäyvät tapaavat kymmeniä ihmisiä, joille pitää perustella omaa olemassaoloaan ja oikeuttaan omaan sukupuolikokemukseen.",They encounter dozens of people who have to justify their own existence and their right to their gender experience.,Anyone who undergoes the process meets dozens of people to whom they must explain their existence and right to a gender identity.,0.8198789358139038
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""On hullua, että ihmisiltä jotka ovat tuen ja avun tarpeessa evätään hoito vedoten siihen, etteivät heidän voimavaransa riitä"", Auer sanoo.","""It's crazy that people who need support and help are denied care, citing that their resources aren't enough,"" Auer says.","""It's crazy that treatment is denied from people who need help and support by saying that they don't have sufficient resources"", Auer says.",0.9074910283088684
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Monella prosessiin hakeutuneilla on takana psyykkistä oireilua: masennusta, ahdistusta, mahdollisia kiusaamiskokemuksia.","Many applicants have psychological symptoms behind them: depression, anxiety, possible experiences of harassment.","Many applying for the process have suffered from mental disorders: depression, anxiety and possibly bullying.",0.8644740581512451
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"Näihin vedoten hoitohenkilökunta voi määrätä, ettei hoitoa voida aloittaa.","Based on this, the healthcare staff can decide that treatment cannot be initiated.","By appealing to these, the nursing staff can decide that the process cannot be started.",0.8095160722732544
translations_llama3-groq-70b-8192-tool-use-preview_fi-en.csv,llama3-groq-70b-8192-tool-use-preview,fi-en,fi,en,unspecified,"""Hoidon ja avun saamisen estäminen voi syöstä ihmisen vielä pahempaan tilanteeseen, kuin mitä se oli ennen prosessin aloittamista"", Auer sanoo.","""Preventing access to care and assistance can plunge a person into an even worse situation than they were before starting the process,"" Auer says.","""If people are not given access to treatment and assistance, their situation may even become worse than it was before the process"", says Auer.",0.8704649806022644
