file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"After the barriers were broken, thousands of people gathered in Central Park.",Thousands in Central Park panic after barrier collapse,0.7654411196708679
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"During a political event, thousands of people attending a rally at Central Park were put in a difficult situation due to the fear of possible gunfire from the collapse of a police barrier.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",0.8680526614189148
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,"Top Democratic New York government officials, Andrew Cuomo and Janet Jackson, and Republican Senate candidates Jeff Flake and John Legend, urged viewers to get involved in the country's difficult politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,0.8853797912597656
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"On Saturday evening, after the barrier fell, officials assured the crowd that they were safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,0.9294422268867493
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,"The ongoing issues of social justice have overshadowed the event that began with a sudden and intense storm.

In this translation, ""સામાજિક ન્યાયના સળગતા મુદ્",Burning social justice issues dominated the event that started on a sunny afternoon.,0.5347476005554199
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","The Great Lawn at Park was packed with nearly 60,000 people for the Global Citizen Festival, featuring Cardi B, The Weeknd, and other pop stars.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",0.8833637237548828
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,Some speakers urged their congressional members to respond to this week's Senate hearing for Supreme Court nominee Brett Kavanaugh by calling them.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,0.8546273112297058
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","""From October, thousands of Anna Hazare will go on hunger strike, PM Modi receives letter.""

In this sentence, ""બીજી ઓક્ટોબરથી"" means ""From October"", ""અન્ના હજારે"" means ""thousands of Anna Hazare"", ""કરશે ભૂખ હડતાળ"" means ""will go on hunger strike"", ""PM મોદીને"" means ""PM Modi"", and ""લખ્યો પત્ર"" means ""receives letter"".",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,0.5471614003181458
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: Social activist Anna Hazare has announced a hunger strike starting from October 2nd.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,0.9492261409759521
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,"Anna Hazare attacked the Prime Minister, saying that the BJP-led government came to power at the Centre due to the Lokpal agitation.",Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,0.901681125164032
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"However, four years have passed, but the government has been avoiding the appointment of Lokpal and Lokayukta for some reason or the other.",Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,0.9056270718574524
translations_llama3-groq-70b-8192-tool-use-preview_gu-en.csv,llama3-groq-70b-8192-tool-use-preview,gu-en,gu,en,unspecified,તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,They said that they will start a hunger strike from October 15th and are firm on their decision.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",0.8672031760215759
