file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands of people panicked in Central Park as the barrier collapsed.,Thousands in Central Park panic after barrier collapse,0.8906703591346741
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Thousands of people, panicked by the possibility of political violence at the event, fled Central Park as the police barrier collapsed.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",0.8475777506828308
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Known personalities - Democratic Party representative and New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, John Legend - encouraged viewers to engage in the country's tumultuous politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,0.8654507398605347
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","After the barrier fell during the event on Saturday evening, government institutions quickly reassured viewers that they were safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,0.8717567920684814
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,The sunny afternoon event mainly discussed social justice.,Burning social justice issues dominated the event that started on a sunny afternoon.,0.7978377342224121
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Around 60,000 spectators gathered in the Great Lawn for the Global Citizen Festival, which featured performances by Cardi B, The Weeknd, and other pop stars.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",0.857948899269104
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"Some speakers asked viewers to call their representatives in Congress and express their opinion about the Senate sessions that took place this week regarding the candidate for the Supreme Court, Brett Kavanaugh.",Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,0.847840428352356
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"Alastair Seeley's unbeaten streak of victories in the ""British Supersport"" races at Assen.",Alastair Seeley continues British Supersport winning run at Assen,0.7109826803207397
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,"Alastair Seeley maintained the winner's position in the ""British Supersports"" races.",Alastair Seeley has continued his winning form in British Supersports,0.8112722039222717
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley secured his third victory in the ""British Supersport"" series, winning the 12-lap sprint on Saturday in Assen, Netherlands.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,0.8477041721343994
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","The text translates to:

""Rider from Caricfergus 0.05 seconds ahead of Jack Kennedy driving 'Yamaha'.""",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,0.5905801057815552
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old winner also triumphed this month at Silverstone and Oulton Park.,The 38-year-old also won races at Silverstone and Oulton Park this month.,0.8680877685546875
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley represents the Northern Ireland team ""EHA Racing"", with whom he already won the international ""North West 200"" races last May.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,0.8462391495704651
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.","The former British champion raced the entire race with Kennedy and, despite all the Dubliner's efforts, he failed to overtake his opponent from Northern Ireland.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,0.8041228652000427
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,"Seeley's team friend David Allingham finished seventh in Saturday's ""Supersport"" race.",Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,0.9088847637176514
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,"Scott Swann's ""British Talent Cup"" races ended eighth.",Scott Swann was eighth in the British Talent Cup race.,0.8541914224624634
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.","""Be Wiser Ducati"" rider Glenn Irwin, trying to climb higher than his current fourth place in the championship standings, was fourth in both of Sunday's ""British Superbike"" qualifying sessions.",Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.,0.7734454870223999
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.","This week it was announced that Irwin will move to the ""JG Speedfit Kawasaki"" team for the 2019 season.",It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.,0.889498233795166
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.","Michael Laverty from Toome, driving for ""Tyco BMW"", took 13th place, while Andrew Irwin and his ""PBM Ducati"" took 14th place.",Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.,0.814927339553833
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Why do Hong Kong house workers learn dance movements?,Why are Hong Kong domestic workers practising their dance moves?,0.8060860633850098
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Honkonge namų darbininkais dirba apie 300 000 užsieniečių.,"In Hong Kong, around 300,000 foreign workers are employed as domestic workers.","Some 300,000 foreign domestic helpers work in Hong Kong.",0.8350322842597961
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Jų pagal įstatymus reikalaujama gyventi darbdavių namuose.,They are required by law to live in the employer's house.,They're required by law to live in their employers' home.,0.9269838929176331
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Šie darbuotojai už nedidelį atlygį dirba šešias dienas per savaitę, iki 18 valandų per dieną.","These workers work for a small wage, six days a week, up to 18 hours a day.","They work six days a week, up to 18 hours a day - for a very small salary.",0.9038550853729248
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Šis pasakojimas – apie Mhelanie, kuri vienintelį laisvadienį skiria bendruomenės renginiams, padedantiems atsiplėšti nuo izoliuojančios darbo rutinos.","This story is about Mhelanie, who spends her only free day attending community events, helping to break away from the isolating work routine.",This is the story of Mhelanie who uses her only day off to take part in community events to escape her isolating work routine.,0.9002169370651245
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Spurgų pardavėją Liną Ognissanti pagerbs Bedfordo meras,"""The mayor of Bedford will honor the seller of Spurgų, Liną Ognissanti.""",Doughnut seller Lina Ognissanti to be honoured by Bedford mayor,0.5984853506088257
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Nuotraukoje: Lina Ognissanti šiltuoju metų laiku prekiauja ledais, o žiemą – spurgomis.",In the photo: Lina Ognissanti sells ice in warm weather and sledges in winter.,Image caption Lina Ognissanti sells ice creams in warmer months and doughnuts during the winter,0.6807278990745544
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Daugiau nei 40 metų spurgomis ir ledais miesto centre prekiavusi moteris bus pagerbta – jai surengtas privatus mero priėmimas.,"More than 40 years of selling sprugs and ice in the city center, a woman will be honored - a private memorial reception is being organized for her.",A woman who has sold doughnuts and ice creams in a town centre for more than 40 years is to be honoured with a private mayoral reception.,0.6537865400314331
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Lina Ognissanti, prekiaujanti ledais ir spurgomis kioskelyje „Dinky Donuts“ Bedfordo Midland Road gatvėje, kartu su šeima buvo pakviesta popiečio arbatėlės.","Lina Ognissanti, who sells ice cream and doughnuts at the ""Dinky Donuts"" kiosk on Bedford Midland Road, was invited to a tea party with her family.","Lina Ognissanti, who runs Dinky Donuts and an ice cream stall on Midland Road, Bedford, has been invited to afternoon tea, along with her family.",0.8438839912414551
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Beveik 3 000 žmonių internetu pasirašė peticiją siekdami, kad ji būtų apdovanota ar sulauktų pripažinimo.","Almost 3,000 people have signed an online petition seeking to have it awarded or recognized.","Almost 3,000 people signed an online petition to get her an award or recognition.",0.8834403157234192
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"P. Ognissanti teigė, kad jai garbė sulaukti tokių pagyrų.",P. Ognissanti said that she was honored to receive such praise.,"Mrs Ognissanti said it was an ""honour"" to be thought of so highly.",0.8219806551933289
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Pasak Bedfordo mero Dave’o Hodgsono, p. Ognissanti su vaikais ir anūkais buvo pakviesta į jo kabinetą apžiūrėti miesto regalijų ir istorinių artefaktų bei išgerti popiečio arbatos.","According to Bedford Mayor Dave Hodgson, the Ognissanti family with their children and grandchildren were invited to his office to view the city's regalia and historical artifacts and to have a cup of afternoon tea.","The Mayor of Bedford, Dave Hodgson, said Mrs Ognissanti, along with her children and grandchildren, had been invited to his parlour to view the civic regalia and historical artefacts and to have afternoon tea.",0.8395476341247559
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"„Lina Bedforfe užima ypatingą vietą, o jos kioskas yra miesto centro dalis“, – teigė jis.","""Lina Bedford holds a special place, and her kiosk is part of the city center,"" he said.","""Lina has a special status in Bedford, and her stand is an institution in the town centre,"" he said.",0.8607791066169739
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Džiaugiuosi, kad ji priėmė mano kvietimą, ir labai laukiu mūsų susitikimo mano kabinete, kad galėčiau padėkoti Linai už darbą mūsų mieste.“","I am delighted that she accepted my invitation, and I am very much looking forward to our meeting in my office, so I can thank Linas for her work in our city.",I'm delighted that Lina has accepted my invitation and I look forward to welcoming her to the parlour in order that we can show our appreciation for her contribution to the town.,0.8244520425796509
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"P. Ognissanti padėkojo, jos žodžiais, „maloniems“ Bedfordo gyventojams, kurie apie ją pagalvojo, ir sakė: „Tai didelė garbė ir gražus poelgis.“","P. Ognissanti thanked her, with her words, ""kind"" Bedford residents who thought about her, and said: ""This is a great honor and a beautiful gesture.""","Mrs Ognissanti thanked the ""lovely"" people of Bedford for thinking of her, and said: ""It is a great honour, and really nice.""",0.7695086002349854
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Peticiją pateikęs Sarkabas Mahmoodas teigė, kad nesitikėjo sulaukti tiek parašų.","The person submitting the petition, Sarkabas Mahmoodas, claimed that he did not expect to receive so many signatures.","Sarkab Mahmood, who started the petition, said he had not expected such a huge response.",0.8326228857040405
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Išgirdęs apie priėmimą, kurį planuojama surengti iki metų pabaigos, jis teigė: „Labai džiaugiuosi dėl Linos, nes ji to nusipelnė dėl savo puikaus charakterio.“","Having heard about the reception planned to be held by the end of the year, he said: ""I am very happy for Linas, because she deserved it due to her beautiful character.""","On hearing about the reception, which is set to take place by the end of the year, he said: ""I am really happy for her, it is all down to Lina being such a great person.""",0.8280503749847412
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Kelyje su Alsterio „Lambretta“ klubu,"On the road with the Alsterio ""Lambretta"" club",Rolling with the Ulster Lambretta Club,0.7389910817146301
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Motoroleriai „Lambretta“ buvo nepamainomi 7-ojo dešimtmečio modų kultūros palydovai.,"The text translates to English as:

 ""Scooters 'Lambretta' were inseparable companions of the 7th decade fashion culture.""",Lambrettas were an essential accessory in the mod scene of the 1960s.,0.6496222615242004
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Grupė itališkojo motorolerio gerbėjų bando išsaugoti tų laikų dvasią.,A group of Italian motorcycle enthusiasts tries to preserve the spirit of those times.,The spirit of that era is being kept alive by a group of enthusiasts of the Italian motor scooter.,0.877339780330658
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Praėjus 70 metų po pirmojo Alsterio „Lambretta“ klubo įkūrimo, šį savaitgalį Fermanos apygardoje susirinko maždaug 100 motorolerių mėgėjų iš Jungtinės Karalystės ir Airijos.","Seventy years after the establishment of the first Alsterio ""Lambretta"" club, around 100 motorcycle enthusiasts from the United Kingdom and Ireland gathered in the Fermanagh district this weekend.","Around 100 scooters from all over the UK and Ireland travelled to Co Fermanagh this weekend, 70 years after the first Ulster Lambretta Club was formed.",0.8398747444152832
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Vienas iš dviejų pirmojo klubo narių Chrisas Wilsonas 1966-aisias įsigijo pirmąją „Lambretta“ už maždaug 40 £.,"One of the two founding members of the club, Chris Wilson, bought his first ""Lambretta"" in 1966 for about £40.","Chris Wilson, one of two members of the original club, bought his first Lambretta for around £40 in 1966.",0.8891081809997559
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"„Man motoroleris buvo tik transporto priemonė, bet sužinojau, kad galiu panaudoti jį ir kitaip.","The motorcycle was just a means of transportation for me, but I found out that I can use it in another way.","""A scooter was just to me a form of transport, but then there was the option to use it for other things.",0.8706982135772705
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,Tai buvo šioks toks sportas.,That was some kind of sport.,It was a bit of sport.,0.8470917344093323
translations_llama3-groq-70b-8192-tool-use-preview_lt-en.csv,llama3-groq-70b-8192-tool-use-preview,lt-en,lt,en,unspecified,"Neįsitraukiau į modų kultūrą, o dabar turbūt esu tam per senas“, – sakė jis.","""I didn't get caught up in the fashion culture, and now I'm probably too old for that,"" he said.","I never did get into the mod scene and I'm probably far too old now for it,"" he said.",0.7721421718597412
