file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...",0.9886963963508606
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zu der Kandidatur der Liste ""Gelbe Westen"".","Vier Fragen zur Listenaufstellung der ""Gelbwesten"".",0.7709378004074097
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie sich für die Europawahlen einsetzen werden.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.",0.8906093835830688
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.","Die Liste enthält heute nur 10 Namen, von den 79, die vorgesehen waren.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,0.8248580098152161
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen der von ihnen verkündigten Aussage, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.",0.8267133235931396
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur sollte die Liste ""Gelbwesten"" bei den Europawahlen führen.","Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.",0.8694456815719604
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,De la rue aux urnes.,"The translation of ""De la rue aux urnes"" from French to German is ""Von der Straße zur Wahlurne"".",Von der Straße zu den Urnen.,0.420358806848526
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie sich für die Europawahlen einsetzen werden.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.",0.9007200002670288
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einem Kommuniqué veröffentlicht das ""Bürgerinitiativ-Bündnis"" (RIC) einen embryonalen Listenentwurf mit zehn Namen.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.",0.7789477109909058
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","At their head: Ingrid Levavasseur, a 31-year-old nurse from Normandy, who is one of the figures of the movement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.",0.6631634831428528
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,20 Minutes revient sur les questions que pose cette candidature.,"The translation of the French text to German is:
 20 Minuten kehrt zurück auf die Fragen, die diese Kandidatur aufwirft.","20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.",0.5256822109222412
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,Pourquoi se lancer aux européennes?,Warum sich bei den Europawahlen bewerben?,Warum sollte man an der Europa-Wahl teilnehmen?,0.8299458622932434
translations_llama3-groq-8b-8192-tool-use-preview_fr-de.csv,llama3-groq-8b-8192-tool-use-preview,fr-de,fr,de,unspecified,"Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.","In seinem Kommuniqué stellt sich der RIC, der den Akronym des ""Bürgerinitiativreferendum"" repräsentiert, das von einigen ""Gelbwesten"" verteidigt wird, als ""eine Koordination aus verschiedenen Initiativen"" des Protestbewegung dar.","Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.",0.7403490543365479
