file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,Ақша-несие саясатының сценарийін қайта жазсақ,"I'm sorry but I do not have the capability to perform this task for you, I am happy to help you with any other queries you may have.",Rewriting the Monetary-Policy Script,0.4612099230289459
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","The translation of the Kazakh text to English is:
""MUNICH - The world's largest central banks are speaking out against inflation, seeking to curb it by applying strict rules.""",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.7494543790817261
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"The translation of the Kazakh text is: ""Considering the good aspects of the monetary policy, central banks also need to pay attention to flexibility.""","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.7233768105506897
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The translation of the Kazakh text to English is:
""The tradition established by those who shape monetary policy is that if inflation remains below the official forecast range for a long time, short-term interest rates should be adjusted to stimulate spending and investments to the same extent.""","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.8405721783638
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The peculiarity of this method is that when interest rates approach zero, central banks' demand increases, and besides activating asset purchase programs, there is no other way to stimulate the economy.","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.8593468070030212
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If the situation reaches a certain point, political decision-makers will announce a default based on well-known scenarios derived from the new Keynesian economic model.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.820232629776001
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, in many cases, this scenario confuses us because it is difficult to measure and predict the impact of monetary policy on demand and inflation.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.8356653451919556
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"The translation of the Kazakh text is: ""However, the reasons why this conclusion is dismissed are sufficient.""",There is plenty of reason to question this assumption.,0.5972262024879456
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","The translation of the Kazakh text is: ""Firstly, even if families have a low income, they manage to save money and don't spend too much.""","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.7162007093429565
translations_llama3-groq-8b-8192-tool-use-preview_kk-en.csv,llama3-groq-8b-8192-tool-use-preview,kk-en,kk,en,unspecified,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","The translation of the Kazakh text is: ""If saving money does not bring any benefit, people do not buy expensive things, or they do not save money for future retirement.""","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.7499006390571594
