file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,"The translation of the Turkish text is: ""A 28-year-old chef was found dead at the San Francisco shopping center.""",28-Year-Old Chef Found Dead at San Francisco Mall,0.6936137676239014
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.","Recently, a 28-year-old chef who had just moved to San Francisco, was found dead in the stairwell of a local shopping mall this week.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.,0.9127023816108704
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","The translation of the Turkish text to English is:
""However, the brother of the victim didn't think that someone who could harm him might exist, and he said: 'In the end, things were going well for him.'""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him.""",0.8061271905899048
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.","The San Francisco Medical Forensic Institute announced that the body found on Wednesday morning at the Westfield Mall belongs to Frank Galicia, a 28-year-old resident of San Francisco.","The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.",0.8997900485992432
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department announced that the cause of death was determined to be murder and that the investigations are ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.,0.9188394546508789
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The brother of the victim, Louis Galicia, told KGO radio in San Francisco that Frank, who used to work as a chef in the kitchen department in Boston, has finally achieved his dream job as the head chef of the kitchen department at San Francisco Sons & Daughters, six months ago.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.",0.8418487906455994
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","The official from Sons & Daughters stated that this death has left them ""shocked"" and they are ""extremely saddened.""","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death.",0.8830203413963318
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The translation of the Turkish text to English is: ""We are a small team working like a tight family here, and he will be greatly missed.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said.",0.8233035206794739
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,We want to let Frank's family know that they are not alone during this difficult time and that our prayers are with them.,Our thoughts and condolences are with Frank's family and friends at this difficult time.,0.8707044720649719
translations_llama3-groq-8b-8192-tool-use-preview_tr-en.csv,llama3-groq-8b-8192-tool-use-preview,tr-en,tr,en,unspecified,"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","The translation of the Turkish text to English is:
 Louis Galicia mentioned that Frank initially stayed in hostels and said, ""Eventually, things were going well for him.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him.""",0.7588251233100891
