file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"上周,古装剧《美人私房菜》临时停播,意外引发了关于国产剧收视率造假的热烈讨论。","Last week, the temporary suspension of the costume drama ""Beauty's Private Kitchen"" unexpectedly sparked a heated discussion about the viewing rate manipulation of domestic dramas.","Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",0.7854003310203552
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,民权团体针对密苏里州发出旅行警告,"The translation of the Chinese text is: ""Civil rights groups issue travel warning for Missouri.""",Civil rights group issues travel warning for Missouri,0.7740097641944885
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"由于密苏里州的歧视性政策和种族主义袭击,美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。","Due to discriminatory policies and racial attacks in Missouri, the NAACP has issued a travel warning to people of color planning to visit Missouri.",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.8488501906394958
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁,因近期密苏里州发生了一系列可疑的种族性事件,所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度,特此告知,”该团体的声明宣称。","The translation of the Chinese text is:
""In response to a series of suspicious racial incidents that have occurred recently in Missouri, the NAACP Missouri Travel Advisory urges all African American travelers, tourists, and Missouri residents to exercise extreme caution when traveling in Missouri, and to be particularly vigilant.""","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.8251148462295532
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"NAACP 指出,最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼,该州执法也一定程度上针对少数群体,这些现象促使该组织发布了旅行警告。","The NAACP points out that a recent Missouri state law passed makes it harder for people to win discrimination lawsuits, and the state's enforcement also targets minority groups to some extent. These phenomena have prompted the organization to issue travel warnings.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.8636531233787537
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,侵犯公民权利的行为正发生在人们身上。,The behavior that infringes upon citizens' rights is happening to people right now.,"""You have violations of civil rights that are happening to people.",0.8483501076698303
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"他们因肤色被停车盘问,被殴打或被杀害,”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。","""They were stopped by the police for their skin color, beaten, or even killed,"" NAACP chairman Rod Chapel of Missouri told The Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.8843239545822144
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,"“我们收到了许多投诉,数量前所未有。”","We have received a large number of complaints, unprecedented in quantity.",We are hearing complaints at a rate we haven't heard before.,0.8301867842674255
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,这是该组织在美国针对某个州发布的第一个此类警告。,This is the first warning of its kind issued by this organization in the United States targeting a specific state.,It is the first such warning that the organization has issued for a state in the US.,0.9060226082801819
translations_llama3-groq-8b-8192-tool-use-preview_zh-en.csv,llama3-groq-8b-8192-tool-use-preview,zh-en,zh,en,unspecified,该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The organization cited racial defamation against black students at the University of Missouri and the death of 28-year-old Tolley Sanders, a black male from Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.8814334869384766
