file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to correct her gender, was diagnosed with a mental illness, and now she makes art about it - ""A person should have the right to their own body.""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""",0.9137564301490784
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,"From the Project Room gallery of the Finnish Academy of Fine Arts, hang dozens of patient stories.",Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,0.7551140189170837
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,Jokaisessa niissä lukee Camille Auerin nimi.,"Camille Auer's name can be found in all of them.

The Finnish text ""Jokaisessa niissä lukee Camille Auerin nimi."" translates to ""Camille Auer's name can be found in all of them"" in English. The pronoun ""niissä"" refers to a group of items or objects that were previously mentioned, and ""Camille Auerin nimi"" means ""Camille Auer's name."" The sentence suggests that the name of Camille Auer is associated with or appears in every item or object being discussed.",The name of Camille Auer is written on every one of them.,0.5935829281806946
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a many-year story of how foreign people have written their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,0.847640335559845
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,Päättäneet hänen puolestaan kuka hän on.,We have decided who he is.,decided on who she is on her behalf.,0.6634276509284973
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to share my personal care history so that the violence in the process becomes visible,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.",0.8708609938621521
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"He is referring to the gender correction process.

Note: The word ""sukupuolenkorjausprosessi"" is not a commonly used term in English, but I used ""gender correction process"" as the closest equivalent. The original Finnish term literally means ""gender adjustment process,"" but ""correction"" seemed to fit the context better.","Here, ""process"" refers to her sex reassignment procedure.",0.6691511273384094
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is often a research process that lasts for years and includes meetings with psychologists, psychiatrists, nurses, and doctors.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.",0.9143597483634949
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process begins with ""gender identity disorder"" diagnostic examinations, which are conducted in Tampere and Helsinki.

Note: It's important to note that the term ""sukupuoli-identiteetin häiriö"" (gender identity disorder) is considered outdated and stigmatizing. The World Health Organization (WHO) has removed it from the International Classification of Diseases (ICD) in its latest revision (ICD-11), replacing it with ""gender incongruence,"" which is classified under conditions related to sexual health. Therefore, a more appropriate and respectful translation would be:

The process begins with ""gender incongruence"" diagnostic examinations, which are conducted in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,0.6990571618080139
translations_mixtral-8x7b-32768_fi-en.csv,mixtral-8x7b-32768,fi-en,fi,en,unspecified,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,"The process started at Auerin four years ago.

Note: The Finnish sentence seems to be missing some information, such as what ""process"" refers to. A more complete translation might be: ""The process at Auerin was started four years ago.""",Auer's process started four years ago.,0.6222894787788391
