file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,Ақша-несие саясатының сценарийін қайта жазсақ,Let's rewrite the scenario of the cashless policy.,Rewriting the Monetary-Policy Script,0.697455644607544
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","""MUNICH - Should the international central banks, including the Federal Reserve, tighten their monetary policies sooner to curb inflation?""

Note: This is a translation of the Kazakh text provided and the original text may have some nuances that are not fully captured in the translation.",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.6654297709465027
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"To effectively implement the monetary policy, it is necessary for me to also join the cooperation with the international banks in addition to the domestic banks.

Note: This is a loose translation, as the original Kazakh text seems to be written in a formal and official style, which can be difficult to translate word-for-word while preserving the intended meaning.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.5724857449531555
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The procedure for implementing the currency rate policy - when inflation exceeds the official range for a long time, it is necessary to reflect a tight monetary policy and a decrease in demand during the summer season in the corresponding exchange rate.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.723751962184906
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,The key to this success is that there are no other measures except for activating programs of purchasing securities from banks in the middle in order to increase the demand for seasonal deposits.,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.719764232635498
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If a situation arises, political leaders will declare a default according to a well-known scenario within the new Keynesian economic model.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.7965517640113831
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, in many situations, these scenarios can confuse us, because they can lead to an increase in the exchange rate of money and credit due to inflation and devaluation.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.7267311215400696
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"The reasons for not knowing this melody are as follows.

Note: This is a literal translation of the Kazakh sentence. The sentence seems to be missing some context, as it refers to ""this melody"" without specifying which one. The translation might be different depending on the context.",There is plenty of reason to question this assumption.,0.4851725399494171
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Even if families have a hard time in summer, they don't save on expenses, but rather spend more.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.7093197703361511
translations_mixtral-8x7b-32768_kk-en.csv,mixtral-8x7b-32768,kk-en,kk,en,unspecified,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If people don't start saving money, they won't be able to sell gifts in the future, or even be unable to buy necessary things because of lack of money.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.7073257565498352
