file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","President of Russia Vladimir Putin has signed a law introducing administrative liability for violation of the terms and procedure for paying for goods (works, services) when carrying out purchases for state and municipal needs.","Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.",0.8522220253944397
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,This law is intended to address a very acute problem of non-compliance with their obligations by customers in the implementation of state and municipal procurements.,This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,0.8481702208518982
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Two years ago, the situation where entrepreneurs were unable to receive payment for already fulfilled state and municipal contracts was widespread.","Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.",0.8673283457756042
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,"Likewise, the President of Russia gave a order to the General Prosecutor's Office of the Russian Federation to take the problem under special control.","At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",0.8523564338684082
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","Because businessmen themselves were unable to deal with dishonest customers who entered into contracts not backed by financing, tried in every way to evade their payment obligations, and included illegal conditions in the contracts.","After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.",0.8424806594848633
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Проблема была системной в целом в стране.,The problem was systemic throughout the country.,The problem was systemic throughout the entire country.,0.9628722071647644
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","Since 2015, in the interests of protecting the rights of entrepreneurs to receive payment for public contracts, the prosecutor's office has submitted 9.7 thousand representations. As a result of their consideration, 4.5 thousand officials have been brought to disciplinary responsibility, 533 to administrative responsibility, 75 materials have been submitted to investigative bodies for organizational procedural checks, and criminal cases have been initiated based on 46 of them.","Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.",0.7719250917434692
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"As a result, the debt to entrepreneurs was paid off in the amount of more than 66 billion rubles.","In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",0.8272634148597717
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Moreover, these enormous sums did not accumulate as a result of the non-payment of multibillion-dollar contracts.","Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",0.8447297215461731
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Numerous and systematic delays in paying services to entrepreneurs have led to astronomical debts.,Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,0.7979801297187805
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Вот характерный случай.,Here is a typical case.,Here is a typical case.,0.9873223304748535
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,The head of a small company has won a tender for providing social transportation services worth several million rubles.,The head of a small company won a tender for the provision of social transport services worth several million rubles.,0.9148336052894592
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","The person invested all their working capital, fully fulfilled their obligations, but did not receive the money on time.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.",0.8634628057479858
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,"Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","The result is a growing financial bubble of salary debts, taxes, and credits, which would lead to bankruptcy if the entrepreneur had not turned to the prosecutor's office for help.","The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.",0.8330271244049072
translations_mixtral-8x7b-32768_ru-en.csv,mixtral-8x7b-32768,ru-en,ru,en,unspecified,Сейчас в ряде регионов проблему удалось максимально нивелировать.,"Currently, the problem has been managed to maximally level out in a number of regions.","Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.",0.7943957448005676
