Source,Reference,Translation
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","According to the schedule of the journey, a regular flight of Singapore Airlines will take off from Hazrat Shahjalal International Airport with the President and his entourage."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","Shahidul Hak said, at the meeting the Prime Minister emphasized the importance of peace and stability in this region for achieving the desired goal of development."
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,"In the case of corruption, the permanent committee of BNP has appointed Barrister Moudud Ahmed and the law secretary of BNP, Advocate Sanowar Miya, as their representatives in the High Court."
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,They wished Sheikh Hasina good health and long life.,"They wish for the good health and long life of Sheikh Hasina.

(Note: Sheikh Hasina is a prominent political figure in Bangladesh, currently serving as the Prime Minister of the country.)"
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","The Finance Minister said, the World Bank has never said that our growth will exceed 6 percent."
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"At the same time, Bangladeshis living there have been asked to remain alert.",It is advised for Bengali-speaking people staying in the same place to stay alert.
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,"The hospital administrator, Lakshmi Narayan, has confirmed this."
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,The permanent representative of Bangladesh to the World Tourism Organization and Ambassador Hassan Mahmud Khondakar will welcome the Prime Minister at the airport.
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","Nobody will be allowed to run casino business, Home Minister","Nobody should be allowed to do casino business, Home Minister.

Note: In this sentence, ""Home Minister"" is the assumed title of the person being addressed. The Bengali word used here is ""স্বরাষ্ট্রমন্ত্রী"" (Swaraṣṭramantrī), which literally means ""Home Minister"" in English."
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,"Walton has become the first and only Bangladeshi mobile phone manufacturing company to make this achievement. (Assuming ""this achievement"" refers to something specific mentioned earlier in the context.)"
তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,They were taken to Dhaka Medical College Hospital.,They have been taken to Dhaka Medical College Hospital.
এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.",Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.
বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC).","Dr. Kazi Shahidullah, a distinguished faculty member of the History Department at the University of Dhaka, has been appointed as the new Chairman of the University Grants Commission (UGC) of Bangladesh."
বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,"Entry, exit restrictions to India for Bangladeshi travellers lifted","Lifting of Restrictions on Travel of Bangladeshi Tourists to India

(Note: The Bengali text you provided seems to be a headline or a title of a news article. I have translated it into a corresponding English headline.)"
"মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces.","When Major Sinha's murder has ultimately been sidelined by those in power, it is clear that the government is more interested in moving past the widespread problem within its security forces than finding a solution to the incident."
মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.,"After the lockdown due to the coronavirus became effective in March, most of the bookstores in Dhaka remained closed."
অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations.","The country manager of Amazon Video, Shashank Pandey, and the head of Walton's computer division, and software engineer Liakat Ali, have signed an agreement with their respective institutions."
"বঙ্গবন্ধুর দূরদর্শীপূর্ণ চিন্তা-ভাবনায় অনুপ্রাণিত হয়ে আমরা বিমসটেক, সার্ক, বিবিআইএন ও বিসিআইএমের মতো আঞ্চলিক সহযোগিতা অব্যাহত রেখেছি।","Inspired by Bangabandhu's visionary ideas, we are continuing to champion regional cooperation like BIMSTEC, SAARC, BBIN, BCIM.","Inspired by the farsighted thoughts and ideas of Bangabandhu, we have kept the local contributions like Bimstec, SAARC, BBIN, and BCIME active."
"তিনি বলেন, দ্বন্দ্বের কারণে এই সুবিধাটি অস্ত্র বিক্রেতাদের কাছে যায়।","Due to conflicts, the benefit goes to the arms sellers, she said.","She said, ""Because of the conflict, these advantages go to the arms dealers.""!<{}>

The Bengali text you provided translates to: ""She said, 'Because of the conflict, these advantages go to the arms dealers.'"" in English. In this sentence, the person speaking is identified as ""she"" and she is making a statement about how the advantages (or benefits) are being obtained by arms dealers due to some kind of conflict."
"এছাড়া, সমাজকল্যাণ মন্ত্রণালয়ের প্রতিমন্ত্রী শরীফ আহমেদকে গৃহায়ণ ও গণপূর্ত মন্ত্রণালয়ের প্রতিমন্ত্রী করা হয়েছে।","Besides, State Minister for Social Welfare Sharif Ahmed was made state minister for Housing and Public Works Ministry.","Apart from that, Sharif Ahmed has been made the Minister of Social Welfare and the Minister of Housing and Public Works."
আমাদের প্রতি বছর আট লাখ টন পেঁয়াজ আমাদের আমদানি করতে হয় যার ৯০ ভাগ আসে ভারত থেকে।,"""We are to import eight lakh tonnes of onions every year, of which 90 per cent are imported from India.""","Four million tons of peas are needed to be imported every year, out of which 90% comes from India."
আমরা সন্ত্রাসীদের চিহ্নিত করা মাত্রই তাদের বিরুদ্ধে ত্বরিত পদক্ষেপ নিচ্ছি।,We're taking prompt actions against the terrorists when they're identified.,We wish to take swift action against the identified perpetrators.
"চীনের প্রধানমন্ত্রী বলেন, দুই দেশকে আলোচনার মাধ্যমে এই সমস্যার সমাধান বের করতে হবে।",The Chinese premier said the two countries will have to find out a solution to this end through discussion.,The Prime Minister of China said that this problem will have to be resolved through discussions between the two countries.
"দ্বিতীয় প্রস্তাবে প্রধানমন্ত্রী বলেন, দ্রুত প্রবৃদ্ধির সময়ে সমাজে যেন বৈষম্য আরো বেড়ে না যায় তা আমাদের নিশ্চিত করতে হবে কারণ সম্পদ হতে হবে অন্তর্ভুক্তমূলক এবং তা তৃণমূল পর্যায় পর্যন্ত পৌঁছতে হবে।","In the second idea, Sheikh Hasina said it must be ensured that inequality across societies could not widen in times of faster growth as wealth creation should be inclusive and must trickle down to the grassroot levels.","In the second proposal, the Prime Minister said that we must ensure that inequality does not increase further during the rapid growth phase, because wealth will have to become inclusive and reach the grassroots level."
"তিনি বলেন, একটি টেকসই ব-দ্বীপ বাস্তবায়নে এটি একটি দীর্ঘ মেয়াদি পরিকল্পনা, নীতি এবং অঙ্গীকার ।","It is a long-term strategy, policy and commitment to implement actions for sustainable delta, she said.","She said, ""A blockchain is a long-term plan, policy, and agreement in the real implementation of a Texasi (Tejas) island.""

Note: The word ""Texasi"" or ""Tejas"" is used here, but it is not a commonly used term in the context of blockchain technology. It is possible that there is a misunderstanding or a typo in the original Bengali text. The correct English translation would be:

""She said, 'A blockchain is a long-term plan, policy, and agreement in the real implementation.'"""
জাতীয় নেতাদের নিয়ে মিথ্যা বক্তব্য প্রচার করায় ৬ জন গ্রেপ্তার।,6 arrested for spreading false propaganda on national leaders.,Six arrested for spreading false statements about national leaders.
"যে কারণে পাঠক এ বইয়ে গল্প, ভ্রমণ এবং তথ্য- তিনটিই পাবেন।","That is why readers, in this book, will find three things- stories, travels and information.","The reason that the reader will obtain three things from this book: stories, journeys, and information."
উদয় হাকিম ১৯৭৫ সালের ২৫ মার্চ টাঙ্গাইলের মির্জাপুর উপজেলার বর্ধনপাড়া গ্রামে জন্মগ্রহণ করেন।,Uday Hakim was born on 25 March in 1975 at Bordhonpara village under Mirzapur Upazila of Tangail District.,"Uday Hakim was born in the village of Bardhanpara in the upazela of Mirzapur, Tangail on March 25, 1975."
"কক্সবাজারের উন্নয়ন প্রসঙ্গে শেখ হাসিনা বলেন, সমুদ্র তীরবর্তী এই জেলা এক সময় খুবই অবহেলিত ছিল এবং এর জনগণ অমানবিক জীবনযাপন করত।","While talking about the the development of Cox's Bazar, Sheikh Hasina said the coastal district was once very neglected and the people used to lead an inhuman life.","Regarding the development of Cox's Bazar, Sheikh Hasina said that this district by the sea was once neglected and its people lived in inhuman conditions."
তথ্যের শ্রেণীবিন্যাস অকাট্য প্রয়োজনীয়তা হলেও এই ক্ষমতা কার হাতে নাগরিকদের সে বিষয়ে অবশ্যই সজাগ থাকতে হবে।,"Categorization of information is an irrefutable necessity, but citizens must remain vigilant in terms of who holds the power to do it.","Although the categorization of information is necessary, it is essential that citizens remain vigilant about who has the power in this regard."
প্রধানমন্ত্রী শেখ হাসিনা স্পেনের রাষ্ট্রপতি পেড্রো সানচেজের সঙ্গেও দ্বিপাক্ষিক বৈঠক করবেন।,Prime Minister Sheikh Hasina will also hold a bilateral meeting with Spanish President Pedro Sanchez.,"Prime Minister Sheikh Hasina will hold a bilateral meeting with the President of Spain, Pedro Sanchez."
"প্রধানমন্ত্রী বলেন, ""আমরা জোরপূর্বক বাস্তুচ্যুত রোহিঙ্গাদের প্রত্যাবাসনে মিয়ানমারের সঙ্গে আলোচনা চালিয়ে যাচ্ছি এবং এই বিষয়ে আন্তর্জাতিক সম্প্রদায়ের সহযোগিতা কামনা করেছি।""","The Prime Minister said, ""We're holding talks with Myanmar for repatriation of the forcibly displaced Rohingyas and we also sought help of the international community to this end.""","The Prime Minister said, ""We are holding discussions with Myanmar regarding the return of forcibly displaced Rohingyas and have expressed our desire for international community's cooperation in this matter."""
