Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Skupina pro občanská práva vydala cestovní varování pro Missouri
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,Národní asociace pro pokrok barevných lidí vydala varování pro barevné lidi cestující do Missouri kvůli diskriminačním politikám státu a rasistickým útokům.
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""Poučení NAACP pro cestující pro stát Missouri, platné do 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby věnovali zvláštní pozornost a uplatňovali extrémní opatrnost při cestování po celém státě, vzhledem k řadě sporných, rasově motivovaných incidentů, které se v poslední době odehrály po celém státě a byly v něm uvedeny,"" stojí v prohlášení skupiny."
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Nedávný zákon v Missouri, který ztěžuje lidem vyhrát soudní spory o diskriminaci, stejně jako zákon o vymáhání práva v tomto státě, který neúměrně cílí na menšiny, vedl skupinu k vydání cestovního upozornění, uvedla NAACP."
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"""Máte porušování občanských práv, která se dějí lidem."""
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","Jsou zastavováni kvůli barvě své pleti, jsou biti nebo zabíjeni,"" řekl prezident Missouri NAACP, Rod Chapel, deníku The Kansas City Star."
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"""Slyšíme stížnosti v takovém tempu, jaké jsme dosud neslyšeli."""
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","Je to první takové varování, které organizace vydala pro stát v USA."
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Skupina uvedla případy, jako jsou rasistické urážky proti černým studentům na University of Missouri a smrt Toryho Sanderse, 28letého černocha z Tennessee."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders zemřel v podezřelých okolnostech na začátku tohoto roku poté, co mu během cestování přes stát došel benzín a byl zadržen policejními úřady v Missouri bez obvinění z trestného činu."
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,"Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.","Poradní zpráva také poukazuje na nedávnou zprávu Úřadu generálního prokurátora státu Missouri, která ukazuje, že černí řidiči v tomto státě byli o 75 procent častěji zastavováni než běloši."
"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.","„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.","""Doporučení je, aby lidé byli obezřetní a varovali své rodiny, přátele a kolegy z práce před tím, co by se mohlo stát v Missouri,"" řekl Chapel."
"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""","„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“","""Lidé musí být připraveni, ať už jde o to, že si vezmou s sebou peníze na kauci, nebo o to, že informují své příbuzné, že projíždějí státem."""
"Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.","Podle aktuálních čísel programu FBI k hlášení nenávistných činů došlo v roce 2015 v Missouri ke stovce případů nenávistného chování, což dosazuje stát na šestnácté místo mezi všemi státy.","Missouri zaznamenalo v roce 2015 100 zločinů z nenávisti, podle nejnovějších údajů z programu FBI pro hlášení zločinů z nenávisti, což řadí stát na 16. místo v zemi, pokud jde o počet takových porušení."
