Source,Reference,Translation
Munich 1856: Four maps that will change your view of the city,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","München 1856: Vier Karten, die Ihre Sicht auf die Stadt verändern werden"
"A mental asylum, where today young people are said to meet.","Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Ein Nervenheilanstalt, an dem heute junge Menschen versammelt werden sollen."
"A crypt chapel, where they are now digging tunnels for the S-Bahn.","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","Ein Kryptenkapelle, in dem derzeit Tunnel für die S-Bahn ausgebrochen werden."
Allotment holders cultivate the soil of former farmers.,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Landwirte pflegen den Boden der ehemaligen Bauern.
The oldest official map of Munich brings captivating stories to light.,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,Die älteste offizielle Karte von München erzählt erhellende Geschichten.
It is annoying when geographical maps are not up-to-date.,"Es nervt, wenn Landkarten nicht aktuell sind.","Es ist ärgerlich, wenn Landkarten nicht auf dem neuesten Stand sind."
Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Wer jemals jemals überfordert war, weil das Auto-Navigationssystem eine grüne Felder anstelle einer Umgehung anzeigt, weiß es."
"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Die historischen Karten des digitalen BayernAtlas, einer Leistung des Geoportals Bayern des Staatsministeriums, sind von der Aktualität her nicht zu erwarten – und genau das macht sie zu einer wertvollen Informationsquelle."
Especially when one compares them with current online maps.,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Insbesondere wenn man sie mit den aktuellen Online-Karten vergleicht.
Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Dann wird deutlich, wie sich die Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur-Zeitungs sind seit dem 19. Jahrhundert verändert haben."
The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.","Der digitale BayernAtlas ist ein zusammengesetztes Teppiche, das auf den ersten Blick nicht für was es ist zu erkennen ist."
"Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Im großen Überblicksmap wurden für Städte und Gemeinden detaillierte Pläne erstellt, so genannte Original-Grundrissblätter."
"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,Nach Angaben der Bayerischen Landesvermessung und Kartographischen Landesbehörde entstanden diese zwischen 1810 und 1864 und gehen auf die erste Vermessung Bayerns zurück.
Their commissioner: Napoleon.,Ihr Auftraggeber: Napoleon.,"""Sein Kommissar: Napoleon.""

This is the most accurate and fluent translation of the given sentence into German."
"The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.",Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.,"Im Frühjahr 1800 hatte der französische Armeekommandant das Bayerland besetzt, während des Krieges der Zweiten Koalition mit Österreich."
