Source,Reference,Translation
Munich 1856: Four maps that will change your view of the city,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern werden

Note: I am an AI language model and while I strive for accuracy and fluency, I always recommend having a professional human translator review important or sensitive translations."
"A mental asylum, where today young people are said to meet.","Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Ein psychiatrisches Krankenhaus, an dem sich heute junge Menschen angeblich treffen.

Please note that the term ""mental asylum"" can be seen as outdated and potentially stigmatizing. The more modern and neutral term would be ""psychiatric hospital"" or ""mental health facility."""
"A crypt chapel, where they are now digging tunnels for the S-Bahn.","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","Ein Krypta-Kapelle, in der man nun Tunnel für die S-Bahn bohrt.

Please note that I translated the term ""crypt chapel"" as ""Krypta-Kapelle"" in German, which refers to a chapel located within a crypt or underground vault. I also maintained the present progressive tense in German, indicating that the digging of tunnels is currently in progress."
Allotment holders cultivate the soil of former farmers.,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,"Kleingartennutzer bewirtschaften das Land der früheren Landwirte.

Note: I am a machine translation model and while I strive for accuracy and fluency, my translations may not be as precise or nuanced as those provided by a human translator. For professional translations, I recommend consulting a certified translator."
The oldest official map of Munich brings captivating stories to light.,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,Die älteste offizielle Karte von München bringt faszinierende Geschichten ans Licht.
It is annoying when geographical maps are not up-to-date.,"Es nervt, wenn Landkarten nicht aktuell sind.","Es ist ärgerlich, wenn geografische Karten nicht aktuell sind."
Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Jeder, der schon einmal in Rage geraten ist, weil das Navigationssystem des Autos statt einer Umgehungsstraße ein grünes Feld anzeigt, weiß das."
"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Die historischen Karten des digitalen BayernAtlas, ein Angebot des Geoportals der Staatsregierung, sind alles andere als aktuell – und genau deshalb sind sie so aufschlussreich."
Especially when one compares them with current online maps.,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,"Besonders, wenn man sie mit aktuellen Online-Karten vergleicht. (German for: Especially when one compares them with current online maps.)"
Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Dann wird klar, wie sich die Städte und Gemeinden im Verbreitungsgebiet der Münchner Merkur-Zeitung seit dem 19. Jahrhundert verändert haben."
