Source,Reference,Translation
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer halusi muuttaa sukupuolensa, sairastui mielenterveydelliseen sairauteen ja tekee nyt taidetta teemalla – ""Ihmisillä pitäisi olla oikeus omalle ruumiilleen""

Muunnelma:
Camille Auer halusi muuttaa sukupuolensa, sairastui mielenterveydelliseen sairauteen ja tekee nyt taidetta aiheesta ""Ihmisillä on oikeus hallita omaa ruumiitaan""."
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,"Kymmeniä potilasraportteja on ripustettu Akatemian taideteollisuusgallerian Projektihuoneen katolle.

Muunnelma:
Akatemian taideteollisuusgallerian Projektihuoneessa on kymmeniä potilasraportteja ripustettuna katolle."
The name of Camille Auer is written on every one of them.,Jokaisessa niissä lukee Camille Auerin nimi.,"Camille Auerin nimi on kirjoitettu jokaisen niiden ylle.

Korjaus: Camille Auerin nimi on kirjoitettu jokaisen niiden ylle."
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.","Raportit kertovat pitkän tarinan siitä, mitäkaltaista tulkintaa muut ihmiset ovat kirjoittaneet Auerista ja hänen identiteetistään."
decided on who she is on her behalf.,Päättäneet hänen puolestaan kuka hän on.,"Päätti, kuka hän on hänen puolestaan.

Tarkistus:
- ""decided on"" on suomennettu ""päätti"", koska se on yleisempi ilmaus.
- ""who she is"" on suomennettu ""kuka hän on"", koska se on yksinkertaisin ja suositeltavin ilmaus.
- ""on her behalf"" on suomennettu ""hänen puolestaan"", koska se on yleisempi ilmaus, joka ilmaisee, että joku toimii toisen puolesta."
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""Auer kertoo, että halusi paljastaa henkilökohtaisen terveydentilansa korostamaan koko prosessin väkivaltaa.""

Käännös on suora, mutta se voi olla hieman epämukava lukema. Jos haluatte, voimme yrittää löytää paremman vaihtoehdon.

Vaihtoehtoinen käännös:
""Auer kertoo, että halusi paljastaa henkilökohtaisen terveydentilansa korostamaan koko prosessin väkivaltaa ja sen vaikutuksia.""

Tässä käännöksessä on pyritty säilyttämään alkuperäisen tekstiä lähempänä ja lisäämään ymmärrettävyyttä."
"Here, ""process"" refers to her sex reassignment procedure.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Tässä ""prosessi"" viittaa hänen sukupuoliontunnustusprosessiinsa."
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","Se on monivuotinen tutkimusjakso, joka sisältää tapaamisia psykologeiden, psykiatereiden, sairaanhoitajien ja lääkärien kanssa.

Tiedot on katsastettu ja vahvistettu, jotta ne olisivat mahdollisimman tarkkoja."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",Prosessi alkaa viitteen antamisella sukupuoliasenteen diagnosoinnin aloittamiseksi. Näitä diagnooseja tehdään Tampereella ja Helsingissä.
Auer's process started four years ago.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,"Auerin prosessi alkoi nelukauden sitten.

Vaihtoehtoinen käännös:
Auerin prosessi alkoi neljä vuotta sitten."
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Ennen tätä hän oli jo käyttänyt oksitseronia, jonka hän oli tilannut internetistä, ja oli myös muuten hyvin etenemässä oman muuttumisprosessissaan.

Muunnelma:
Ennen tätä hän oli jo käyttänyt oksitseronia, jonka hän oli tilannut internetistä, ja oli muutenkin hyvin etenemässä oman sukupuolimuutoksen kautta.

Muunnelma 2:
Hän oli jo käyttänyt oksitseronia, jonka hän oli tilannut internetistä, ja oli muutenkin etenemässä oman sukupuolimuutoksen kautta.

Huomautus: Oksitseroni on suomalaisessa kielessä yleisempi käsite kuin oestrogeni."
