Source,Reference,Translation
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer halusi muuttaa sukupuoltaan, sai mielenterveyden häiriön diagnosin ja tekee nyt taidetta teemalla – ""Ihmisillä pitäisi olla oikeus omassa ruumiissaan"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Kymmeniä potilasraportteja on roikkuvat Projektin Huoneen galleriassa Taideyliopiston.
The name of Camille Auer is written on every one of them.,Jokaisessa niissä lukee Camille Auerin nimi.,"The translation of the text to Finnish is:
    Kaikkialla heillä on Camille Auerin nimi."
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –
decided on who she is on her behalf.,Päättäneet hänen puolestaan kuka hän on.,"Päätetty, kuka hän on hänen puolestaan."
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to reveal my personal medical history to emphasize the brutality of the entire process"", Auer says."
"Here, ""process"" refers to her sex reassignment procedure.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure."
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","Se on monivuotinen tutkinta-aika, johon kuuluu tapaamisia psykologeiden, psykiatreiden, sairastuvanhoitajien ja lääkärien kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process begins with a referral to diagnose a gender identity disorder. These diagnoses are conducted in Tampere and Helsinki.
Auer's process started four years ago.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auerin prosessi alkoi neljä vuotta sitten.
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Ennen tätä, hän oli jo käyttänyt oestrogenia, jonka hän oli tilannut internetistä, ja oli myös muutenkin hyvin eteenpäin omassa muutoksensa menettelyssään."
"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Vaikka hän tunsi itsensä naiseksi, Suomen lainsäädäntö määrää, että yksilöllä on käytävä läpi uudelleenluvuutusmenettely ennen kuin sukupuolta voidaan muuttaa lailla myös."
"The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","Lakiot, jotka koskevat transsukupuolisia henkilöitä (563/2002), eli transsäädös, velvoittaa transsukupuoliset henkilöt pakolliseen sterilisaatioon, jotta heidän oikea sukupuolensa voidaan rekisteröidä, esimerkiksi Väestörekisterikeskuksessa ja heidän passissaan."
"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.",Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"Tällä hetkellä jokainen, joka aikoo muuttaa sukupuoltaan, on velvollinen saamaan psykiatrisen diagnoosin ja todistuksen kyvyttömyydestään lisääntyä."
People should have the right to decide on their own body.,Ihmiselle kuuluu oikeus päättää omasta kehostaan.,People should have the right to decide on their own body.
"""This situation is intolerable and in violation of human rights"", Auer says.","""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","Tämä tilanne on sietämätön ja ihmisoikeuksia rikkoo, Auer sanoo."
Amendments to the Finnish trans act have been on the table for long.,Translain uudistamisesta on puhuttu Suomessa jo pitkään.,Muutokset Suomen lain säännöksiin ovat olleet pöydällä jo pitkään.
"The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination.","YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination."
"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health.",Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health."
"After the following elections, the Finns Party received seats in the Government.",Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,"Jälkeen tällaisissa vaaleissa, Suomen Kansanpuolue sai paikkoja hallituksessa."
"Now, the amendments are again at a standstill",Nyt lakimuutos on jälleen jumissa.,"Nyt, muutokset ovat taas pysähdyneet."
due to internal disagreements that are not even related to this particular act.,"Kyse on sisäpoliittisista riidoista, jotka eivät edes liity tähän kyseiseen lakiin.",Koska sisäiset erimielisyydet eivät liity tämän erityiseen toimiin.
