Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,**Валорирање сценарија монетарне политике**
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Мюнхен – Как долго центральные банки будут слепо полагаться на строгие правила, чтобы контролировать инфляцию и стимулировать рост?"
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Nimble monetarpolitikaren faydasından yararlanan merkez bankacılar, esneklikten yararlanma imkânlarını göz önünde bulundurmalıdır."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Monetaristične politike polja duži je da ako je inflacija niža od zvaničnih opsega ciljeva, kratkoročne kamatne stope trebale biti postavljene na nivo koji pokreće potrošnju i ulaganja."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Ovaj pristup znači da kada stopa kamatnih uloga dospije ili se približi nuli, centralne banke nemaju drugo izbor nego da aktiviraju velike programe otkupnje imovine, koji su namijenjeni poboljšavanju tražnje."
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.",Neo-Keynesian ekonometrični modelima korištenjem određenih scenarija postaju osnova donošenja odluka u iznimnim okolnostima.
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Međutim, u mnogim slučajevima, te skripte nas vode u zabludu, jer pretpostavljaju da je monetarna politika imala mjerljivu i predvidljivu utjecaj na zahtjev i inflaciju."
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Огромное количество причин для того, чтобы поставить под сомнение эту гипотезу."
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Поначалу, дома не ответили ультранизким процентным ставкам, сохраняя меньше и тратя больше."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Kuiše da suštedke više ne daju povrat, ljudi ne mogu se udovati velike troškove ili uštedjeti za penziju u budućnosti."
