Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,"মুদ্রানীতি নীতি পুনর্লিখন

অনুবাদ:"
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",মিউনিখ – কতদিন বৃহত্তর কেন্দ্রীয় ব্যাংকগুলি অবিচল নিয়মের উপর অস্পষ্টভাবে নির্ভর করবে বৃদ্ধি এবং বৃদ্ধি নিয়ন্ত্রণের জন্য উত্সাহিত করার জন্য?
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"সুস্পষ্ট আর্থিক নীতির সুবিধাগুলি দেখে, কেন্দ্রীয় ব্যাংকারদের অবশ্যই আপনার চোখ খুলে দেখতে হবে যে আপনার সুবিধার সম্ভাবনাগুলি কী।

Note: I translated 'flexibility' as 'সুবিধা' which is a bit literal. A more idiomatic translation would be 'সুবিধার সম্ভাবনা' or 'সুবিধার সুযোগ'. However, 'সুবিধা' is a common translation for 'flexibility' in Bengali."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","মুদ্রানীতি নির্ধারকদের জন্য একটি মূল্যবোধ হিসেবে থাকে যে যদি অতিরিক্ত চাহিদার হার সরকারী লক্ষ্য পরিসরের নিচে থাকে, তাহলে সংক্ষিপ্ত মেয়াদি আকর্ষণীয় হার বেঁচে থাকা এবং বিনিয়োগের জন্য উত্সাহিত করার জন্য সেট করা উচিত।

Note: I have translated the given text to Bengali (কথ্য কথ্য) as per your request."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"এই পদ্ধতিটি বোঝায় যে আবেশের হার শূন্যে পৌঁছালে বা তার কাছাকাছি পৌঁছালে, কেন্দ্রীয় ব্যাংকগুলির কাছে বড় মূলধন ক্রয় কর্মসূচি চালু করার জন্য কিছু বিকল্প নেই যা চাহিদা উত্তেজনা করার জন্য উদ্দেশ্যী।

Note: I translated 'asset-purchase programs' to 'বড় মূলধন ক্রয় কর্মসূচি' as it is the closest equivalent in Bengali. However, 'asset-purchase programs' is a specific economic term and may not be perfectly translated."
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","যখন পরিস্থিতি তাদের জন্য সঠিক হয়, তখন নীতিনির্ধারকরা নব-কেইনসীয় অর্থনৈতিক মডেলের নির্ধারিত স্ক্রিপ্টে পতন করেন।"
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","কিন্তু অনেক ক্ষেত্রে, সেই স্ক্রিপ্টগুলি আমাদের ভুল দিকে নিয়ে গেছে, কারণ তারা ধরে নিয়েছে যে আর্থিক নীতি চাহিদা এবং বৃদ্ধির উপর মাপযোগ্য এবং ভবিষ্যদ্বাণীযোগ্য প্রভাব রয়েছে।"
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,এই ধারণাটি পরীক্ষা করার জন্য অনেক কারণ আছে।
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","শুরুতে, ঘরের দায়িত্বে থাকা লোকেরা অত্যন্ত কম বিনিয়োগ হারের প্রতিক্রিয়া দিয়ে কম আয় রেখে বেশি খরচ করেনি।

Note: I translated ""households"" as ""ঘরের দায়িত্বে থাকা লোকেরা"" which is a more accurate translation in Bengali."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","যদি বাঁচানো অর্থ আর কোনো আয় না দেয়, তাহলে মানুষ বড় খরচের আইটেম কিনতে পারে না বা ভবিষ্যতে অবসরের জন্য টাকা দিতে পারে না।"
