Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,Tūkstantinės minios panika Centriniame parke griuvus barjerui,"Tūkstantys Centrinio parke panikuoja po barjero griūties
Translation:"
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Policijos barjeros griūvimas sukėlė tūkstančius žmonių bėgti panikoje Centrinėje parke, bijant galimų šūvių politiškai įkrautame šou."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Žinomi asmenys, pradedant nuo demokratų Niujorko gubernatoriaus Andrew Cuomo ir baigiant republikonų senatoriumi Jeff Flake, iki Janet Jackson ir John Legend, ragino žiūrovus dalyvauti šalies sutrikusioje politikoje."
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Valdžios greitai užtikrino minia, kad jie buvo saugūs, po to, kai barjeras nuvirto šeštadienį vakarą."
Burning social justice issues dominated the event that started on a sunny afternoon.,Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"Degintys socialinę teisingumą dominuojantys klausimai vyko renginyje, kuris prasidėjo saulėtomis popietėmis."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Apie 60,000 žmonių užpildė parko Didžiąją gazoną Global Citizen Festivalio metu, taip pat laukdami Cardi B, The Weeknd ir kitų pop žvaigždžių."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"Kai kurie kalbėtojai paprašė auditorijos susisiekti su savo Kongreso nariais, reaguoti į šią savaitę vykusius Senato klausimus dėl Aukščiausiojo Teismo kandidato Brett Kavanaugh."
Alastair Seeley continues British Supersport winning run at Assen,Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley tęsia britų supersporto pergalę Asene
Alastair Seeley has continued his winning form in British Supersports,Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley tęsia savo laimėjimą Britų supersportuose.
Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley pelnė savo trečiąją pergalę iš penkių Britų supersporto lenktynių, laimėdamas 12-ratų sprinto lenktynes šeštadienį Asene, Nyderlanduose."
The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","Carrickfergus važiuotojas užfiksavo finišą per 0,05 sekundes nuo savo Yamaha komandos draugo Jack Kennedy."
The 38-year-old also won races at Silverstone and Oulton Park this month.,38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,38-metis taip pat laimėjo lenktynes Silverstone ir Oulton Park šį mėnesį.
Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Sili (Seeley) varžosi už Šiaurės Airijos bazuojančią EHA Racing komandą, kuriai jis laimėjo lenktynę gegužės mėnesį vykusiame Šiaurės Vakarų 200 tarptautiniame kelių lenktynių renginyje."
The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.","Buvęs britų čempionas ir Kenedis buvo įsivėlę į visą lenktynę trukusį kovą, ir nors Dublinietis dar bandė paskutinę minutę, jam nepavyko prasiskirti pro Šiaurės Airijos lenktynininką."
Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Seeley's komandos narys David Allingham buvo septintas šeštadienio Supersport lenktynėse.
Scott Swann was eighth in the British Talent Cup race.,Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,Skot Swann buvo aštuntas Britų Talentų Taurės lenktynėse.
Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.,"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.","Glenn Irwin buvo ketvirtas greičiausias kvalifikacijoje sekmadienio dviejų Didžiosios Britanijos Superbike lenktynių metu savo Be Wiser Ducati, siekdamas pagerinti savo esamą ketvirtąją vietą čempionato lentelėse."
It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.,"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.","Anksčiau šią savaitę buvo atskleista, kad Irwin perės į JG Speedfit Kawasaki komandą 2019 m. sezonui."
Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.,"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.",Toomebridge pilotas Michael Laverty buvo 13-as savo Tyco BMW ir Andrew Irwin 14-as antrojo PBM Ducati.
Why are Hong Kong domestic workers practising their dance moves?,Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Kodėl Honkongo vidaus darbuotojai praktikuoja savo šokio judesius?
