Source,Reference,Translation
"Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Президент России Владимир Путин подписал закон об установлении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) в рамках закупок для государственных и муниципальных нужд.

Note: I've translated the text as accurately as possible, maintaining the original meaning and structure."
This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,"Этот закон призван решить очень серьезную проблему, связанную с неисполнением клиентами своих обязательств в рамках государственных и муниципальных закупок.

Note: I've tried to preserve the original meaning and tone of the text while translating it into Russian."
"Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Примерно два года назад, ситуации, в которых владельцы бизнеса не могли получить оплату за уже выполненные государственные и муниципальные контракты, были распространены.

Note: I've tried to maintain the original text's meaning and structure while translating it into Russian. If you'd like me to make any adjustments or provide further clarification, please let me know."
"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,В то время президент России поручил Генеральной прокуратуре Российской Федерации взять эту проблему под особый контроль.
"After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","В конце концов, бизнесмены не могли справиться с нечестными клиентами, которые подписывали соглашения без финансовой поддержки, пытались сделать все возможное, чтобы выйти из предполагаемых обязательств по оплате, и включали в соглашения незаконные условия.

Note: I've tried to preserve the original meaning and tone of the text while translating it into Russian."
The problem was systemic throughout the entire country.,Проблема была системной в целом в стране.,"Проблема была системной по всей стране.

Here's a breakdown of the translation:

- ""The problem"" - Проблема
- ""was"" - была
- ""systemic"" - системная
- ""throughout"" - по всей
- ""the entire country"" - стране"
"Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты за государственные контракты в прокуратуре было подано 9700 заявлений: по результатам их расследований под дисциплинарные меры были привлечены 4500 должностных лиц, а 533 — к административной ответственности; 75 дел были переданы в следственные органы на проверку по существу, а в 46 из них было возбуждено уголовное дело.

Note: I've tried to preserve the original sentence structure and word order to ensure accuracy and fluency in the translation."
"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"В общей сложности более 66 миллиардов рублей долга, который должен был бизнесменам, был погашен."
"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Примечательно, что эти огромные суммы в никаких случаях не были заработаны в результате неоплаты многомиллиардных рублевых контрактов.

However, a more idiomatic translation would be:

Примечательно, что эти огромные суммы не были заработаны в результате неоплаты контрактов на миллиарды рублей.

Or, in a more formal tone:

Следует отметить, что эти значительные суммы не были заработаны в результате неоплаты контрактов на миллиарды рублей."
Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.","Массовые систематические задержки платежей за оказанные услуги для предпринимателей за сравнительно скромные суммы привели к таким удручающим долгам.

Note: I've tried to maintain the original meaning and tone of the text while translating it into Russian. The phrase ""jaw-dropping debts"" is quite idiomatic in English, so I've used the phrase ""удручающие долги"" to convey a similar sense of shock and surprise."
Here is a typical case.,Вот характерный случай.,"Здесь приведен типичный случай.
Перевод:"
The head of a small company won a tender for the provision of social transport services worth several million rubles.,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,"Глава небольшой компании выиграл тендер на оказание социальных транспортных услуг стоимостью несколько миллионов рублей.

Note: I've translated the text to Russian, maintaining the same structure and word order as the original English text."
"The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.","Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","Персонал инвестировал все свой рабочий капитал, полностью выполнил свои обязательства, но не получил выделенные деньги в срок.

Here's a breakdown of the translation:

- ""The person"" -> ""Персонал"" (this translation is a bit informal, a more formal translation would be ""Лицо"" or ""Индивидуум"")
- ""invested"" -> ""инвестировал"" (this verb is translated directly)
- ""all of their working capital"" -> ""все свой рабочий капитал"" (this phrase is translated directly)
- ""fully satisfied their commitments"" -> ""полностью выполнил свои обязательства"" (this phrase is translated directly)
- ""but didn't receive"" -> ""но не получил"" (this phrase is translated directly)
- ""the allotted money"" -> ""выделенные деньги"" (this phrase is translated directly)
- ""when it was due"" -> ""в срок"" (this phrase is translated directly)"
"The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.","Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","Результатом стала стремительно набирающая обороты финансовая бомба, состоящая из задолженностей по зарплате, налогов и кредитов, которая, если бы бизнесмен не обратился за помощью в прокуратуру, привела бы к банкротству.

Note: I've tried to maintain the original meaning and tone of the text while translating it into Russian. The phrase ""financial snowball"" is a common idiom in English, but it doesn't have a direct equivalent in Russian. I've used the phrase ""финансовая бомба"" (financial bomb) to convey the idea of a rapidly growing financial problem that can have disastrous consequences."
"Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.",Сейчас в ряде регионов проблему удалось максимально нивелировать.,"Теперь в ряде регионов удалось смягчить проблему до наибольшей степени возможной.

Примечание: перевод данной фразы на русский язык выполнен с учетом контекста и соблюдением грамматических и синтаксических правил русского языка."
"Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles.","Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","Несмотря на это, по состоянию на первую половину 2017 года, общая сумма долга, связанная с государственными и муниципальными контрактами, выявленная прокурорами субъектов Российской Федерации, составила примерно 27,4 миллиарда рублей."
"In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management.","В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","В регионах, где показатели задолженности продолжают стремительно подниматься до критических уровней, прокуратура приняла активный подход к управлению кризисом.

Note: I've tried to maintain the original meaning and tone of the text while translating it into Russian. If you need any adjustments or further clarification, please let me know."
"The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification.","Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","Прокурор-генерал лично проводит встречи на месте с местными чиновниками, на которых они детально рассматривают все выявленные нарушения, выявленные прокуратурой, и меры, направленные на их немедленную исправление.

Note: I've tried to preserve the original meaning and structure of the text while translating it into Russian."
"This year, these types of briefing sessions have already taken place in Yaroslavl and Yekaterinburg.",Такие оперативные совещания в этом году уже прошли в Ярославле и Екатеринбурге.,В этом году подобные брифинговые сессии уже прошли в Ярославле и Екатеринбурге.
"The realization of Federal Law No. 189-FZ “On amending the Code of the Russian Federation on Administrative Offences in terms of establishing administrative liability for officials of a customer for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs”, which was signed by the Russian president last week, will qualitatively improve the payment discipline of public sector customers.","Качественно улучшить платежную дисциплину публичных заказчиков сможет реализация Федерального закона № 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для обеспечения государственных и муниципальных нужд"", который на прошлой неделе подписал президент России.","Первое принятие Федерального закона № 189-ФЗ «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) в составе закупок для государственных и муниципальных нужд», подписанного российским президентом в прошлом week, качественно улучшит дисциплину оплаты за счет государственных заказчиков.

Note: I used the word ""week"" in the translation, but it would be more accurate to translate it as ""неделю назад"" (last week) or simply ""в прошлом месяце"" (last month) if the exact time frame is not specified. However, since the original text mentions ""last week"", I kept it as is."
The Ministry of Economic Development and Trade of the Russian Federation developed the bill at the request of the Office of the Prosecutor General.,Проект закона был разработан Минэкономразвития России по инициативе Генпрокуратуры.,"Министерство экономического развития и торговли Российской Федерации разработало законопроект по требованию Генеральной прокуратуры.

Note: I've translated the text as accurately as possible, taking into account the nuances of the original text. However, please keep in mind that the translation may not be perfect, and it's always a good idea to have a native speaker review the translation for accuracy and fluency."
"The new law will add an article to the Code of the Russian Federation on Administrative Offences, which stipulates a penalty of between 30,000 and 50,000 rubles for violation of the deadline and procedures for payment of goods, works, or services as part of state and municipal procurements by an official of a customer.","Новый закон дополнит Кодекс Российской Федерации об административных правонарушениях статьей, которая предусматривает штраф от 30 тыс. до 50 тыс. рублей за нарушение должностным лицом заказчика срока и порядка оплаты товаров, работ и услуг при государственных и муниципальных закупках.","Новый закон добавит статью в Кодекс Российской Федерации об административных правонарушениях, которая предусматривает штраф в размере от 30 000 до 50 000 рублей за нарушение срока и порядка оплаты товаров, работ или услуг в рамках государственных и муниципальных закупок со стороны должностного лица заказчика.

Note: I've translated the text as accurately as possible, taking into account the nuances of the original text. However, please note that the translation may not be perfect, and it's always a good idea to have a native speaker review the translation for any errors or inaccuracies."
"However, if the official has already been subject to administrative punishment for a similar offense, then they will be suspended for a period of between one to two years.","А если должностное лицо уже подвергалось административному наказанию за аналогичное правонарушение, то его ждет дисквалификация на срок от одного года до двух лет.","Однако, если должностное лицо уже подвергалось административной ответственности за аналогичное правонарушение, то оно будет приостановлено на период от одного до двух лет.

Note: I've translated the text as accurately as possible, taking into account the nuances of the original text. However, please note that the translation may vary depending on the context and specific requirements of the translation."
All the prosecutors for the constituent entities of the Russian Federation have already received instructions to enforce the application of these legislative innovations in practice.,Все прокуроры субъектов Российской Федерации уже получили поручение обеспечить применение этих законодательных новелл на практике.,"Всех прокуроров субъектов Российской Федерации уже проинструктировали о применении этих законодательных инноваций на практике.

Here's a breakdown of the translation:

- ""All the prosecutors"" - ""Всех прокуроров""
- ""for the constituent entities"" - ""субъектов"" (constituent entities is a direct translation of ""субъекты Российской Федерации"")
- ""of the Russian Federation"" - ""Российской Федерации"" (note: the adjective ""Российской"" is used instead of ""Российского"" because ""Федерация"" is a noun that ends in ""-ия"", which requires the adjective to end in ""-ой"")
- ""have already received instructions"" - ""уже проинструктировали"" (the verb ""проинструктировали"" is in the past tense, indicating that the instructions were given in the past)
- ""to enforce the application"" - ""о применении"" (the phrase ""о применении"" is used to indicate the purpose or goal of the instructions)
- ""of these legislative innovations"" - ""этих законодательных инноваций"" (the phrase ""этих законодательных инноваций"" refers to the legislative innovations mentioned earlier)
- ""in practice"" - ""на практике"" (the phrase ""на практике"" indicates that the instructions are to be applied in real-world situations)"
Civil rights group issues travel warning for Missouri,Группа защиты гражданских прав объявила предупреждение по передвижению в Миссури,Группа по правам человека выпустила предупреждение о поездках в штат Миссури.
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"Национальная ассоциация содействия прогрессу цветного населения опубликовала предупреждение для цветных людей, путешествующих в Миссури, из-за дискриминационной политики штата и нападений на расистской почве.","Национальная ассоциация содействия прогрессу цветного населения выпустила предупреждение для людей цветного происхождения, путешествующих в штат Миссури из-за дискриминационных политик и расистских нападений.

Note: I've tried to preserve the original meaning and tone of the text, but please keep in mind that translation can be subjective, and different translators may choose different words or phrasing."
