Source,Reference,Translation
"Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Президент России Владимир Путин подписал закон об установлении административной ответственности за нарушение сроков и порядка оплаты товаров (работ, услуг) в рамках закупок для государственных и муниципальных нужд."
This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,Этот закон призван решить очень серьезную проблему невыполнения заказчиками своих обязательств в рамках государственных и муниципальных закупок.
"Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Только два года назад ситуации, когда владельцы бизнеса не могли получить оплату за уже исполненные государственные и муниципальные контракты, были широко распространены."
"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,В то время президент России поручил Генеральной прокуратуре Российской Федерации взять этот вопрос под особый контроль.
"After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","В конце концов, бизнесмены не могли сами справиться с недобросовестными клиентами, которые подписывали соглашения без финансового обеспечения, изо всех сил пытались уклониться от взятых на себя обязательств по платежам и включали в соглашения незаконные условия."
The problem was systemic throughout the entire country.,Проблема была системной в целом в стране.,"Проблема была системной по всей стране.

(Note: I've maintained the original sentence structure and word choice to ensure accuracy and fluency in the Russian translation.)"
"Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","С 2015 года 9 700 обращений, в интересах защиты прав бизнесменов на получение оплаты по государственным контрактам, были поданы в Генеральную прокуратуру: по результатам их расследований 4 500 должностных лиц подверглись дисциплинарным мерам, а 533 были привлечены к административной ответственности; 75 дел были направлены в следственные органы для процессуального рассмотрения, и уголовные производства были возбуждены в 46 из них.

Note: I translated ""business owners"" to ""бизнесменов"" which is more common in Russian, but if you want to keep the original meaning, you can use ""собственников бизнеса"" instead.

Also, I used ""Генеральную прокуратуру"" for ""Office of the Prosecutor General"", but in Russia, the official name is ""Генеральная прокуратура Российской Федерации"", so if you want to be more precise, you can use the full name."
"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"В общей сложности было погашено более 66 миллиардов рублей долга, задолженного владельцам бизнеса."
"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Заметим, что эти огромные суммы отнюдь не накопились в результате неуплаты по многомиллиардным рублевым контрактам."
Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.","Многочисленные систематические задержки в оплате услуг бизнес-владельцам за значительно более скромные суммы привели к этим ошеломляющим долгам.

(Note: I've tried to maintain the original tone and nuance of the text in the translation. If you'd like me to make any adjustments, please let me know.)

Alternatively, a more literal translation could be:

 Многочисленные систематические задержки в оплате услуг владельцам бизнеса за значительно более скромные суммы привели к этим ошеломляющим долгам.

However, the first translation I provided is more fluent and natural-sounding in Russian."
