Source,Reference,Translation
"Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Президент России Владимир Путин подписал закон об установлении административной ответственности за нарушение срока и процедур оплаты товаров (работ, услуг) в рамках закупок для государственных и муниципальных нужд."
This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,"данный закон предназначен для решения очень серьезной проблемы, связанной с неисполнением клиентами своих обязательств в рамках государственных и муниципальных закупок.
    Translation:"
"Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Приведенный ниже текст на английском языке переведен на русский язык:
    Только два года назад, ситуации, в которых предприниматели не могли получить оплату за уже выполненные государственные и муниципальные контракты, были широко распространены."
"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,В то время российский президент поручил Генеральной прокуратуре Российской Федерации взять это дело под особый контроль.
"After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","В конце концов, предприниматели не могли самостоятельно справиться с нечестными клиентами, подписывавшими контракты без финансового обеспечения, старавшимися выйти из принятых на себя обязательств по оплате и включавшими незаконные условия в контракты."
The problem was systemic throughout the entire country.,Проблема была системной в целом в стране.,Проблема была системной по всей стране.
"Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","С 2015 года было подано 9 700 петиций, защищающих права предпринимателей на получение оплаты за государственные контракты, от Офиса Генерального прокурора: по результатам их расследований, 4 500 чиновников подверглись дисциплинарным мерам, и 533 лица были привлечены к административной ответственности; 75 дел были переданы в следственные органы для проведения процессуального рассмотрения, и в 46 из них были начаты уголовные дела."
"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"В целом, было погашено более 66 миллиардов рублей долга, причитающихся предпринимателям.
    Translation:"
"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Примечательно, что эти огромные суммы не были накоплены в результате неоплаты контрактов на миллиарды рублей."
Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Многочисленные систематические задержки в оплате услуг для предпринимателей за значительно более скромные суммы привели к этим ошеломляющим долгам.
Here is a typical case.,Вот характерный случай.,"Это типичный случай.
    Translation:"
The head of a small company won a tender for the provision of social transport services worth several million rubles.,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,"Глава небольшой компании выиграл тендер на предоставление социальных транспортных услуг на сумму несколько миллионов рублей.
    Translation:"
"The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.","Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","Человек инвестировал все свое рабочее капитало, полностью выполнил свои обязательства, но не получил обещанные деньги, когда они должны были быть выплачены."
