Source,Reference,Translation
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer wanted to correct their gender, was diagnosed with a mental illness, and now they create art about the issue - ""One should have the right to one's own body""."
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"The translation of the Finnish text to English is:
""Hundreds of patient records are hanging from the ceiling of the Project room - gallery at the Academy of Fine Arts."""
Jokaisessa niissä lukee Camille Auerin nimi.,The name of Camille Auer is written on every one of them.,"The translation of the Finnish text ""Jokaisessa niissä lukee Camille Auerin nimi."" is ""In each of them, it reads Camille Auer's name."""
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The papers tell a multi-year story about how external people have written up their interpretations of Auer and his identity.
Päättäneet hänen puolestaan kuka hän on.,decided on who she is on her behalf.,"The translation of the Finnish text ""Päättäneet hänen puolestaan kuka hän on"" to English is ""Decided on his behalf who he is""."
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""I wanted to share my personal care history so that the violence in the process would become visible"", Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure.","The text translates to: ""On the process, he refers to the gender correction process."""
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","The text translates to: ""It is often a long-term research phase that includes meetings with psychologists, psychiatrists, nurses, and doctors."""
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"The process starts with the dispatch ""gender identity disorder"" diagnostic examinations, which are conducted in Tampere and Helsinki."
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auer's process started four years ago.,The process started on Auerin four years ago.
Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","Before this, he hadn't used the internet to order the estrogen he had and was otherwise quite far along in his own correction process."
"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","She felt like a woman, but according to Finnish law, a person must go through a correction process to have their gender corrected also legally."
"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","The translation of the Finnish text to English is:
""Translaki, or the law on the confirmation of the gender identity of transsexuals (563/2002), obliges transsexual individuals to undergo sterilization in order to obtain the correct gender, for example, in the population register center and passport."""
Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.","Currently, everyone who corrects their gender identity is required to have a psychiatric diagnosis and proof of infertility."
Ihmiselle kuuluu oikeus päättää omasta kehostaan.,People should have the right to decide on their own body.,"The translation of the Finnish text ""Ihmiselle kuuluu oikeus päättää omasta kehostaan"" to English is ""It is a human right to decide about one's own body."""
"""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""This situation is intolerable and in violation of human rights"", Auer says.","This situation is unbearable and violates human rights, says Auer."
Translain uudistamisesta on puhuttu Suomessa jo pitkään.,Amendments to the Finnish trans act have been on the table for long.,"The translation of the Finnish text is: ""Discussion about updating has been going on in Finland for a long time."""
"YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination.","The UN Human Rights Committee has issued eight warnings under the law, and the European Court of Human Rights has a precedent decision that binds the parties to the European Human Rights Convention to respect the right to self-determination."
Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health.",The previous Finnish government prepared the amendment to the law under the leadership of then Social and Health Minister Susanne Huovinen.
Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,"After the following elections, the Finns Party received seats in the Government.","The text translates to: ""The fire came and the Finns Party rose to power."""
Nyt lakimuutos on jälleen jumissa.,"Now, the amendments are again at a standstill",The text you provided is already in English. It seems to be a statement about a legislative change being stuck or delayed. Is there anything else you need help with?
"Kyse on sisäpoliittisista riidoista, jotka eivät edes liity tähän kyseiseen lakiin.",due to internal disagreements that are not even related to this particular act.,The issue is about internal political disputes that do not even relate to this law.
"""Hallitus ei halua nostaa sitä pöydälle, koska hallituksen sisällä on erimielisyyksiä lain muuttamisesta"", kertoo Amnestyn Suomen osaston toiminnanjohtaja Frank Johansson.","""The Government is not willing to handle the act, as there are disagreements over the amendments within the Government"", says Frank Johansson, director of Amnesty Finland.","The government does not want to bring it to the table because there are disagreements within the government about changing the law, says Frank Johansson, the head of operations for Amnesty International's Finnish branch."
Näyttelytilan etuosaa hallitsevat kaksi suurta installaatiota.,The front of the exhibition area is dominated by two large installations.,The two large installations dominate the front area of the exhibition space.
Toinen niistä muodostuu Auerin käyttämien lääkkeiden pakkauksista ja käyttöohjeista.,One of these is made of the packages and instructions of medicinal products used by Auer.,"The translation of the Finnish text is: ""One of them is formed from the packaging and usage instructions of the medications used by Auer."""
Potilaskertomus-installaatiossa kuka tahansa kävijä voi lukea esimerkiksi Tampereen yliopistollisen sairaalan transpolin psykologin tulkinnan Auerista.,"Any visitor to the patient record installation can read, for example, the interpretation a psychologist working in the transgender department of Tampere University Hospital has made of Auer.","In the patient record installation, anyone visiting can read, for example, the psychologist's interpretation of Auer from Tampere University Hospital's Transpolin."
"Psykologi tapasi Camille Auerin kaksi kertaa ja kirjoitti näiden perusteella kertomuksen, joka tulisi määrittelemään Auerin oikeuden hoidon sekä avun saamiseen.","The psychologist met Camille Auer two times and, on the basis of these meetings, wrote a report that would define Auer's rights to receive treatment and assistance.","The psychologist met Camille Auer twice and wrote a narrative based on these meetings, which aimed to define Auer's right to treatment and assistance."
Tutkittavan todellisuuden­taju näyttäytyy alttiina horjumiselle.,The patient's sense of reality is reported to be close to shaking.,"The text translates to: ""The awareness of the examined reality appears vulnerable to shaking."""
Tutkittavan käsitys itsestä näyttäytyy rajatilatasoisella tavalla hajanaisena ja persoonallisuuteen liittyvät epävakaat piirteet korostuvat.,The patient's conception of herself seems to be disorganised as a borderline case and the unstable features of her personality are emphasised.,"The understanding of oneself appears in a fragmented and personalized way, with unstable features related to personality being emphasized."
Auer ei tunnistanut itseään näistä kuvauksista.,Auer does not recognise herself from these reports.,"The translation of the Finnish text ""Auer ei tunnistanut itseään näistä kuvauksista."" is ""Auer did not recognize himself in these descriptions."""
"""Oli järkytys kuulla, että minut diagnosoitiin mielisairaaksi"", Auer sanoo.","""It was shocking to hear that I was diagnosed as mentally ill"", Auer says.","The translation of the Finnish text to English is:
    ""There was a shock in my ear, that I was diagnosed as mentally ill"", Auer says."
"Vielä suurempi järkytys oli, kun Auerille ei myönnetty sukupuolenkorjaushoitoa.",What was even more shocking was that Auer was not given access to gender reassignment surgery.,The shock was even greater when Auer was not granted gender correction treatment.
Hoitohenkilökunnan mukaan hänen voimavaransa eivät olleet riittävät prosessin aloittamiseen.,"According to the nursing staff, she did not have sufficient resources to start the process.","According to the staff, his resources were not sufficient to initiate the process."
Häneltä kiellettiin oma identiteettinsä.,Her own identity was denied from her.,"The translation of the Finnish text ""Häneltä kiellettiin oma identiteettinsä"" to English is ""His/her own identity was taken away."""
Silloin 11. helmikuuta 2015 ­Auer käveli ulos tapaamisesta ja potkaisi transpolin odotusaulan television hajalle.,"On that day on 11 February 2015, Auer walked out of the meeting and smashed a TV in the waiting room of the transgender department.","At that time on February 11, 2015, Auer walked out of the meeting and kicked over the waiting area's television in the transpolin."
"Myöhemmin tuosta televisiosta syntyi taideteos nimeltään Monument for the Excluded, jossa Auer reflektoi kokemustaan vallasta ja sen käyttämisestä.","Later, that TV evolved into a Monument for the Excluded, a work of art through which Auer reflects on her experiences in power and how it is exercised.","Later, from that television, a work of art was born called Monument for the Excluded, where Auer reflected on his experiences with power and its use."
"""On hullua, että kuka tahansa syntymässä naiseksi määritelty ihminen voi suurennuttaa rintansa, mutta rintojen poistamiseen tarvitsee diagnoosin"", Auer kertoo.","""It's crazy that anyone defined as a woman at birth can have their breasts enlarged. But, to have breasts removed altogether, a diagnosis is needed"", Auer says.","The translation of the Finnish text to English is:
""It's crazy that anyone born as a woman can enlarge their breasts, but removing breasts requires a diagnosis"", Auer says."
"Kehosi ei ole sinun omasi, jos koet olevasi muuta kuin syntymässä määritelty sukupuolesi määrää.",You do not own your body if you feel that your gender is not the one defined at birth.,"The translation of the Finnish text to English is:
""Your body is not yours if you consider yourself something other than what your birth-defined gender dictates."""
Auerin kokemus ei valitettavasti ole ainoa laatuaan.,"Unfortunately, Auer's experience is not unique.",The experience of Aueri is unfortunately not the only one of its kind.
Sukupuolenkorjausprosessi on monelle rankempi henkisistä syistä kuin puhtaasti lääketieteellisten operaatioiden takia.,"For many, a gender reassignment process is tougher mentally than physically as a result of medical operations.",The gender correction process is more burdensome for many due to psychological reasons rather than purely medical operations.
"Sen läpikäyvät tapaavat kymmeniä ihmisiä, joille pitää perustella omaa olemassaoloaan ja oikeuttaan omaan sukupuolikokemukseen.",Anyone who undergoes the process meets dozens of people to whom they must explain their existence and right to a gender identity.,"The ones passing through meet tens of people, for whom it is necessary to justify their own existence and their right to their own gender experience."
"""On hullua, että ihmisiltä jotka ovat tuen ja avun tarpeessa evätään hoito vedoten siihen, etteivät heidän voimavaransa riitä"", Auer sanoo.","""It's crazy that treatment is denied from people who need help and support by saying that they don't have sufficient resources"", Auer says.","The translation of the Finnish text to English is:
""It's crazy that people who need support and help are denied care, citing that they don't have enough resources."""
"Monella prosessiin hakeutuneilla on takana psyykkistä oireilua: masennusta, ahdistusta, mahdollisia kiusaamiskokemuksia.","Many applying for the process have suffered from mental disorders: depression, anxiety and possibly bullying.","On those who have entered the process, there is behind psychological distress: depression, anxiety, possible experiences of bullying."
"Näihin vedoten hoitohenkilökunta voi määrätä, ettei hoitoa voida aloittaa.","By appealing to these, the nursing staff can decide that the process cannot be started.","Based on the Finnish text you provided, the translation to English is: ""By invoking these grounds, the healthcare staff can decide that treatment cannot be started."""
"""Hoidon ja avun saamisen estäminen voi syöstä ihmisen vielä pahempaan tilanteeseen, kuin mitä se oli ennen prosessin aloittamista"", Auer sanoo.","""If people are not given access to treatment and assistance, their situation may even become worse than it was before the process"", says Auer.","The translation of the Finnish text to English is:
""Preventing access to care and support can push a person into a worse situation than they were in before the process started"", Auer says."
Auerin omakohtainen näyttely käsittelee myös ahdistusta ja ajatuksia itsemurhasta.,Auer's personal exhibit also deals with anxiety and thoughts of suicide.,The personal exhibition of Auer also addresses anxiety and thoughts about suicide.
"Näyttelyjulkaisun tekstissä Auer kirjoittaa: ""Minulla on ollut itsetuhoisia ajatuksia koko aikuisikäni ajan ja se on asia, mitä ihmisten on yleensä vaikea sulattaa"".","In the exhibition brochure, Auer writes: ""I've had suicidal thoughts throughout my adult life, and this is something people find hard to accept.""","The translation of the Finnish text to English is:
""I have had suicidal thoughts throughout my adult life and it's something that people generally find hard to understand."""
"Masennusta on hoidettu lääkkeillä ja kun Auer aloitti hormonien käyttämisen, olo helpottui.","Auer has received medicine for her depression. When she started to take hormones, she also started to feel better.","The text translates to: ""Depression has been treated with medication, and when Auer started using hormones, his mood improved."""
"Hän oli pystynyt vihdoin sanoittamaan tuntemukset, jotka olivat olleet olemassa jo lapsuudessa ja teini-iässä.",She was finally able to put into words the feelings she had had since her childhood and teenage –,She had finally been able to express the feelings that had been present since childhood and adolescence.
Sen miksi leveä leuka ei tuntunut sopivan omaan kehoon ja miksi rinta­lihasten tuli olla pyöreät tasaisen rintakehän sijaan.,why her wide chin did not seem to be quite right for her body and why her pectoral muscles were round instead of flat.,Why did the broad neck not feel suitable for my body and why did the chest muscles need to be round instead of being evenly shaped like the chest?
"Tärkeintä Auerille on ollut se, että hänen lähellään on ihmisiä, jotka näkevät hänet.",Auer has always found it important that she has people who can truly see her close to her.,The most important thing for Auer is that there are people around him who see him.
Nähdyksi tuleminen on perustarve.,Being seen is a basic need.,"The translation of the Finnish text ""Nähdyksi tuleminen on perustarve"" to English is ""Being seen is a basic need."""
"""Itseään joutuu perustelemaan niin paljon puhumalla, pukeutumalla, äänen käytöllä ja liikkeillä"", hän kertoo.","""I need to explain my existence through my words, clothes, voice and motions"", she says.","The translation of the Finnish text to English is: ""One has to justify oneself so much by talking, dressing, using one's voice, and moving around."""
"Nykyään Auer kokee jo tulevansa nähdyksi, hän on olemassa naisena.","Currently, Auer feels that she is seen, and exists as a woman.","Now Auer feels like he is being seen as a woman, he exists as a woman."
Prosessin alkuvaiheessa läheisten sattumanvaraiset kommentit saattoivat kuitenkin satuttaa paljon.,"However, in the first phases of the process, random comments by people close to her hurt.","In the early stages of the process, casual comments from loved ones could still hurt a lot."
"Eniten satuttaa se, kun läheiset väärinsukupuolittavat.",What hurts me the most is when people close to me define my gender incorrectly.,"The translation of the Finnish text ""Eniten satuttaa se, kun läheiset väärinsukupuolittavat."" is ""It hurts the most when those close to you misgender you."""
"""Heidän tulisi tietää ja he tietävät kuka olen, mutta eivät suostu tai pysty sisäistämään sitä"", hän jatkaa.","""They should know who I am, and they do know it, but they refuse to accept it or can't accept it"", she continues.","""They should know and they do know who I am, but they refuse or are unable to accept it"", he continues."
Kaikki transihmiset eivät kuitenkaan kaipaa fyysisiä muutoksia.,"However, not all transgender people want physical alterations.",Not all humans need physical changes.
"He eivät kärsi kehodysforiasta eli kehoristiriitaisuudesta, jossa keho tai sen osat voivat aiheuttaa ahdistusta ja jopa fyysistä kipua.","They do not suffer from the body dysmorphic disorder, whereby their body or its parts can cause anxiety or even physical pain.","They do not suffer from body dysphoria, which is a condition where the body or its parts can cause distress and even physical pain."
