Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...

Hinweis: Die Übersetzung ist direkt vom Originaltext. Wenn Sie weitere Informationen oder Kontext benötigen, stehe ich Ihnen gerne zur Verfügung."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zu der Kandidatur der Liste ""Gilets Jaunes"".

Wenn Sie spezifische Fragen haben, die Sie übersetzt haben möchten, stehe ich Ihnen gerne zur Verfügung."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden.

Hinweis: ""Gilets jaunes"" ist eine französische Bewegung, die sich durch ihre gelben Westen auszeichnet. In Deutschland wird diese Bewegung oft als ""Gelbwesten"" bezeichnet."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste besteht heute nur aus 10 Namen, von den ursprünglich vorgesehenen 79.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Im Gegensatz zu dem, was sie angekündigt haben, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren.

Hinweis: ""Crowdfunding"" ist ein englischer Begriff, der in vielen Sprachen verwendet wird. In Deutschland wird oft ""Crowdfunding"" oder ""Crowd-Financing"" verwendet, in Österreich und der Schweiz ""Crowdfunding"" oder ""Crowd-Finanzierung"". In diesem Fall habe ich mich für ""Crowdfunding"" entschieden, da es in der Übersetzung am häufigsten verwendet wird."
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Die Übersetzung des französischen Textes in Deutsch lautet:

Ingrid Levavasseur sollte die Liste ""Gilets Jaunes"" bei den Europawahlen anführen.

Hinweis: ""Gilets Jaunes"" ist ein Begriff, der in Deutschland nicht direkt übersetzt werden kann, da er sich auf eine spezifische Bewegung in Frankreich bezieht. Eine mögliche Übersetzung wäre ""Gelbe Westen"", aber es ist ratsam, den Originalbegriff zu verwenden, um die spezifische Bedeutung zu erhalten."
De la rue aux urnes.,Von der Straße zu den Urnen.,"Die Straße in die Wahlurne.

(Note: This is a common French expression, often used to describe the transition from the streets (where protests or demonstrations take place) to the ballot boxes, where people exercise their right to vote.)"
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen.

Hinweis: ""Gilets jaunes"" wird in Deutschland oft als ""Gelbwesten"" übersetzt, da ""gilet"" in Deutschland ""Weste"" bedeutet."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","Übersetzung:

In einer Erklärung verbreitet der ""Rassemblement d'initiative citoyenne"" (RIC) einen embryonalen Kandidatenliste mit zehn Namen."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","Über ihnen: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Normandie, die eine der Figuren des Bewegungs ist.

Hinweis: ""A leur tête"" bedeutet wörtlich ""auf ihrem Kopf"" oder ""an ihrer Spitze"", also ""Über ihnen"" ist eine angemessenere Übersetzung in diesem Kontext."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten geht auf die Fragen ein, die diese Kandidatur aufwirft.

Hinweis: ""20 Minutes"" ist ein Schweizer Nachrichtenmagazin, daher ist die Übersetzung ""20 Minuten"" in Deutschland und Österreich gebräuchlicher als ""20 Minuten"" in der Schweiz."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,"Warum sich den Europawahlen stellen?

Hinweis: Die Frage ""Pourquoi se lancer aux européennes?"" kann auch mit ""Warum sich den Europawahlen stellen?"" oder ""Warum sich für die Europawahlen bewerben?"" übersetzt werden, je nach Kontext."
"Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.","Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.","Hier ist die Übersetzung ins Deutsche:

In seinem Kommuniqué stellt sich der RIC, der den Akronym des ""Bürgerbezugreferendums"" verwendet, der von einigen ""Gelbwesten"" verteidigt wird, als ""eine Koordination aus verschiedenen Initiativen"" des Protestbewegung dar.

Hinweis: ""Gelbwesten"" ist eine direkte Übersetzung von ""gilets jaunes"", die sich auf die Gelbwesten bezieht, die von den Demonstranten getragen wurden."
