Source,Reference,Translation
Ақша-несие саясатының сценарийін қайта жазсақ,Rewriting the Monetary-Policy Script,"The provided text is in Kazakh and it translates to:

**""Scenario of the monetary policy has been revised.""**"
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"Munhen – The central bank of the world is facing inflation, and in order to curb it, it is considering tightening monetary policy measures."
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Central banks across the globe are increasingly recognizing the importance of financial inclusion in achieving sustainable economic growth and are taking steps to promote access to finance for underserved populations.
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","The established tradition of those who create monetary policy - if inflation deviates from the official range and remains low for a short period, short-term interest rates should be adjusted to stimulate spending on consumer goods and investments."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.","The peculiarity of this proposal is that, besides other measures, it provides for the acquisition of active assets to enhance central bank liquidity when short-term funding needs are high."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","If market conditions deteriorate further, political decision-makers have announced the issuance of default scenarios based on the new Key Economic Model."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","In times of high inflation and currency devaluation, these scenarios made us think about the effectiveness of our monetary and credit policies. We believe that inflation and currency fluctuations have a significant impact on our economy and that forecasting and managing these factors is crucial for sustainable growth."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,There is plenty of reason to question this assumption.,The reasons why this proposal was rejected are significant.
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Even though the family members have a low income, they save money and do not spend it carelessly."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","If a person does not have income, they cannot buy expensive goods, and even later, when they have a pension, they will not be able to afford it."
