Source,Reference,Translation
Ақша-несие саясатының сценарийін қайта жазсақ,Rewriting the Monetary-Policy Script,"If we rewrite the script of the monetary-fiscal policy 


Let me know if you'd like me to elaborate on any specific aspect of this phrase!"
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"MUNICH - Are the world's largest central banks going to continue relying on tough measures to curb inflation, even as growth slows? 


Let me know if you have any other text you'd like me to translate!"
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.","While highlighting the positive aspects of monetary-fiscal policy, central banks also need to start paying attention to **flexibility**. 


Let me break down the sentence:

* **Епті ақша-несие саясатының жақсы жақтарын ескере келе:** While highlighting the positive aspects of monetary-fiscal policy
* **орталық банктер бейімделгіштікке де мән бере бастауы қажет:** central banks also need to start paying attention to flexibility.

**Бейімделгіштік (beymdelgishtik)** means flexibility in this context. 


The sentence suggests that while monetary-fiscal policies have their benefits, central banks should also be adaptable and willing to adjust their strategies as needed."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","The established tradition of those who formulate monetary policy is that if inflation remains below the officially projected range for a prolonged period, short-term interest rates should be set at a level that stimulates spending and investment. 


Let me break down the key points:

* **Ақша-несие саясаты (Monetary policy):** This refers to the actions undertaken by a central bank to manipulate the money supply and credit conditions to stimulate or restrain economic activity.
* **Қалыптасқан дәстүрі (Established tradition):** This highlights that there's a long-standing practice followed by monetary policymakers.
* **Инфляция (Inflation):**  The rate at which prices for goods and services rise.
* **Ресми болжалған диапазон (Officially projected range):** The target range for inflation set by the central bank.
* **Көп уақыт төмен тұрса (For a prolonged period):**  This emphasizes that inflation needs to be consistently below the target range.
* **Қысқа мерзімді пайыздық үстемелер (Short-term interest rates):** The interest rates charged on short-term loans, which are a key tool used by central banks to influence economic activity.
* **Шығындар мен инвестицияға серпін беретіндей деңгейде (At a level that stimulates spending and investment):**  This means that interest rates should be low enough to encourage borrowing and spending by businesses and consumers.



Essentially, the text argues that when inflation is persistently low, central banks should lower interest rates to boost economic growth."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.","The peculiarity of this method is that when interest rates approach zero, central banks have no other option but to implement asset purchase programs to increase demand. 


Let me know if you have any other text you'd like me to translate!"
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","If the situation arises, political decision-makers will declare a default based on known scenarios within the framework of a new Keynesian economic model. 


Let me break down the translation:

* **Егер жағдай соған жетсе:** If the situation arises
* **саяси шешім қабылдаушылар:** political decision-makers
* **жаңа Кейнс экономикалық моделі:** a new Keynesian economic model
* **негізіндегі белгілі сценарийлер бойынша:** based on known scenarios within the framework of
* **дефолт жариялайды:** will declare a default 



This sentence suggests that there is a pre-determined plan for handling a specific economic crisis, likely involving a sovereign debt default, based on a new Keynesian economic model."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","However, in many cases, these scenarios confuse us because they believe that monetary and credit policy can measure and predict the impact on demand and inflation. 


Let me break it down:

* **Бірақ** - However
* **өте көп жағдайда** - in many cases
* **бұл сценарийлер** - these scenarios
* **бізді шатастырады** - confuse us
* **себебі** - because
* **ақша-кредит саясатының** - of monetary and credit policy
* **сұраныс пен инфляцияға ықпалын** - the impact on demand and inflation
* **өлшеуге** - to measure
* **және** - and
* **болжауға** - to predict
* **болады деп ойлайды** - they believe can be done 



Essentially, the text argues that people often rely on overly simplistic models that assume monetary and credit policy can perfectly predict and control inflation and demand."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,There is plenty of reason to question this assumption.,"However, there are sufficient reasons to refute this statement. 


Let me know if you have any other Kazakh text you'd like me to translate!"
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.","First, although the family's percentage increase is low, they haven't saved much money and have spent a lot. 


Let me know if you have any other text you'd like me to translate!"
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","If money-making doesn't bring profit, people won't buy expensive things, nor will they save money for a future vacation. 


Let me know if you have any other Kazakh text you'd like me to translate!"
