Source,Reference,Translation
Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands in Central Park panic after barrier collapse,The panic of tourists is growing in Central Park near the rocky barrier.
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","In a panic over potential shootings, several people fled Central Park after police barriers collapsed."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"We know the personalities - Democratic Party representative in New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janeta Jackson, and Johnas Legendas - have urged viewers to engage in the country's bold politics."
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Tonight at the evening event, the organizers quickly reassured the audience that all necessary measures were taken to ensure their safety."
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,Burning social justice issues dominated the event that started on a sunny afternoon.,"During the sunrise, in the emerging dawn chorus, the most frequent conversations revolved around social justice."
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Around 60,000 spectators gathered at the Great Market Square for the All-Star Music Festival, which was supposed to feature Cardi B, The Weeknd, and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"When several speakers requested that the audience applaud the representatives of the Congress present, they expressed their opinion on the recent Senate hearings concerning the candidacy of Brett Kavanaugh to the Supreme Court."
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley continues British Supersport winning run at Assen,"The provided text is already in English. It reads:

""He did not withdraw from the British Supersport series of pergali races in Asene."""
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley has continued his winning form in British Supersports,"Alastairas Seeleyis secured a winning position in the ""British Supersports"" motocross race."
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeleyis claimed his third victory in five ""British Supersport"" races, defeating his opponent in the 12-lap sprint held in the Netherlands on Saturday."
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"The buoy from Karikfergus was released for 0.05 seconds and activated the ""Yamaha"" engine, controlling Jack Kennedy."
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old also won races at Silverstone and Oulton Park this month.,"This month, the 38th lap racer also triumphed at Silverstone and Oulton Park."
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley is a test driver for the Šiaurės Airijos team ""EHA Racing"". He has already won the international ""North West 200"" races in May."
"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"The former British champion ran all the laps with Kennedy, but despite all his efforts, he was unable to defeat his rival from Northern Ireland."
Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,"Davidas Allinghamas, a close friend of the Seeley’io komandos commander, remained seventh in the ""Supersport"" race held on Saturday."
Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,Scott Swann was eighth in the British Talent Cup race.,"Scottas Swannas finished eighth in the ""British Talent Cup"" race."
"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.",Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.,"Glenn Irwin, riding for Be Wiser Ducati, climbed to fourth place in the championship standings after finishing fourth in both qualifying sessions of the British Superbike races this weekend."
"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.",It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.,"This week it was announced that Irwinas joined the ""JG Speedfit Kawasaki"" team in the 2019 season."
"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.",Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.,"Michaelas Laverty from Toome, driving a ""Tyco BMW"", finished 13th, while Andrew Irwin and his ""PBM Ducati"" finished 14th."
Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Why are Hong Kong domestic workers practising their dance moves?,Why do the workers of Honkongo homes teach shockwave movements?
Honkonge namų darbininkais dirba apie 300 000 užsieniečių.,"Some 300,000 foreign domestic helpers work in Hong Kong.","Approximately 300,000 contract workers are employed in household services in Hong Kong."
Jų pagal įstatymus reikalaujama gyventi darbdavių namuose.,They're required by law to live in their employers' home.,"According to the regulations, employees are required to reside in company housing."
