Source,Reference,Translation
Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands in Central Park panic after barrier collapse,Thousands in a panic in Central Park after a barrier collapses
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Thousands of people, panicked by the possibility of shots at a politically charged event, took off running through Central Park after a police barrier collapsed."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Notable figures – Democratic Party representative New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, John Legend – encouraged viewers to get involved in the country's turbulent politics."
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"After the barrier collapsed during the Saturday evening event, government institutions quickly reassured the spectators that they were safe."
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,Burning social justice issues dominated the event that started on a sunny afternoon.,"On a sunny afternoon, at the beginning of the event, most of the talk was about social justice."
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Approximately 60,000 spectators gathered at the Great Lawn for the Global Citizen Festival, which was set to feature Cardi B, The Weeknd, and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Some speakers asked the audience to call the members of Congress who represent them and express their opinion about the Senate hearings that took place this week regarding Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley continues British Supersport winning run at Assen,"The unbroken series of Alastair Seeley's victories in the ""British Supersport"" races at Assen"
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley has continued his winning form in British Supersports,"Alastair Seeley maintained his winning position in the ""British Supersports"" races"
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastair Seeley secured his third win in five British Supersport races, triumphing in Saturday's 12-lap sprint at Assen in the Netherlands."
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,The rider from Carrickfergus beat Yamaha-riding Jack Kennedy by 0.05 seconds.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old also won races at Silverstone and Oulton Park this month.,The 38-year-old winner also triumphed at Silverstone and Oulton Park this month.
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley represents the Northern Ireland team ""EHA Racing"", with whom he has already won the international ""North West 200"" races in May."
"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"The former British champion contested the entire race with Kennedy and, despite all the Dubliner's efforts, he failed to overtake his opponent from Northern Ireland."
Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,"A member of Seeley's team, David Allingham, finished seventh in Saturday's ""Supersport"" race."
Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,Scott Swann was eighth in the British Talent Cup race.,"Scott Swann finished eighth in the ""British Talent Cup"" races."
