Source,Reference,Translation
Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands in Central Park panic after barrier collapse,"""Thousands of people panicked in Central Park as the barrier collapsed."""
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","""Thousands of people, panicked by the possibility of political violence at the event, fled Central Park as the police barrier collapsed."""
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Known personalities - Democratic Party representative and New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, John Legend - encouraged viewers to engage in the country's tumultuous politics."
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"After the barrier fell during the event on Saturday evening, government institutions quickly reassured viewers that they were safe."
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,Burning social justice issues dominated the event that started on a sunny afternoon.,The sunny afternoon event mainly discussed social justice.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Around 60,000 spectators gathered in the Great Lawn for the Global Citizen Festival, which featured performances by Cardi B, The Weeknd, and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"Some speakers asked viewers to call their representatives in Congress and express their opinion about the Senate sessions that took place this week regarding the candidate for the Supreme Court, Brett Kavanaugh."
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley continues British Supersport winning run at Assen,"Alastair Seeley's unbeaten streak of victories in the ""British Supersport"" races at Assen."
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley has continued his winning form in British Supersports,"Alastair Seeley maintained the winner's position in the ""British Supersports"" races."
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastair Seeley secured his third victory in the ""British Supersport"" series, winning the 12-lap sprint in Assen, Netherlands on Saturday."
