Source,Reference,Translation
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,28-Year-Old Chef Found Dead at San Francisco Mall,28-Year-Old Chef Found Dead in San Francisco Shopping Center
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.,A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local shopping center this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him.""","However, the victim's brother said he didn't think someone who might want to harm him was possible, saying: ""In the end, things were going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.","The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.",The San Francisco Medical Examiner's Office announced on Wednesday morning that the body found at the Westfield Shopping Center belonged to 28-year-old San Francisco resident Frank Galicia.
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.,The San Francisco Police Department reported that the cause of death was determined to be a homicide and that the investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.","The victim's brother, Louis Galicia, told San Francisco's ABC affiliate KGO that Frank, who had previously worked as a kitchen department head in Boston, had landed his dream job six months ago as the kitchen department head at San Francisco's Sons & Daughters."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death.","A Sons & Daughters representative stated that this death ""left them stunned and extremely saddened""."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said.","The spokesperson stated, ""We are a small team working here like a tight-knit family, and he will be greatly missed."""
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,Our thoughts and condolences are with Frank's family and friends at this difficult time.,"At this difficult time, we would like to let Frank's family know that they are not alone and that our thoughts and prayers are with them."
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him.""","Louis Galicia stated that Frank initially stayed in hostels and said ""Eventually things were going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO.","Louis Galicia told KGO, ""He had an apartment and was dating a girl."""
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.",Louis Galicia said he could not think of anyone who would want to hurt his younger brother.,Louis Galicia said he didn't think someone would want to harm his little brother.
"O kocaman bir kalbi olan, nazik bir kişiydi.",He was a kind spirit with a big heart.,He was a gentle person with a huge heart.
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said.","""Connecting with family was always about preparing a plate for us, cooking for us,"" said Louis Galicia."
Münakaşaya girmekten hiç hoşlanmazdı.,He never wanted to be in any kind of altercation.,He never liked to get into an argument.
"Erkek kardeşim, her duruma uyum sağlardı.",He was the brother that went with the flow.,My brother could adapt to any situation.
"O, ""Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı"" diye konuştu.","""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said.","""He was the uncut diamond that shone brightly every day, while everything else in the world was going wrong,"" he said."
Bilgi sahibi olan kişilerin 415-575-4444 numaralı telefondan SFPD İhbar Hattını araması istendi.,Anyone with information is asked to call the SFPD Tip Line at 415-575-4444.,Individuals with information are asked to call the SFPD Tip Line at 415-575-4444.
Asistan doktorlar grevde: Yeni iş yavaşlatma çağrıları,Junior doctors strike: Calls for fresh industrial action,Assistant doctors on strike: New calls for work slowdown
"Asistan doktorların temsilcileri, yeni bir sözleşme hakkındaki anlaşmazlık ile ilgili olarak sendikalarının iş yavaşlatma izni vermesini istedi.",Representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.,Assistant doctors' representatives asked their union to grant permission for a work slowdown due to a dispute over a new contract.
İngiliz Tabipler Birliği (BMA) Asistan Doktorlar Komitesi (JDC) genel konseye Eylül başından itibaren daha fazla iş yavaşlatma eylemini desteklemesi için çağrıda bulundu.,The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.,The British Medical Association (BMA) Junior Doctors Committee (JDC) called on the general council to support further industrial action from the start of September.
"JDC, bakanların sözleşme ile ilgili endişeleri gideremediğini ifade etti.",The JDC says ministers have failed to address concerns about the contract.,JDC stated that the ministers were unable to alleviate concerns related to the contract.
"Asistan doktorlar ve tıp öğrencileri, BMA ile yapılan sözleşme anlaşmasında ret oyu kullandı.",Junior doctors and medical students voted in July to reject a contract deal agreed with the BMA.,Junior doctors and medical students used their veto in the contract agreement made with the BMA.
"Bu, oy veren üyelerin %58'i tarafından reddedildi.",It was rejected by 58% of its members who voted in the ballot.,This was rejected by 58% of the voting members.
"Perşembe gecesi Twitter'da yayınlanan bir yazıda, JDC başkanı Ellen McCourt, hükümetin sözleşmenin reddedilmesine neden olan sorunlar konusunda ""ısrarla sessiz"" kaldığını belirtti.","In a letter to members released on Twitter on Thursday night, the JDC's chair Ellen McCourt said the government had remained ""persistently silent"" on issues which, she said, had resulted in the contract being rejected.","In a post published on Twitter on Thursday night, JDC president Ellen McCourt stated that the government had been ""adamantly silent"" on the issues that led to the rejection of the contract."
"Kendisi şunları söyledi: ""Bunun ışığında, JDC Yönetim Kurulu, önerilen yeni sözleşmeyi tamamıyla reddetme yönünde oy kullandı ve endişeler konusunda yeniden resmi müzakere başlatılması çağrısında bulundu.""","She said: ""In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.""","He said: ""In light of this, the JDC Board voted to reject the proposed new contract in its entirety and called for renewed formal negotiations on the concerns."""
"JDC yönetimi, hükümetin sessizliğine yanıt olarak, BMA Kurulunun Eylül ayı başından itibaren iş yavaşlatmayı artırma yönünde bir programa izin vermesi için resmi bir talepte bulundu.","In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September.","In response to the government's silence, the JDC management made an official request to the BMA Council to allow a programme of escalating industrial action from the beginning of September."
"Anlaşmazlık, asistan doktorların bu sene NHS tarihindeki ilk topyekün kesintiyi de içeren altı greve katılmasına neden oldu.","The dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the NHS.","The dispute led to junior doctors taking part in six strikes this year, including the first all-out stoppage in NHS history."
"BMA'daki asistan doktor lideri Dr. Johann Malawana, BMA'nın önerdiği sözleşme şartlarına ret oyu verilmesinin ardından istifa etti.","The BMA's junior doctor leader, Dr Johann Malawana, resigned following the vote to reject the negotiated terms of the contract, which the BMA had recommended.","The junior doctor leader at the BMA, Dr Johann Malawana, resigned after the rejection of the contract terms proposed by the BMA."
54.000 asistan doktor ve tıp öğrencisinin oy vermesi öncesindeki toplantılar sırasında BMA üyelerine bunun kabul edilmesi gereken iyi bir anlaşma olduğunu söylemişti.,"He had told BMA members the deal was a good one that should be accepted, during meetings ahead of the poll of 54,000 junior doctors and medical students.","During meetings before 54,000 junior doctors and medical students voted, he had told BMA members that this was a good deal that had to be accepted."
"Oylamanın ardından, Sağlık Bakanı Jeremy Hunt, sözleşmenin İngiltere'deki doktorlar için geçerli olacak şekilde uygulamaya konacağını belirtti.","Following the vote, Health Secretary Jeremy Hunt said the contract would be imposed on medics in England.","Following the vote, Health Secretary Jeremy Hunt stated that the contract would be imposed on doctors in England."
Rusya ve Türkiye: Bir 'uyumsuzlar ittifakı' mı?,Russia and Turkey: An 'alliance of misfits'?,Russia and Turkey: An 'axis of the misfits'?
"Bu, krizi sonlandıran bir jestti.",It was a gesture that ended a crisis.,This was a gesture that ended the crisis.
"Rusya ve Türkiye'nin liderleri, Salı günü el sıkışmak ve kelimelerle ve ekonomik yaptırımlarla sürdürülen sekiz aylık savaşın resmi olarak sonlandırıldığını duyurmak için bir araya geldi.",The leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.,The leaders of Russia and Turkey met on Tuesday to shake hands and announce the official end of an eight-month war that has been waged with words and economic sanctions.
