Source,Reference,Translation
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,28-Year-Old Chef Found Dead at San Francisco Mall,"The translation of the Turkish text is: ""A 28-year-old chef was found dead at the San Francisco shopping center."""
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.,"Recently, a 28-year-old chef who had just moved to San Francisco, was found dead in the stairwell of a local shopping mall this week."
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him.""","The translation of the Turkish text to English is:
""However, the brother of the victim didn't think that someone who could harm him might exist, and he said: 'In the end, things were going well for him.'"""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.","The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said.","The San Francisco Adli Tıp Kurumu announced that the body found in the Westfield Shopping Center on Wednesday morning belongs to Frank Galicia, a 28-year-old resident of San Francisco."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.,The San Francisco Police Department announced that the cause of death was determined to be murder and that the investigations are ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.","The brother of the victim, Louis Galicia, told KGO radio in San Francisco that Frank, who used to work as a chef in the kitchen department in Boston, has finally achieved his dream job as the head chef of the kitchen department at San Francisco Sons & Daughters, six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death.","The official from Sons & Daughters stated that this death has left them ""shocked"" and they are ""extremely saddened."""
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said.","The translation of the Turkish text to English is: ""We are a small team working like a tight family here, and he will be greatly missed."""
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,Our thoughts and condolences are with Frank's family and friends at this difficult time.,We want to let Frank's family know that they are not alone during this difficult time and that our prayers are with them.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him.""","The translation of the Turkish text to English is:
    Louis Galicia mentioned that Frank initially stayed in hostels and said, ""Eventually, things were going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO.","The translation of the Turkish text to English is:
    Louis Galicia said to KGO, ""He had taken a room and was going out with a girl."""
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.",Louis Galicia said he could not think of anyone who would want to hurt his younger brother.,Louis Galicia said he didn't think someone who could harm his younger brother would be able to.
"O kocaman bir kalbi olan, nazik bir kişiydi.",He was a kind spirit with a big heart.,"The translation of the Turkish text is: ""He was a kind-hearted person with a big heart."""
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said.","The translation of the Turkish text to English is: ""Louis Galicia said, 'Preparing a table for us every time and cooking for us was the way to bond with the family.'"""
Münakaşaya girmekten hiç hoşlanmazdı.,He never wanted to be in any kind of altercation.,"The translation of the Turkish text ""Münakaşaya girmekten hiç hoşlanmazdı."" is ""He didn't like entering into arguments."""
"Erkek kardeşim, her duruma uyum sağlardı.",He was the brother that went with the flow.,"The translation of the Turkish text ""Erkek kardeşim, her duruma uyum sağlardı."" is ""My brother, he would adapt to any situation."""
