Source,Reference,Translation
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer wants to change her sex, she was diagnosed with gender dysphoria and now she is making art about the issue - ""People should have the right to their own bodies."""
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"In the Project room of the Kuvataideakatemian Gallery, dozens of patient narratives hang from the ceiling."
Jokaisessa niissä lukee Camille Auerin nimi.,The name of Camille Auer is written on every one of them.,"The English translation of the Finnish text is:

""Camille Auerin name appears in each one of them."""
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The papers tell a multi-year story about how outsiders have written their interpretations of Auer and his identity.
Päättäneet hänen puolestaan kuka hän on.,decided on who she is on her behalf.,They have decided who he is in relation to her.
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""The process's violence becomes visible when I tell you about the individual patient's medical history,"" Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure.","In the process, he refers to the gender correction process."
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","It is often a multi-year research project involving meetings with psychologists, psychiatrists, nurses and doctors."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"The process starts with an examination for ""gender identity disorder"", which is conducted in Tampere and Helsinki."
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auer's process started four years ago.,The process started four years ago at dawn.
Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","Before this, he had already used estrogen through the internet and was otherwise well advanced in their own recovery process."
"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","He felt himself to be a woman, but according to Finnish law, a person must go through a correction process in order for their gender to be legally corrected."
"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","The Gender Recognition Act, which aims to strengthen the legal recognition of gender identity (563/2002), compels transgender individuals to undergo gender confirmation surgery in order to obtain an identity document that corresponds with their gender identity, such as a passport or ID card."
Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.","At present, everyone regardless of gender requires a psychiatrist's diagnosis and proof of impaired cognitive capacity for any compensation."
Ihmiselle kuuluu oikeus päättää omasta kehostaan.,People should have the right to decide on their own body.,A person has the right to make decisions about their own body.
"""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""This situation is intolerable and in violation of human rights"", Auer says.","""This situation is unacceptable and violates human rights,"" Auer said."
Translain uudistamisesta on puhuttu Suomessa jo pitkään.,Amendments to the Finnish trans act have been on the table for long.,"The text is already in English. The translation provided is: ""The issue of translation has been discussed in Finland for a long time."""
"YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination.","The Human Rights Council has issued eight recommendations, and the European Human Rights Court has issued a preliminary ruling that binds the parties to the European Human Rights Treaty to uphold the right of self-determination."
Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health.","The previous government of Finland prepared a bill to amend the Social Welfare and Health Act under the leadership of then Minister of Social Affairs and Health, Susanne Huovis."
Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,"After the following elections, the Finns Party received seats in the Government.",The Finns voted and the Finns of the Basic Finns took power.
Nyt lakimuutos on jälleen jumissa.,"Now, the amendments are again at a standstill","The translation of the Finnish text to English is:

""Now the lawsuit is back in court."""
"Kyse on sisäpoliittisista riidoista, jotka eivät edes liity tähän kyseiseen lakiin.",due to internal disagreements that are not even related to this particular act.,"The sentence translates to:

**Internal political conflicts that have no connection to this particular bill are in question.**"
Näyttelytilan etuosaa hallitsevat kaksi suurta installaatiota.,The front of the exhibition area is dominated by two large installations.,The main hallmarks of the Näyttelytilan estate are two large installations.
Toinen niistä muodostuu Auerin käyttämien lääkkeiden pakkauksista ja käyttöohjeista.,One of these is made of the packages and instructions of medicinal products used by Auer.,One of them is formed from the packaging and instructions for use of Aure’s medications.
Potilaskertomus-installaatiossa kuka tahansa kävijä voi lukea esimerkiksi Tampereen yliopistollisen sairaalan transpolin psykologin tulkinnan Auerista.,"Any visitor to the patient record installation can read, for example, the interpretation a psychologist working in the transgender department of Tampere University Hospital has made of Auer.","In the Patient Record Installation, anyone who wishes can read the transcript of the transpolin psychologist Auer from Tampere University Hospital, for example."
"Psykologi tapasi Camille Auerin kaksi kertaa ja kirjoitti näiden perusteella kertomuksen, joka tulisi määrittelemään Auerin oikeuden hoidon sekä avun saamiseen.","The psychologist met Camille Auer two times and, on the basis of these meetings, wrote a report that would define Auer's rights to receive treatment and assistance.",The psychologist met Camille Auerin twice and based on these meetings wrote a report to define Auerin's access to care and support.
Tutkittavan todellisuuden­taju näyttäytyy alttiina horjumiselle.,The patient's sense of reality is reported to be close to shaking.,The awareness of reality gradually emerges from the depths of humility.
Tutkittavan käsitys itsestä näyttäytyy rajatilatasoisella tavalla hajanaisena ja persoonallisuuteen liittyvät epävakaat piirteet korostuvat.,The patient's conception of herself seems to be disorganised as a borderline case and the unstable features of her personality are emphasised.,"The awareness of oneself reveals itself in a fragmented and personal manner, with unstable and personality-related features standing out."
Auer ei tunnistanut itseään näistä kuvauksista.,Auer does not recognise herself from these reports.,"The translation of the Finnish text to English is:

""He hasn't recognized himself from these pictures."""
Hoitohenkilökunnan mukaan hänen voimavaransa eivät olleet riittävät prosessin aloittamiseen.,"According to the nursing staff, she did not have sufficient resources to start the process.","According to the care personnel, his physical strength was not sufficient to initiate the process."
Häneltä kiellettiin oma identiteettinsä.,Her own identity was denied from her.,"The sentence translates to:

**The language lost its own identity.**"
Silloin 11. helmikuuta 2015 ­Auer käveli ulos tapaamisesta ja potkaisi transpolin odotusaulan television hajalle.,"On that day on 11 February 2015, Auer walked out of the meeting and smashed a TV in the waiting room of the transgender department.","On that day, February 11th 2015, Auer left the meeting and kicked the television in the waiting room."
