Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung... 


Let me know if you'd like me to translate any other French text!"
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zur Kandidatur der Liste „Gelbe Westen“. 


Let me know if you'd like me to translate any other French text!"
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelben Westen"" haben am Mittwoch angekündigt, sich für die Europawahlen zu bewerben. 


Let me know if you have any other French texts you'd like me to translate!"
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste besteht heute nur noch aus 10 Namen von den ursprünglich geplanten 79. 


Let me know if you have any other text you'd like me to translate!"
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Entgegen ihrer Ankündigung sollen die Kandidaten sich nicht über Crowdfunding finanzieren können. 


Let me know if you have any other text you'd like me to translate!"
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Ingrid Levavasseur soll die Liste der ""Gilets jaunes"" zur Europawahl anführen. 


Let me know if you have any other translations you need!"
De la rue aux urnes.,Von der Straße zu den Urnen.,"Von der Straße zu den Wahlurnen. 


Let me know if you have any other phrases you'd like me to translate!"
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die „Gelben Westen“ haben am Mittwoch angekündigt, sich für die Europawahlen zu bewerben. 


Let me know if you have any other French text you'd like me to translate!"
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","In einem Kommuniqué verbreitet der „Ralliement d'initiative citoyenne“ (RIC) einen Entwurf einer Liste mit zehn Namen. 


Let me know if you have any other text you'd like me to translate!"
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenschwester aus der Normandie, die eine der Schlüsselfiguren der Bewegung ist. 


Here's a breakdown of the translation:

* **A leur tête:** An ihrer Spitze
* **Ingrid Levavasseur:** Ingrid Levavasseur
* **une aide-soignante:** eine Krankenschwester 
* **normande:** aus der Normandie
* **de 31 ans:** 31 Jahre alt
* **qui est l’une des figures du mouvement:** die eine der Schlüsselfiguren der Bewegung ist 



Let me know if you have any other French text you'd like me to translate!"
