Source,Reference,Translation
"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that will change your view of the city,Munich 1856: Four cards that change your view of the city
"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","A mental asylum, where today young people are said to meet.","A former asylum for the insane, where young people are supposed to meet today."
"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where they are now digging tunnels for the S-Bahn.","A mausoleum chapel, where they are now digging for the S-Bahn tunnel."
Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Allotment holders cultivate the soil of former farmers.,"The translation of the German text to English is:

Small gardeners cultivate the former land of farmers.

However, a more idiomatic translation would be:

Small gardeners till the land that once belonged to farmers.

This translation better conveys the idea that the land was previously owned or worked by farmers, and is now being cultivated by small gardeners."
Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings captivating stories to light.,The oldest official map of Munich brings fascinating stories to light.
"Es nervt, wenn Landkarten nicht aktuell sind.",It is annoying when geographical maps are not up-to-date.,It's frustrating when maps are not up-to-date.
"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,Everyone knows who has ever had to get excited because the car navigation system showed a green meadow instead of a bypass road.
"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","The historical maps of the digital Bavaria Atlas, an offer of the Geoportal Bavaria of the state government, are anything but up-to-date - yet precisely for this reason very enlightening.

Note: The translation is quite literal, but if you want a more idiomatic translation, it could be:

The historical maps of the digital Bavaria Atlas, a feature of the Geoportal Bavaria provided by the state government, are not exactly current - but precisely for this reason, they are very insightful."
Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially when one compares them with current online maps.,Especially when you compare them with current online maps.
"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,Then it becomes clear how cities and municipalities in the distribution area of the Munich Merkur have changed since the 19th century.
"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,"The digital Bavaria Atlas is a patchwork quilt that one does not immediately recognize as such.

Note: A ""Flickenteppich"" is a German idiom that translates to ""patchwork quilt"" in English. It is often used to describe something that is made up of many different parts or elements, but doesn't necessarily look like it at first glance."
"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","Translation:

Detailed maps, also known as Urpositionsblätter, were incorporated into the large overview map for cities and municipalities.

Note: 'Urpositionsblätter' is a German term that can be translated to 'Urposition maps' or 'Original position maps'. However, the term 'Urposition' is not commonly used in English. A more accurate translation would be 'Detailed maps' or 'Detailed position maps'."
Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",These were created according to the Bavarian Survey Administration's statements between 1810 and 1864 and originate from the first survey of Bavaria.
Ihr Auftraggeber: Napoleon.,Their commissioner: Napoleon.,Your client: Napoleon.
