Source,Reference,Translation
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","The translation of the Finnish text to English is:

Camille Auer wanted to correct her gender, was diagnosed as mentally ill, and now she creates art about the subject - ""A person should have the right to their own body.""

Note: The translation is quite direct, but it's worth noting that the original text has a more poetic tone, which might be lost in translation."
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,The Project room gallery of the Academy of Fine Arts has dozens of patient stories hanging from its ceiling.
Jokaisessa niissä lukee Camille Auerin nimi.,The name of Camille Auer is written on every one of them.,"In each of them, Camille Auer's name is written."
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The papers tell a multi-year story of how outsiders have written up their interpretations of Auer and his identity.
Päättäneet hänen puolestaan kuka hän on.,decided on who she is on her behalf.,Decided for him who he is.
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""I wanted to share my personal care history, so the violence in the process would become visible,"" Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure.","Translation: 

He refers to the sex reassignment process.

(Note: 'sukupuolenkorjausprosessiin' is a bit of a formal or technical term, and 'sex reassignment process' is a more common translation in English. However, 'sex change process' or 'gender reassignment process' are also used.)"
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","It is often a research period lasting for years, which includes meetings with psychologists, psychiatrists, nurses, and doctors."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"The process is initiated with a referral to ""gender identity disorder"" diagnostic examinations, which are conducted in Tampere and Helsinki."
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auer's process started four years ago.,The process started at Auer four years ago.
