Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...

Hinweis: Die Übersetzung ist direkt vom Originaltext. Wenn Sie weitere Informationen oder Kontext benötigen, stehe ich Ihnen gerne zur Verfügung."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zur Kandidatur der Liste ""Gelbe Westen"".

Wenn du möchtest, kann ich die Übersetzung des restlichen Textes durchführen. Bitte gib mir den Text."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie für die Europawahlen antreten werden.

Hinweis: ""Gilets jaunes"" wird in Deutschland oft als ""Gelbwesten"" übersetzt, da ""gilet"" auf Französisch ""Weste"" bedeutet."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste besteht heute nur aus 10 Namen, von den ursprünglich geplanten 79.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht abgeändert werden."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Im Gegensatz zu dem, was sie angekündigt haben, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren.

Hinweis: ""Crowdfunding"" ist ein englischer Begriff, der in vielen Sprachen verwendet wird. In Deutschland wird oft ""Crowdfunding"" oder ""Crowd-Financing"" verwendet, aber auch ""Mehrfachfinanzierung"" oder ""Kollektivfinanzierung"" sind gebräuchliche Übersetzungen."
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Die Übersetzung des französischen Textes lautet:

Ingrid Levavasseur sollte die Liste ""Gilets Jaunes"" bei den Europawahlen anführen.

Hinweis: ""Gilets Jaunes"" ist ein Begriff, der in Deutschland nicht direkt übersetzt werden kann. Es handelt sich um eine Bewegung, die sich für soziale Gerechtigkeit und gegen die Ungleichheit einsetzt. Der Name ""Gilets Jaunes"" bezieht sich auf die gelben Sicherheitswesten, die die Demonstranten trugen. Eine direkte Übersetzung wäre ""Gelbe Westen"", aber diese Bezeichnung ist nicht so bekannt wie der Originalbegriff."
De la rue aux urnes.,Von der Straße zu den Urnen.,"Die Straße in die Wahlurne.

(Note: This is a common French expression, often used to describe the transition from the streets (where protests or demonstrations take place) to the ballot boxes, where people exercise their right to vote.)"
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","Übersetzung:

In einem Kommuniqué verbreitet der ""Rassemblement d'initiative citoyenne"" (RIC) einen embryonalen Kandidatenliste mit zehn Namen.

Hinweis: ""Rassemblement d'initiative citoyenne"" ist eine französische Organisation, daher ist eine direkte Übersetzung ""Bündnis der Bürgerinitiative"" oder ""Bürgerinitiativbündnis"" möglich. Die Abkürzung ""RIC"" bleibt jedoch gleich."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","Über sie: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Normandie, die eine der Hauptfiguren des Bewegungs ist.

Hinweis: 

- ""A leur tête"" wird übersetzt mit ""Über sie"" oder ""An ihrer Spitze"", um die Bedeutung von ""an der Spitze"" oder ""an der Führung"" zu vermitteln.
- ""Aide-soignante"" wird übersetzt mit ""Pflegehelferin"", da ""Aide-soignante"" eine Person ist, die in der Pflege tätig ist, aber nicht unbedingt eine Krankenschwester ist.
- ""Normande"" wird übersetzt mit ""aus Normandie"", da ""Normande"" eine Person aus der Region Normandie beschreibt.
- ""L'une des figures"" wird übersetzt mit ""eine der Hauptfiguren"", da ""figure"" eine Person ist, die eine wichtige Rolle in einem Prozess spielt."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten geht auf die Fragen ein, die diese Kandidatur aufwirft.

Hinweis: ""20 Minutes"" ist ein Schweizer Nachrichtenmagazin, daher ist die Übersetzung ""20 Minuten"" in Deutschland und Österreich üblicher als ""20 Minuten"" in der Schweiz. In Deutschland und Österreich lautet die Übersetzung ""20 Minuten"" oft ""20 Minuten"" oder ""20 Minuten Online""."
