Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung..."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen rund um die Kandidatur der Liste ""Gelbe Westen""."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie für die Europawahlen antreten werden."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste besteht heute nur aus 10 Namen, von den 79 geplanten."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.",Im Gegensatz zu ihren Ankündigungen sollten die Kandidaten sich nicht durch Crowdfunding finanzieren können.
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Ingrid Levavasseur soll die Liste der ""Gelbwesten"" bei den Europawahlen anführen."
De la rue aux urnes.,Von der Straße zu den Urnen.,Von der Straße zur Urne.
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie für die Europawahlen antreten werden."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","In einer Mitteilung verbreitet die ""Bürgerinitiative für den Beitritt"" (RIC) einen ersten Entwurf einer Liste mit zehn Namen."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegerin aus der Normandie, die eine der führenden Figuren der Bewegung ist."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten blickt auf die Fragen, die diese Kandidatur aufwirft."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,Warum sich für die Europawahlen einsetzen?
"Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.","Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.","In seiner Mitteilung präsentiert sich der RIC, der die Abkürzung der von einigen ""Gelbwesten"" verteidigten ""Bürgerinitiativ-Referendums"" übernimmt, als ""eine Koordination aus verschiedenen Initiativen"" der Protestbewegung."
