Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung..."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zu der Kandidatur der Liste ""Gelbe Westen""."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie sich für die Europawahlen einsetzen werden."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste enthält heute nur 10 Namen, von den 79, die vorgesehen waren."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Entgegen der von ihnen verkündigten Aussage, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren."
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Ingrid Levavasseur sollte die Liste ""Gelbwesten"" bei den Europawahlen führen."
De la rue aux urnes.,Von der Straße zu den Urnen.,"The translation of ""De la rue aux urnes"" from French to German is ""Von der Straße zur Wahlurne""."
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die ""Gelbwesten"" haben am Mittwoch angekündigt, dass sie sich für die Europawahlen einsetzen."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","In einem Kommuniqué veröffentlicht das ""Bürgerinitiativ-Bündnis"" (RIC) ein embryonales Wahlprogramm mit zehn Namen."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","At their head: Ingrid Levavasseur, a 31-year-old nurse from Normandy, who is one of the figures of the movement."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","The translation of the French text to German is:
    20 Minuten kehrt zu den Fragen zurück, die diese Kandidatur aufwirft."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,Warum sich bei den Europawahlen bewerben?
