Source,Reference,Translation
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer wanted to correct her gender, was diagnosed with a mental illness, and now she makes art about it - ""A person should have the right to their own body."""
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"From the Project Room gallery of the Finnish Academy of Fine Arts, hang dozens of patient stories."
Jokaisessa niissä lukee Camille Auerin nimi.,The name of Camille Auer is written on every one of them.,"Camille Auer's name can be found in all of them.

The Finnish text ""Jokaisessa niissä lukee Camille Auerin nimi."" translates to ""Camille Auer's name can be found in all of them"" in English. The pronoun ""niissä"" refers to a group or collection of items, and ""Jokaisessa"" means ""in each"" or ""in all of them."" So, the sentence implies that Camille Auer's name is present in every item of the group or collection."
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The papers tell a many-year story of how foreign people have written their interpretations of Auer and his identity.
Päättäneet hänen puolestaan kuka hän on.,decided on who she is on her behalf.,We have decided who he is.
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""I wanted to share my personal care history so that the violence in the process becomes visible,"" Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure.","He is referring to the gender correction process.

Note: The word ""sukupuolenkorjausprosessi"" is not a commonly used term in English, but I used ""gender correction process"" as a close equivalent. The original Finnish term literally means ""gender adjustment process,"" but ""correction"" might be a more appropriate word choice depending on the context."
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","It is often a research process that lasts for years and includes meetings with psychologists, psychiatrists, nurses, and doctors."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"The process begins with ""gender identity disorder"" diagnostic examinations, which are conducted in Tampere and Helsinki.

Note: It's important to note that the term ""sukupuoli-identiteetin häiriö"" (gender identity disorder) is considered outdated and stigmatizing. The World Health Organization (WHO) has removed it from the International Classification of Diseases (ICD) in its latest revision (ICD-11), replacing it with ""gender incongruence,"" which is classified under conditions related to sexual health. Therefore, a more appropriate and respectful translation would be:

The process begins with ""gender incongruence"" diagnostic examinations, which are conducted in Tampere and Helsinki."
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auer's process started four years ago.,"The process started at Auerin four years ago.

Note: The Finnish sentence seems to be missing some information, such as the subject or object of the sentence. A more complete translation would be: ""The process started on Auerin [street/place/etc.] four years ago."""
Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","Before this, he had used estrogen obtained through the internet and was otherwise well into his own repair process.

Note: The gender of the person is not specified in the original Finnish text, so I assumed it to be male based on the use of ""hän"" (he). If the person is female, please replace ""he"" with ""she"" in the translation."
"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","She tried to be a woman, but according to Finnish law, a person must go through a correction process so that gender can also be corrected legally."
"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","The Translaki Act, or the Act on Strengthening the Legal Recognition of Transsexuals (563/2002), obligates transsexual persons to undergo a forced sterilization in order to obtain the correct gender in, for example, the population register and passport."
