Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Občanská práva skupina vydala varování oh vzletu do Missouri.
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,Národní asociace pro pokrok lidí barvého barvy vydala varování pro lidi barvého původu cesující do Missouri kvůli diskriminaci a rasové útokům v tomto státě.
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""Národní sdružení pro občanská práva (NAACP) zveřejnilo pro stát Missouri prohlášení o cestovém poradci, platné do 28. srpna 2017, vyzývá afroamerické cestovníky, hosté a Missouriany, aby se při cestování po celém státě pozornostně postavili a s maximální opatrností, vzhledem k řadě podezřelé, rasovně motivovaných událostí, které se nedávno v celém státě odehrály."""
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Nedávný zákon v Missouri, který ztíží lidem vyhrát žaloby o diskriminaci, stejně jako nerovnoměrné pronásledování menšin policií ve státě, motivoval skupinu k vydání cestovního varování, uvedla NAACP."
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"""Máte portrné porach České republiky, které se týkají lidí."
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""Jsou se jízí kvůli barvě plechu, jsou pobíjeni nebo vražděni,"" uvedl prezident Missourianské NAACP, Rod Chapel, pro Kansas City Star."
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"""Poskytuje se stížnosti v počtu, jakých jsme jej dosud nepoznali."""
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","Toto je první takový varování, které organizace vydala pro stát ve Spojených státech."
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Skupina uvádí události jako rasistické urlify směrem černých studentů na University of Missouri a smrt Toryho Sandersa, 28letého černého muže z Tennessee."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders zemřel v dubné situaci počátkem tohoto roku, když se na cestování po státě vyčerpal palivo, a byl zadržen policií Missouri bez obviňování ze spáchání trestného činu."
