Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"Hnutí za občanská práva vydává varování před cestováním do Missouri. 


**Explanation:**

* **Civil rights group:**  ""Hnutí za občanská práva"" is a direct and accurate translation.
* **Issues travel warning:** ""Vydává varování před cestováním"" conveys the meaning clearly.
* **For Missouri:** ""Do Missouri"" is the standard way to express this in Czech. 



Let me know if you have any other text you'd like me to translate!"
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"Národní asociaci pro pokrok Afroameričanů (NAACP) vydala varování pro osoby barvy pleti cestující do Missouri kvůli diskriminačním politikám státu a rasismu. 


**Explanation of choices:**

* **""Národní asociaci pro pokrok Afroameričanů""** is the most accurate translation of ""The National Association for the Advancement of Colored People"". 
* **""Osoby barvy pleti""** is a neutral and widely understood term for ""people of color"".
* **""Diskriminačních politikám""** accurately conveys the meaning of ""discriminatory policies"".
* **""Rasismu""** is the direct translation of ""racism"".


This translation aims for both accuracy and fluency in Czech."
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""Doporučení k cestování NAACP pro stát Missouri, platné do 28. srpna 2017, vyzývá afroamerické cestovatele, návštěvníky a obyvatele Missouri, aby při cestě po celém státě věnovali zvláštní pozornost a vykazovali maximní opatrnost vzhledem k řadě pochybných incidentů založených na rase, které se nedávno staly ve státě, a které jsou v prohlášení uvedeny,"" stojí v prohlášení organizace. 


**Explanation of choices:**

* **""Doporučení k cestování""** is a more accurate translation of ""Travel Advisory"" in this context.
* **""Afroamerické cestovatele, návštěvníky a obyvatele Missouri""**  is a direct and clear translation of the target audience.
* **""Věnovali zvláštní pozornost""** and **""vykazovali maximní opatrnost""** convey the sense of caution and vigilance called for in the original text.
* **""Pochybných incidentů založených na rase""** accurately captures the meaning of ""questionable, race-based incidents.""
* **""které se nedávno staly ve státě""** clarifies the timeframe and location of the incidents.



Let me know if you have any other text you'd like me to translate!"
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Společnost NAACP vydala cestovní varování kvůli nedávnému zákonu v Missouri, který ztěžuje vítězství v soudních sporech o diskriminaci, stejně jako kvůli tomu, že státní orgány činná v oblasti bezpečnosti zjevně zneužívají menšiny. 


**Explanation of choices:**

* **""Společnost NAACP""**:  Direct translation of ""the NAACP"" for clarity.
* **""cestovní varování""**:  Accurate translation of ""travel alert"".
* **""nedávný zákon""**:  ""Recent law"" translated literally.
* **""ztěžuje vítězství v soudních sporech o diskriminaci""**:  ""Making it harder for people to win discrimination lawsuits"" translated to emphasize the difficulty of winning.
* **""státní orgány činná v oblasti bezpečnosti""**:  ""State law enforcement"" translated to reflect the specific context.
* **""zjevně zneužívají menšiny""**:  ""Disproportionately targeting minorities"" translated to highlight the unfair targeting. 



Let me know if you have any other text you'd like me to translate!"
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"""Lidí se dotýkají porušení občanských práv."" 


**Explanation:**

* **""You have violations of civil rights""** is translated as ""Lidí se dotýkají porušení občanských práv."" This emphasizes that the violations are happening *to* people, rather than being committed *by* people. 
* **""that are happening""** is incorporated into the verb phrase ""se dotýkají"" (are touching, are affecting).
* **""civil rights""** is translated as ""občanská práva,"" which is the standard Czech term. 



Let me know if you have any other text you'd like me to translate!"
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""Jsou zastavováni kvůli barvě své pleti, jsou napadáni nebo zabíjeni,"" řekl The Kansas City Star prezident Missouri NAACP, Rod Chapel. 


**Explanation of choices:**

* **""Zastavováni""** is a more neutral term than ""brzdění"" (braking) and accurately conveys the meaning of being pulled over by law enforcement.
* **""Kvůli barvě své pleti""** directly translates the phrase and emphasizes the discriminatory nature of the situation.
* **""Napadáni nebo zabíjeni""**  is a clear and concise way to express the violence inflicted upon these individuals. 



Let me know if you have any other text you'd like me to translate!"
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"""Dostáváme stížnosti v takovém množství, jakého jsme dosud nezaznamenali."" 


This translation aims for both accuracy and fluency:

* **Accuracy:** It directly conveys the meaning of the original sentence, emphasizing the unprecedented rate of complaints.
* **Fluency:** It uses natural Czech phrasing and avoids overly literal translations that might sound awkward. 



Let me know if you have any other text you'd like me to translate!"
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","Je to první takový varování, které organizace vydala pro stát ve Spojených státech. 


Let me know if you have any other text you'd like me to translate!"
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Skupina zmínila případy jako rasistické urážky černochů na Univerzitě Missouri a smrt Toryho Sandersa, 28letého muže z Tennessee. 


**Explanation:**

* **""The group cited incidents such as...""** was translated as ""Skupina zmínila případy jako..."" which accurately conveys the meaning.
* **""racial slurs against black students""** was translated as ""rasistické urážky černochů""  using the appropriate Czech terms for ""racial slurs"" and ""black people.""
* **""at the University of Missouri""** was translated as ""na Univerzitě Missouri""
* **""the death of Tory Sanders, 28, a black man from Tennessee""** was translated as ""smrt Toryho Sandersa, 28letého muže z Tennessee""  

The translation maintains the original meaning and uses natural-sounding Czech phrasing."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders zemřel v tomto roce za podivných okolností poté, co mu dojel benzín během cesty po státě a policie v Missouri ho zadržela bez obvinění z trestného činu. 


Let me know if you have any other text you'd like me to translate!"
