Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"Skupina občanských práv vydala varování pro cestování do Missouri.

Poznámka: Pokud chcete překlad být ještě přesnější, můžete přidat kontext, například:

Skupina občanských práv vydala varování pro cestování do Missouri kvůli... (zde uvádějte důvod, proč byla vydána varování).

Alternativní překlad:

Skupina občanských práv varuje před cestováním do Missouri.

Tento překlad je kratší a přímočařejší, ale stále obsahuje základní informaci."
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"Národní asociace pro pokrok zbarvených lidí vydala varování pro lidi zbarvené pleti cestující do Missouri kvůli diskriminačním politikám a rasistickým útokům v tomto státě.

Poznámka: Název asociace ""National Association for the Advancement of Colored People"" se v češtině obvykle překládá jako ""Národní asociace pro pokrok zbarvených lidí"", ale existuje také překlad ""Národní asociace za pokrok zbarvených lidí""."
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""Příslušná cestovní doporučení NAACP pro stát Missouri, platná do 28. srpna 2017, vyzývá černochy cestující, návštěvníky a Missouriany, aby se při cestování po celém státě věnovali zvýšené pozornosti a vykonávali extrémní opatrnost vzhledem k sérii pochybných, rasově založených incidentů, které se nedávno vyskytly po celém státě a jsou zde zmíněny,"" uvádí prohlášení skupiny.

Poznámka: 
- ""černochy"" je překlad slova ""African American"", protože je běžnější používat tento termín v češtině.
- ""Missouriany"" je překlad slova ""Missourians"", protože je běžnější používat tento termín v češtině.
- ""vyzývá"" je překlad slova ""calls for"", protože je běžnější používat tento termín v češtině.
- ""vzhledem k"" je překlad slova ""given the"", protože je běžnější používat tento termín v češtině.
- ""vykonávali"" je překlad slova ""exercise"", protože je běžnější používat tento termín v češtině.
- ""vzhledem k sérii"" je překlad slova ""given the series"", protože je běžnější používat tento termín v češtině."
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Nedávný zákon v Missouri, který ztěžuje lidem vítězství v soudních sporech o diskriminaci, stejně jako zneužívání policie státu vůči menšinám, vedl skupinu k vydání cestovní upozornění, uvedla Národní asociace za občanská práva (NAACP).

Poznámka: 
- ""Nedávný zákon"" je překládáno jako ""nedávný zákon"", protože ""recent"" je překládáno jako ""nedávný"" a ""law"" jako ""zákon"".
- ""zneužívání policie"" je překládáno jako ""zneužívání policie"", protože ""disproportionately targeting"" je překládáno jako ""zneužívání"" a ""minorities"" jako ""menšiny"".
- ""Národní asociace za občanská práva"" je překládáno jako ""Národní asociace za občanská práva"", protože je to přesné označení této organizace."
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"""Přijdete na porušení občanských práv, která se stávají na lidí.""

Poznámka: Pokud chcete překlad být více přirozený a přiměřený, můžete použít následující variantu:

""Porušení občanských práv se stávají na mnoha lidí.""

Tato verze je kratší a lépe se vyjadřuje, že se jedná o obecný problém, který se týká mnoha lidí."
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""Jsou zatýkáni kvůli své pleti, jsou bití nebo zabiti,"" řekl předseda Missouri NAACP, Rod Chapel, The Kansas City Star.

Poznámka: Překlad je přesný, ale je možné použít i jiné překlady některých slov, aby text zněl přirozeněji. Například ""jsou bití"" místo ""jsou bití nebo zabiti"" nebo ""jsou zabiti"" místo ""jsou bití nebo zabiti""."
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"""Přijímáme stížnosti v takové míře, jakožto dosud nikdy předtím.""

Poznámka: Přesný překlad závisí na kontextu, ale výše uvedený překlad je obecně přijatelný."
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","Je to první takový varování, které organizace vydala pro stát v USA.

Poznámka: Pokud chcete přesnější překlad, můžete použít ""Je to první takové varování, které organizace vydala pro stát v USA."""
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Skupina uvedla incidenty jako například rasistické výrazy proti černým studentům na University of Missouri a smrt Toryho Sandersa, 28 let, černého muže z Tennessee.

Poznámka: Pokud chcete přesnější překlad, můžete použít termín ""černoch"" (anglicky ""black man"") místo ""černý muž"", jelikož ""černý muž"" může být považován za méně přesný překlad."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanderovi zemřel v nejasných okolnostech na začátku tohoto roku poté, co mu vypršela benzina během cesty státem a byl zatčen policií státu Missouri bez obvinění z trestného činu.

Poznámka: Pokud chcete překlad přesněji odrážet původní text, můžete použít následující variantu:

Sanderovi zemřel v nejasných okolnostech na začátku tohoto roku poté, co mu vypršela benzina během cesty státem Missouri, a byl zatčen policií státu Missouri bez obvinění z trestného činu.

V původním textu je zmíněno, že se Sander cestoval státem, ale není uvedeno, že se jednalo o stát Missouri. Proto jsem v překladu přidala specifikaci ""státu Missouri"" pro lepší přesnost."
