Source,Reference,Translation
Munich 1856: Four maps that will change your view of the city,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","München 1856: Vier Karten, die Ihre Sicht auf die Stadt verändern"
"A mental asylum, where today young people are said to meet.","Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Ein psychiatrisches Krankenhaus, in dem sich heute junge Leute treffen sollen.

(Note: A more idiomatic translation would be: Ein ehemaliges psychiatrisches Krankenhaus, in dem sich heute junge Leute treffen sollen. This translation adds ""ehemaliges"" to indicate that the asylum is no longer in operation.)"
"A crypt chapel, where they are now digging tunnels for the S-Bahn.","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","Eine Kryptakapelle, in der man jetzt Tunnel für die S-Bahn gräbt."
Allotment holders cultivate the soil of former farmers.,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,"Kleingärtner bewirtschaften den Boden ehemaliger Bauern.

(Note: 'Kleingärtner' is the German term for 'allotment holders', and 'bewirtschaften' is the verb for 'cultivate' in this context.)"
The oldest official map of Munich brings captivating stories to light.,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,Die älteste offizielle Karte von München bringt faszinierende Geschichten ans Licht.
It is annoying when geographical maps are not up-to-date.,"Es nervt, wenn Landkarten nicht aktuell sind.","Es ist ärgerlich, wenn geografische Karten nicht auf dem neuesten Stand sind.

Alternatively, a more natural translation in German would be:

Es nervt, wenn geografische Karten nicht aktuell sind.

Both translations convey the same meaning, but the second one uses more informal language and is closer to how a native speaker would express the sentiment."
Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Jeder, der sich schon einmal über die Navigationsanlage im Auto geärgert hat, weil diese ein grünes Feld anstelle einer Umgehungsstraße anzeigt, weiß das."
"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Die historischen Karten des digitalen BayernAtlas, einem Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell – und gerade deshalb sind sie so informativ."
Especially when one compares them with current online maps.,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.
Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Dann wird deutlich, wie sich die Städte und Gemeinden im Verbreitungsgebiet der Münchner Zeitung Merkur seit dem 19. Jahrhundert verändert haben."
The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.","Der digitale BayernAtlas ist ein Flickenteppich, den man anfangs nicht ganz für das erkennt, was er ist."
"Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Innerhalb der großen Übersichtskarte wurden detaillierte Karten für Städte und Gemeinden, sogenannte Ur-Lagepläne, bearbeitet."
