Source,Reference,Translation
Munich 1856: Four maps that will change your view of the city,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","München 1856: Vier Karten, die deine Sicht auf die Stadt verändern werden."
"A mental asylum, where today young people are said to meet.","Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Ein psychiatrisches Krankenhaus, in dem heute junge Leute sich treffen sollen.

Hinweis: ""Mental asylum"" ist in Deutschland eher als ""psychiatrisches Krankenhaus"" üblich."
"A crypt chapel, where they are now digging tunnels for the S-Bahn.","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","Ein kryptischer Kapellen, wo sie jetzt Tunnel für die S-Bahn graben.

Hinweis: ""kryptischer"" ist eine interessante Wahl, da es sowohl ""geheimnisvoll"" als auch ""unterirdisch"" implizieren kann. Wenn Sie eine genauere Übersetzung wünschen, könnten Sie auch ""unterirdische Kapelle"" oder ""Kapelle unter der Erde"" verwenden.

Alternativ:
Eine unterirdische Kapelle, wo sie jetzt Tunnel für die S-Bahn graben.

Oder:
Eine geheime Kapelle, wo sie jetzt Tunnel für die S-Bahn graben.

Die Wahl der Übersetzung hängt von der Kontext und dem Stil des Textes ab."
Allotment holders cultivate the soil of former farmers.,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,"Die Pächter bewirtschaften das Land der ehemaligen Bauern.

Hier ist eine Erklärung der Übersetzung:

- ""Allotment holders"" wird mit ""Pächter"" übersetzt, da dies die Person bezeichnet, die ein Grundstück pachtet, um es zu bewirtschaften.
- ""cultivate"" wird mit ""bewirtschaften"" übersetzt, da dies die Handlung bezeichnet, das Land zu bearbeiten und zu pflegen.
- ""soil"" wird mit ""Land"" übersetzt, da dies die Oberfläche bezeichnet, auf der die Pflanzen wachsen.
- ""former farmers"" wird mit ""ehemaligen Bauern"" übersetzt, da dies die Person bezeichnet, die früher Landwirt war, aber nicht mehr ist."
The oldest official map of Munich brings captivating stories to light.,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,"Die älteste offizielle Karte von München bringt fesselnde Geschichten ans Licht.

Hinweis: 
- ""The oldest official map"" wurde direkt übersetzt, da es sich um eine spezifische Beschreibung handelt.
- ""brings captivating stories to light"" wurde mit ""fesselnde Geschichten ans Licht bringt"" übersetzt, um die Bedeutung und den Ton des Originaltextes beizubehalten."
It is annoying when geographical maps are not up-to-date.,"Es nervt, wenn Landkarten nicht aktuell sind.","Es ist ärgerlich, wenn geografische Karten nicht auf dem neuesten Stand sind.

Hinweis: Ich habe ""geografische Karten"" verwendet, um den Begriff ""geographical maps"" genau zu übersetzen."
Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Wer jemals aufgeregt wurde, weil die Autonavigation ein grünes Feld anstatt einer Umfahrung anzeigt, weiß das.

Hinweis: Ich habe ""Autonavigation"" verwendet, da ""Sat-Nav"" eine Abkürzung ist und in Deutschland nicht so gebräuchlich ist wie in anderen Ländern."
"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Die historischen Karten des digitalen BayernAtlas, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell – und genau deshalb sind sie so informativ.

Hinweis: Ich habe die Übersetzung auf die deutsche Standards angepasst, um eine natürliche und flüssige Sprache zu erhalten."
Especially when one compares them with current online maps.,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,"Besonders wenn man sie mit aktuellen Online-Karten vergleicht.

Hinweis: Ich habe den Text in formalen Stil übersetzt, falls du einen anderen Stil benötigst, z.B. informell oder wissenschaftlich, stehe ich gerne zur Verfügung."
Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Dann wird klar, wie sich die Städte und Gemeinden im Verbreitungsgebiet der Münchner Merkur seit dem 19. Jahrhundert verändert haben.

Hinweis: Ich habe den Text wörtlich übersetzt, um die Genauigkeit zu wahren. Wenn Sie eine freiere Übersetzung wünschen, stehe ich Ihnen gerne zur Verfügung."
