Source,Reference,Translation
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer tahtoi muuttaa sukupuoltaan, sai mielenterveystautia ja tekee nykyään taidetta aiheen ympärille – ""Ihmisillä on oikeus omaan kehoonsa""."
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Taiteilijöiden tiedot ovat ripustettuna Akadeemian Taiteen Taidehuoneen Project Roomin gallerian katolta.
The name of Camille Auer is written on every one of them.,Jokaisessa niissä lukee Camille Auerin nimi.,Camille Auerin nimi on kaikissa niistä.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.","Raporttien kerää pitkän tarinan siitä, kuinka muita ihmiä on tulkinnut Auerista ja hänen identitetistä."
decided on who she is on her behalf.,Päättäneet hänen puolestaan kuka hän on.,"Hänen on päättänyt, kumpanaansa edustaa."
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""Halusinoi henkilökohtaisen lääkehistoriaani osoittamaan koko prosessin väki"", Auer sanoo."
"Here, ""process"" refers to her sex reassignment procedure.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Tässä ""process"" viittaa hänen sukupuolen muutokseen."
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","Pitkän aikanainen arviointijakso, joka koostuu psykologin, psykiatrien, hoitajien ja lääkärien tapaamisesta."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",Alukuprosesi alkaa hoidolla diagnoseerimaan sukupuolen identiteettoroirehän. Nämä diagnostit suoritetaan Tampereessa ja Helsingissä.
Auer's process started four years ago.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auren prosessi aloitettiin neljä vuotta sitten.
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,Aikaisemmin hän oli jo käyttänyt internetistä tilattuja östrogeeniä ja oli myös muuten omatoimissaan sukupuolenmuutosprosessiin.
"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Vaikka hän tunsi itsensä naiseksi, suomen lainsäädäntö vaatii henkilöltä suomennusprosessin suorittamisen ennen kuin sukupuoli voidaan lainallisesti muuttaa."
"The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","Transsuksiaanilaw (563/2002) tai ”translaki” velvotaan transsuksiaalisia henkilöitä pakolliseen sterilisoidaan, jotta oikeellinen sukupuoli voi olla rekisteröity, esim. väestörekisterikeskussa ja pasportti."
"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.",Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"Nykyisin jokainen henkilö, joka aikoo muuttaa sukupuolensa, vaadataan, että hänellä on psykiatrinen diagnoosin ja todistus siitä, että hän ei voi synnyttää."
People should have the right to decide on their own body.,Ihmiselle kuuluu oikeus päättää omasta kehostaan.,Henkilöillä tulisi olla oikeus päättää omasta ruumiinsa.
"""This situation is intolerable and in violation of human rights"", Auer says.","""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""Tilanne on intollertavä ja ihmisoikeiden rikos"", Auer sanoo."
Amendments to the Finnish trans act have been on the table for long.,Translain uudistamisesta on puhuttu Suomessa jo pitkään.,Suomen translaintolasta on ollut pitkäa aikaa aikeita muutoksia.
"The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination.","YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","Yhdiin ihmisoikeusneuvosto on julkaissut kuusi huolta teosta kohtaan, ja Euroopan ihmisoikeusoikeuden tuomioistuin on asetanut ehdotuksen, joka velvoitta kohteet Euroopan ihmisoikeussopimuksen mukaan noudattamaan itseräisyysoikeuden oikeutta."
"The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health.",Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,Entiset Suomen hallitus valmis lakien muutoksia Sossiaali- ja terveysministeri Susanne Huovinen johdolla.
"After the following elections, the Finns Party received seats in the Government.",Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,Seuraavien vaaleiden jälkeen Suomen kansanpuolue sai paikkoja hallituksessa.
