Source,Reference,Translation
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer halusi muuttaa sukupuoltaan, sai mielenterveysdiagnoosin ja tekee nyt taidetta aiheesta – ""Ihmisellä tulisi olla oikeus omaan kehoonsa"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Kymmeniä potilaskertomuksia roikkuu Kuvataideakatemian Project Room -gallerian katossa.
The name of Camille Auer is written on every one of them.,Jokaisessa niissä lukee Camille Auerin nimi.,Jokaisessa niistä on Camille Auerin nimi kirjoitettuna.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.","Raportit kertovat pitkän tarinan siitä, millaisen tulkinnan muut ihmiset ovat kirjoittaneet Auerista ja hänen identiteetistään."
decided on who she is on her behalf.,Päättäneet hänen puolestaan kuka hän on.,Päättänyt kuka hän on hänen puolestaan.
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""Aikaisemmin halusin paljastaa henkilökohtaisen sairauskertomukseni korostamaan koko prosessin väkivaltaisuutta"", Auer sanoo."
"Here, ""process"" refers to her sex reassignment procedure.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Tässä ""prosessi"" viittaa hänen sukupuolenvaihdosprosessiinsa."
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","Se on monivuotinen tutkintajakso, johon sisältyy tapaamisia psykologien, psykiatrien, hoitajien ja lääkärien kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",Prosessi alkaa tutkimuslähetteellä sukupuoli-identiteetin häiriön diagnosointia varten. Näitä tutkimuksia tehdään Tampereella ja Helsingissä.
Auer's process started four years ago.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auerin prosessi alkoi neljä vuotta sitten.
