Source,Reference,Translation
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer halusi muuttaa sukupuolensa, diagnosoitiin mielenterveyshäiriö ja tekee nyt taidetta aiheesta – ""Ihmisillä pitäisi olla oikeus omiin kehoihinsa"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Kymmeniä potilasraportteja roikkuu Project Room -gallerian katon alla Taideyliopistossa.
The name of Camille Auer is written on every one of them.,Jokaisessa niissä lukee Camille Auerin nimi.,Camille Auerin nimi on kirjoitettu jokaiselle niistä.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.","Raportit kertovat pitkän tarinan siitä, millaisen tulkinnan muut ihmiset ovat kirjoittaneet Auerista ja hänen identiteetistään –"
decided on who she is on her behalf.,Päättäneet hänen puolestaan kuka hän on.,"päättänyt, kuka hän on hänen puolestaan."
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""Olen halunnut paljastaa henkilökohtaiseni terveyshistoriani, jotta korostaisin koko prosessin väkivaltaisuuden"", Auer sanoo."
"Here, ""process"" refers to her sex reassignment procedure.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Tässä ""prosessi"" viittaa hänen sukupuolenvaihtamisprosessiinsa."
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","Se on monivuotinen tutkintajakso, johon sisältyy tapaamisia psykologien, psykiatrien, hoitajien ja lääkärien kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",Prosessi alkaa viittauksella diagnosoida sukupuoli-identiteettihäiriö. Nämä diagnoosit suoritetaan Tampereella ja Helsingissä.
Auer's process started four years ago.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auerin prosessi alkoi neljä vuotta sitten.
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Ennen tätä, hän oli jo käyttänyt internetistä tilaamiaan östrogeenejä ja oli muutenkin hyvin pitkällä omissa sukupuolenvaihdosprosessissaan."
"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","Vaikka hän tunsi itsensä naisena, suomalainen laki määrää, että yksilön täytyy käydä läpi muutostyömenettelyn ennen kuin sukupuoli voidaan muuttaa myös laillisesti."
"The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","Transsukupuolisten oikeudellisen sukupuolen tunnustamisesta annettu laki (563/2002), eli trans-laki, velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta heidän oikea sukupuoli voidaan rekisteröidä, esimerkiksi Väestörekisterikeskuksessa ja passiin."
