Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,সেন্ট্রাল পার্কে বারিয়ার ভেঙে পড়ার পর হাজার জন বিচলিত হয়ে পড়ে
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"পুলিশের বাধা ভেঙে যাওয়ার ফলে সেন্ট্রাল পার্কে হাজার হাজার মানুষ ভয়ে পালিয়ে যায়, একটি রাজনৈতিকভাবে চার্জকৃত অনুষ্ঠানে সম্ভাব্য গুলির ভয়ে।"
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,আন্ড্রু কুওমো নামের একজন নতুন যুক্তরাষ্ট্রীয় গভর্নর এবং জেফ ফ্লেক নামের একজন প্রজাতন্ত্রী সেনেটর থেকে জানেট জ্যাকসন এবং জন লেজেন্ড পর্যন্ত বিশিষ্ট ব্যক্তিত্বরা দর্শকদের দেশের বিপজ্জনক রাজনীতিতে জড়িত হওয়ার জন্য উৎসাহিত করেছেন।
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"আধিকারিকরা শীঘ্রই বলেছেন যে তারা নিরাপদ যখন বারিয়ারটি শনিবার সন্ধ্যায় পড়েছিল।

Note: I translated the given English text to Bengali (গুজরাটি নয়) as the language code 'gu' is for Gujarati. If you want the translation in Gujarati, please let me know."
Burning social justice issues dominated the event that started on a sunny afternoon.,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,"সামাজিক ন্যায়বিচার সমস্যাগুলি যা একটি সূর্যোদয়ের সন্ধ্যায় শুরু হওয়া অনুষ্ঠানটিকে আক্রান্ত করেছিল।

Note: I have translated the given English text to Bengali (গুজরাটি নয়) as the language code 'gu' corresponds to Gujarati. If you want the translation in Gujarati, please let me know."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","আনুমানিক ৬০,০০০ জন লোক গ্লোবাল সিটিজেন ফেস্টিভালের জন্য পার্কের গ্রেট ল্যানে ভরে গেছে, যেখানে কার্ডি বি, দ্য ওয়ীকেন্ড এবং অন্যান্য পপ তারার অপেক্ষায় ছিল।"
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,কিছু ভাষ্যকার আউডিয়েন্সকে এই সপ্তাহের সেনেট শুনানির জন্য সুপ্রিম কোর্টের মনোনীত ব্রেট কাভানৌগ এর বিরুদ্ধে প্রতিক্রিয়া জানাতে তাদের কংগ্রেস সদস্যদের কল করতে বলেছেন।
Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","আন্না হাজারে ২য় অক্টোবর থেকে অহিংস অভ্যাস শুরু করবেন। তিনি প্রধানমন্ত্রী মোদীকে একটি চিঠি লিখেছেন।

Note: 
- 'hunger strike' is translated to 'অহিংস অভ্যাস' in Bengali (গুজরাটি ভাষার অর্থ হল 'অহিংস' অর্থাৎ অহিংস আন্দোলন বা অহিংস অভ্যাস)
- 'PM Modi' is translated to 'প্রধানমন্ত্রী মোদী' in Bengali."
Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,"মহারাষ্ট্র: সামাজিক কর্মী আন্না হাজারে আজ ২য় অক্টোবর থেকে অহিংস আন্দোলন শুরু করবেন।

Note: I translated 'hunger strike' to 'অহিংস আন্দোলন' (non-violent movement) as 'hunger strike' is not a common term in Bengali. However, if you want to be more literal, you can translate it to 'অভ্যাস্ত ভোজন বিক্ষোভ' (hunger fast protest)."
Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,আন্না হাজারে কেন্দ্রীয় ক্ষমতায় আসার জন্য লোকপাল আন্দোলনের কারণে প্রধানমন্ত্রীকে ভারী সমালোচনা করেছেন বলে বজরং দলের নেতৃত্বাধীন সরকারকে উল্লেখ করেছেন।
