Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,સેન્ટ્રલ પાર્કમાં બેરિયર તૂટી જતાં હજારો લોકો આતંકિત
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"પોલીસની બેરિકેડ તૂટી જતાં સેન્ટ્રલ પાર્કમાં હજારો લોકો ગોળીબારીના ડરથી ભયભીત થઈ ગયા અને ત્યાંથી ભાગી ગયા, જે રાજકીય રીતે ચાર્જ કરાયેલ કાર્યક્રમ હતો."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,ડેમોક્રેટિક ન્યુ યોર્ક ગવર્નર એન્ડ્રુ કુમો અને રિપબ્લિકન સેનેટર જેફ ફ્લેક થી લઈને જેનેટ જેક્સન અને જોન લેજેન્ડ સુધીના પ્રખ્યાત વ્યક્તિઓએ દેશની સંકટમાં સપડાયેલી રાજકારણમાં પ્રેક્ષકોને સામેલ થવા માટે આગ્રહ કર્યો.
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,શનિવારની સાંજે બેરિયર પડ્યા પછી અધિકારીઓએ ઝડપથી ભીડને ખાતરી આપી કે તેઓ સુરક્ષિત છે.
Burning social justice issues dominated the event that started on a sunny afternoon.,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,સૂર્યપ્રકાશથી ભરપૂર દિવસની બપોરે શરૂ થયેલા આ કાર્યક્રમમાં સામાજિક ન્યાયના પ્રશ્નોએ આધિપત્ય જમાવ્યું હતું.
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","ગ્લોબલ સિટિઝન ફેસ્ટિવલ માટે પાર્કના ગ્રેટ લોનમાં આશરે 60,000 લોકો એકઠા થયા હતા, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટાર્સની પણ રાહ જોતા હતા."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,કેટલાક વક્તાઓએ શ્રોતાઓને આ અઠવાડિયાના સુપ્રીમ કોર્ટના નામાંકિત બ્રેટ કાવાનાફના સેનેટ સાંભળવા માટે તેમના કોંગ્રેસના સભ્યોને ફોન કરવા વિનંતી કરી.
Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",આના હજારે ૨ ઓક્ટોબરથી ભૂખ હડતાલ પર જશે. તેમણે વડાપ્રધાન મોદીને પત્ર લખ્યું છે.
Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,મહારાષ્ટ્ર: સામાજિક કાર્યકર અન્ના હજારે ૨ ઓક્ટોબરથી ભૂખ હડતાલની જાહેરાત કરી છે.
Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,આના હજારેએ વિરોધી પક્ષના નેતાઓ સાથે સંપર્ક કર્યો છે. આના હજારેએ વડા પ્રધાનની તીવ્ર ટીકા કરી છે અને જણાવ્યું છે કે ભાજપ દ્વારા સંચાલિત સરકાર લોકપાલ ચળવળના કારણે કેન્દ્રમાં સત્તામાં આવી છે.
Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"ચાર વર્ષ પસાર થઈ ગયા છે, પરંતુ કોઈપણ કારણસર સરકાર લોકપાલ અને લોકાયુક્તની ચૂંટણી ટાળી રહી છે."
"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,તેમણે ઉમેર્યું કે લોકપાલની ચૂંટણીને લઈને તેઓ ૨ ઓક્ટોબરથી ભૂખ હડતાલ પર જશે અને તેઓ પોતાના નિર્ણય પર અડગ છે.
Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.,"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.","ગુજરાતી અનુવાદ:
ગુરુવારે અન્ના હજારે વડાપ્રધાન મોદીને પત્ર લખ્યું હતું જેમાં તેમણે દાવો કર્યો હતો કે ચાર વર્ષમાં સરકારે માત્ર બાહાણા બનાવ્યા છે અને લોકપાલની નિમણૂક કરી નથી."
"Anna wrote that on 16th August 2011, for the election of the Lokpal and Lokayukt, the whole country was marching on the roads.","અન્નાએ લખ્યું કે, લોકપાલ અને લોકાયુક્તની નિયુક્તિ માટે 16 ઓગસ્ટ 2011ના રોજ દેશ આખો રસ્તા પર ઉત્તરી આવ્યો હતો.","આનાએ લખ્યું કે ૧૬મી ઑગસ્ટ ૨૦૧૧ના રોજ, લોકપાલ અને લોકાયુક્તની ચૂંટણી માટે, સમગ્ર દેશ રસ્તાઓ પર આગળ વધી રહ્યું હતું."
Your government has come to power due to this movement.,તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે.,તમારી સરકાર આ ચળવળના કારણે સત્તામાં આવી છે.
"Earlier Anna had also announced that on the occasion of Gandhi Jayanti, he will start fasting from 2nd October in Ralegan Siddhi.",અન્નાએ આ પહેલા પણ જાહેરાત કરી હતી કે ગાંધી જયંતીના અવસર પર 2જી ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં અનશન કરશે.,અગાઉ આન્નાએ જાહેર કર્યું હતું કે ગાંધી જયંતીના ઉપલક્ષમાં તેઓ ૨ ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં ઉપવાસ શરૂ કરશે.
He told the news agency on Friday that farmers are not getting the right prices for their produce.,તેમણે શુક્રવારે સમાચાર એજન્સીને જણાવ્યું હતું કે ખેડૂતોને તેના ઉત્પાદનનો યોગ્ય ભાવ નથી મળી રહ્યા છે.,શુક્રવારે તેમણે સમાચાર એજન્સીને જણાવ્યું કે ખેડૂતોને તેમના ઉત્પાદનની યોગ્ય કિંમત મળતી નથી.
Because of which they are killing themselves.,જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.,જેના કારણે તેઓ પોતાની જાતને મારી નાખે છે.
"Superintendent's car stolen from the civil hospital, watch CCTV.","સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","સિવિલ હોસ્પિટલથી અધીક્ષકની કાર ચોરી, સીસીટીવી જોયું."
"Click here to see the Desi liquor in Sardar Nagar, Ahmedabad, and other important news.","અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો",અહીં ક્લિક કરો અમદાવાદના સરદારનગરમાં દેશી દારૂ અને અન્ય મહત્વપૂર્ણ સમાચારો જોવા.
"Surat : Superintendent's car stolen from the civil hospital, watch CCTV.","સુરત: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","સુરત : સિવિલ હોસ્પિટલથી અધીક્ષકની કાર ચોરી, જુઓ સીસીટીવી."
