Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,"##  Манетаризацияны Политикасын Жаңарту 


Let me know if you'd like me to elaborate on any specific aspect of the translation or provide additional context."
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","**MUNICH –  Көптеген орталық банктер кандай уақыт шектік ережелерге таянып инфляцияны басқару және өсуді қоздыру үшін көз жауып тұрады?** 


Here's a breakdown of the translation:

* **MUNICH –**  This remains unchanged as it's a proper noun.
* **How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?**
    * **Көптеген орталық банктер** - ""Many central banks""
    * **кандай уақыт** - ""how long""
    * **шектік ережелерге таянып** - ""rely on rigid rules""
    * **инфляцияны басқару** - ""control inflation""
    * **және өсуді қоздыру** - ""and stimulate growth""
    * **көз жауып тұрады?** - ""blindly"" (using ""kөз жауып"" which literally means ""to close one's eyes"")

**Notes:**

* The translation aims for accuracy and fluency in Kazakh. 
* The phrase ""blindly rely"" is conveyed using ""көз жауып тұрады"" which emphasizes the lack of critical thinking or consideration of alternatives.



Let me know if you have any other text you'd like me to translate!"
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Көп керектіктерді анық көрсеткен еркін ақша саясатына байланысты, орталық банктіктердің сыйымдылықтың мүмкіндіктеріне көз ашуы керек. 


**Explanation:**

* **""Nimble monetary policy""** is translated as **""еркін ақша саясаты""**.  ""Nimble"" conveys the idea of being quick and adaptable, which is important for monetary policy.
* **""Central bankers""** is translated as **""орталық банктіктер""**.
* **""Open their eyes to the possibilities""** is translated as **""сыйымдылықтың мүмкіндіктеріне көз ашуы керек""**. This phrase emphasizes the need for central bankers to be aware of and consider the potential benefits of flexibility.
* **""Flexibility affords""** is translated as **""сыйымдылықтың мүмкіндіктері""**. This highlights the opportunities that flexibility provides.



Let me know if you have any other text you'd like me to translate!"
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Манетаптык саясаткерлерге белгілі дәстүр бойынша, инфляция ресми жалпы мақсаттық аралыklardan төмен болса, қысқа мерзімді faiz ставкасы өткізу және инвестицияны арттыратын деңгейде орнатылуы керек. 


**Explanation:**

* **""Rule of thumb""** is translated as **""белгілі дәстүр""** which conveys the idea of a long-standing practice.
* **""Monetary policymakers""** is translated as **""манетаптык саясаткерлер""**.
* **""Inflation is below official target ranges""** is translated as **""инфляция ресми жалпы мақсаттық аралыklardan төмен болса""**.
* **""Short-term interest rates""** is translated as **""қысқа мерзімді faiz ставкасы""**.
* **""Should be set at a level that spurs spending and investment""** is translated as **""өткізу және инвестицияны арттыратын деңгейде орнатылуы керек""**.



Let me know if you have any other text you'd like me to translate!"
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Бұл тәсіл арқылы, қаржы басқарушылардың қы Interest rates  нольге жететін не оған жақын болғанда,  талапты қозғайтын деп ойналатын үлкен актилер сатып алу жоспарларын жұмысқа салудан басқа  таңдауы мүмкін емес. 


**Explanation:**

* **""This approach""** is translated as ""Бұл тәсіл""
* **""Interest rates""** is translated as ""қы Interest rates""
* **""Reach or approach zero""** is translated as ""нольге жететін не оған жақын болғанда""
* **""Central banks""** is translated as ""қаржы басқарушылар""
* **""Have little choice but to""** is translated as ""таңдауы мүмкін емес""
* **""Activate large asset-purchase programs""** is translated as ""үлкен актилер сатып алу жоспарларын жұмысқа салудан""
* **""That are supposed to stimulate demand""** is translated as ""талапты қозғайтын деп ойналатын""



Let me know if you have any other text you'd like me to translate!"
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Жағдайлар талап етсе, саясаткерлер жалпы белгіленген жазуларды, яғни неокейнсиандық экономика моделінің жазуларын пайдалануға мүмкіндік береді. 


**Explanation:**

* **""When circumstances call for it""** is translated as ""Жағдайлар талап етсе"" which accurately conveys the conditional nature of the action.
* **""Policymakers""** is translated as ""саясаткерлер"" which is the standard term for policymakers in Kazakh.
* **""Default to""** is translated as ""пайдалануға мүмкіндік береді"" which means ""they are inclined to use"" or ""they tend to rely on"".
* **""Predetermined scripts""** is translated as ""жалпы белгіленген жазулар"" which captures the idea of pre-existing, standardized models.
* **""Neo-Keynesian economic models""** is translated as ""неокейнсиандық экономика моделі"" which is a direct translation of the term.


This translation aims for both accuracy and fluency in Kazakh."
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Anıqta,  būl scriptler bizdi  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūlūp  kūl"
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Бұл тұжырымды қайта қарауға көп себеп бар. 


Let me know if you have any other text you'd like me to translate!"
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Басқаша, отбасылар өте төмен faizдерге жауап берген және тапшырақ сақтап, көптеген жұмсап қоймаған. 


**Explanation:**

* **""For starters""** is translated as **""Басқаша""** which means ""Firstly"" or ""To begin with"".
* **""Households""** is translated as **""отбасылар""** which means ""households"".
* **""Have not responded""** is translated as **""жауап берген және""** which means ""have not responded and"".
* **""Ultra-low interest rates""** is translated as **""өте төмен faizдер""** which means ""very low interest rates"".
* **""By saving less and spending more""** is translated as **""тапшырақ сақтап, көптеген жұмсап""** which means ""saving less and spending more"".



Let me know if you have any other text you'd like me to translate!"
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Сапары азы алыс келгенде, адамдар мыкты жабдыктарды алып барууга же кызыл келгенде өзүнүн жашын өткөрүүгө мүмкүн эмес. 


**Explanation:**

* **""If savings no longer yield a return""** is translated as ""Сапары азы алыс келгенде"" which means ""When savings no longer bring profit"".
* **""people can’t afford big-ticket items""** is translated as ""адамдар мыкты жабдыктарды алып барууга мүмкүн эмес"" which means ""people can't afford to buy expensive things"".
* **""or pay for retirement down the road""** is translated as ""же кызыл келгенде өзүнүн жашын өткөрүүгө мүмкүн эмес"" which means ""or can't afford to pay for their retirement in the future"".



Let me know if you have any other text you'd like me to translate!"
