Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,Ақша саясатының сценарийін қайта жазу
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",МЮНХЕН – Қандай уақытқа дейін орталық банктар инфляцияны бақылау және өсімді көтермеуге қатал ережелерге сенімділікпен сүйеніп тұрады?
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Нимбле монетарлық саясаттың анық пайдасын ескере отырып, орталық банктің қызметкерлері жұмсақтық беретін мүмкіндіктерге көзінің ашылуы қажет."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Ақша саясатын жүргізушілердің ұзақ уақыт бойы қолданып келе жатқан ережесі - инфляция ресми тарифтерден төмен болса, қысқа мерзімді пайыздардың мөлшері шығын мен инвестицияны көтеріп, тұтыну мен инвестицияны көтеріп тұратындай деңгейде белгіленуі тиіс."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Бұл әдіс жұмыс істеуінде орталық банктердің мүмкіндігі шектеліп, пайыздық мөлшерлер нөлге жақындай бастағанда немесе нөлге жеткенде, орталық банктерге сұранымды күшейтуге арналған ірі активтерді сатып алу бағдарламаларын іске қосуға тура келеді."
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Жағдайлардың қажеттілігіне байланысты, саясаткерлер неокейнсиандық экономикалық моделдердің алдын ала белгіленген скриптеріне жүгінеді."
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Бірақ көптеген жағдайларда, сол скрипттер бізді адастырды, себебі олардың монетарлық саясаттың сұраныс пен инфляцияға өлшенетін және болжанатын ықпалы бар деп есептейді."
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Бұл жорамалды сауалға қойып, теріске шығаруға көптеген себептер бар."
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Бірінші кезекте, отбасылар өте төмен пайыздық мөлшерлерге жауап ретінде аз үнемдеу және көп шығын жасау арқылы жауап бермеген."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Қорлар енді пайда бермесе, адамдар үлкен шығынды заттарды сатып ала алмайды немесе кейінгі күндері зейнеткерлікке төлеу үшін қаражат жинай алмайды."
"Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.","Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Осындай, бүгінгі компаниялардың алдында өте көп белгісіздік және көптеген қауіптер бар, сондықтан ақша салымдарының төмендетілген құны оларды көбірек инвестицияларға тартпайды."
