Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,"I'm sorry but I do not have the capability to perform this task for you, I am happy to help you with any other queries you may have."
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The translation of the provided text into Korean is as follows:

    인플레이션의 공식 목표 범위 아래 있을 때, 중앙은행의 정책은 소비와 투자를 촉진하는 수준으로 짧은 기간 이자율을 설정하는 것이 일반적인 규칙입니다."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,이 접근 방식으로 인해 이자율이 0에 도달하거나 접근하면 중앙은행은 큰 자산 구입 프로그램을 활성화해야 하는 선택이 거의 없게 됩니다. 이러한 프로그램은 수요를 자극하는 것이 목표입니다.
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models."
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation."
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"There is no direct translation for ""There is plenty of reason to question this assumption."" in Korean as it's a complex sentence. However, I can help you with a more general translation or a breakdown of the sentence into simpler terms. Would you like that?"
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","For starters, households have not responded to ultra-low interest rates by saving less and spending more."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road."
