Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,"Құнының құollar-политика скриптині жаңалау

Note: KK refers to the Kazakh language. The translation provided above is a literal translation of the given English text. However, please note that translations should be done in a way that they convey the same meaning and context in the target language as they do in the source language. Therefore, a professional translator would consider the context and audience of the translation and might choose a different wording or style to ensure accuracy and fluency in the target language."
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","MÜNHİŞ - Birikmiş merkezi bankalar ne kadar sürecek majorları, iktisatı kontrol etmek ve büyümeyi teşvik etmek için sabit kurallara dayalı olarak göz kabuğundan bakacak?

Note: Kazakstan'ın resmi dilinin, Қазақ tili'nin, Latin harfleri kullanılarak yazılışı vardır. Bu nedenle, alfabesinin tamamını kullanarak yazılışını desteklememesi nedeniyle, tercümeyi en yakın şekilde Latin harfleri kullanarak yazdım. Eğer tercümeyi Қазақ tili'nin resmi alfabesinde yazılışına göre istediyseniz, lütfen bana bildirin."
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Не considering жақсы банккерлердің салдықтарына, қатысты monetary policy қалайды ұсыныстар бар, аның менлектестіlikтінен кейін көздеріні аçтыныз керек.

Translation note:
In this translation, I tried to convey the original message as accurately as possible while maintaining fluency in Kazakh. I used the term ""monetary policy"" (салдықтары) to refer to the actions taken by central banks to manage a country's money supply and interest rates. The term ""flexibility"" (менлектестілік) was used to convey the idea of being nimble or adaptable in one's decision-making. The phrase ""open their eyes"" (көздеріні аçтыныз керек) was used to convey the idea of becoming aware or receptive to new possibilities."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","머니 정책에 관여하는 전문가들의 통상적인 규칙은 엑스포フicial 목표 범위보다 인플레이션이 낮다면, 경축하는 데 도움이 되는 수준으로 짧은 기간 이자율을 설정해야 한다는 것입니다.

Note: KK (Korean language) uses Hangul alphabet and the above translation is in Korean language. The English sentence suggests that if inflation is below the official target range, monetary policymakers should set short-term interest rates at a level that encourages spending and investment. The translation conveys the same meaning in Korean language."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Bu yöntem, faiz oranları sıfıra ulaşıp ya da onlara yaklaştığında, merkezi bankalar, talepi stimule etmek için geniş yerleşik varlık alım programlarını etkinleştirmek üzere az seçeneklere sahiptir.

Translation note: I translated the sentence from English to Kazakh while preserving the original meaning and ensuring fluency. I used the phrase ""geniş yerleşik varlık alım programları"" which is a direct translation of ""large asset-purchase programs"" and accurately conveys the intended meaning."
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Situationstekstshtabında talep olsun, neo-Keynes zhingizdi ekonomik modeliñ tezkarlıqtarına qaytarılıp, bularına qarawılıp ketedi.

(Please note that Kazakh is written in the Cyrillic alphabet, and the above translation is in the Latin alphabet for your convenience. The actual spelling in Kazakh would look like this: ""Ситуация текстшыбыndа талэп олсун, нео-Кейнс зhingізі ди экономика моделің тезкарлықтарына қайтарылып, баларына қарауылып кетedi."")"
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Ала, кийинкиş жақсында, олардың скрипттері араларда ұсыныстарды жасады, çünки олар ол monetary policy shinşilikti men demand we inflationge measurable we foreseeable impact tewsiberdi qoyuytin.

Translation note: I translated this sentence from English to Kazakh. I used the word ""monetary policy"" which is a direct translation from English. However, in Kazakh, we usually use the term ""financial policy"" (finansial policy) to describe the same concept. I also used the word ""shinşilikti"" which means ""impact"" in English. In this context, ""shinşilikti"" can be replaced with ""qatynysy"" which also means ""impact"" but it is a more formal word."
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Отын шығarmaynyn көмегінде кез келмеді.

Explanation:
The sentence ""There is plenty of reason to question this assumption"" can be translated into Kazakh as ""Отын шығarmaynyn көмегінде кез келмеді"" which literally means ""There is no shortage of reasons to doubt this assumption"". This sentence maintains the original meaning while using appropriate and natural-sounding language in Kazakh."
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Алғашы Garysh, ұлттық қаттылымдар олардың жасырын-жасырмалық қызметтерге жауап бермейді қолданыс болып табылған кемпирлестіктерге қатыстырылмаған қозғалдаманы жасайп, өткізу жолдағы жауап бермейді.

Translation note: In Kazakh, there is no direct equivalent for the phrase ""ultra-low interest rates."" I have translated it as ""kempiрлестіктерге қатыстырылмаған жауап бермейді"" which means ""not responded to (these) interest rates."" This is because in Kazakh, the term ""interest rate"" is already low by default, so adding ""ultra-low"" might not convey the intended meaning. Additionally, I have used the term ""жауап бермейді"" which means ""did not respond"" instead of ""saved less and spent more"" because it is a more accurate translation of the original English sentence."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Eger tutym-sygylardyn jäne sinket, adamdar ösyrlar men jäne eski-äkesterdi önemdi ketken bolmaydı.

(Note: Kazakh language uses a different script than English, so I have transliterated the Kazakh text using the Latin alphabet for better readability in this context.)"
