Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,Tūkstantinės minios panika Centriniame parke griuvus barjerui,Centroje Parkoje tūkstantai panika po barjeras žlugimo.
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Politiškai apkreižtas šou metu centroje Parko Centroje krištas žmones nuo policijos barjeras griebimas, bijaudami galimojo šaudymo suoliau."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Didžiojo vardaus nuo Demokratiškojo Niujorko valdovo Andrew Cuomo ir Respublikonų senatorius Jeffas Flake'as pasirašė Janet Jackson ir John Legend pasakyti žiūrovams dalyvauti šalyje turtingoje politikos.
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Autoritetai greitai pasakinojo liaudą, kad jie sauti po žalos kritim sekma ryte."
Burning social justice issues dominated the event that started on a sunny afternoon.,Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"Sausėta socialinė lygybingumo problemai tapo įvykio centru, prasidėjusio šviesinguoju pavasario vakaru."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Apie 60 000 žmonės užpildė parko didąją aikštę Global Citizen Festival, taip pat laukiai Cardi B, The Weeknd ir kiti pop žvaigždžiai."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"Kai kurie kalėjai paprašė auditorijos pasiskambinti su savo Kongreso nariais, kad atsakotų šitos savaitės Senato išsaugojimo teismo kandidato Brett Kavanaugh paklausms."
Alastair Seeley continues British Supersport winning run at Assen,Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alaistair Seeley tęs sėkmingą Britų Supersportą Asseno traukoje.
Alastair Seeley has continued his winning form in British Supersports,Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alaistair Seeley tęs savo sėkmingą formą Britų SuperSportse.
Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alaistair Seeley pelisavo trečią pergalę w pięciu brytyjskich supersportowych wyścigów, zdobywając zwycięstwo w niedzielnym 12-okrążowym sprincie na torze Assen w Holandii."
The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","Karrickferguso lenkynininkis laimėjo čekiraskį flagą 0,05 sekundžių skirtumas nuo Yamaha lenkynio Jacko Kennedy."
The 38-year-old also won races at Silverstone and Oulton Park this month.,38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,38-metesisis amžinyje taip pat laimėjo lenkų lenktynes Silverstone ir Oulton Park šį mėnesį.
Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley varžodima šiaurės Airijos pagrinduoto EHA Racing komandos, su kuria jis laimėjo lenktynes North West 200 tarptautiniokelis kelias 200-mečio gegužę."
