Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,Tūkstantinės minios panika Centriniame parke griuvus barjerui,"Tūkstančiai Centrinio parko aplinkos paniko, kai barjerai susiliejo."
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",Didžiausios asmenybės iš Demokratų Naujų Jorko gubernatoriaus Andrew Cuomo ir Respublikonų Senato nario Jeff Flake iki Janet Jackson ir John Legend sveikino žiūrovus dalyvauti šalies susirūpinusiose politikoje.
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Autoritetai greitai užtikrino tąjąją, kad jie buvo saugūs, po to, kai barjeras nuskendojo šeštadienį vespė."
Burning social justice issues dominated the event that started on a sunny afternoon.,Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"The translation of the provided text into Lithuanian is:
    Sausioje popietėje pradėjusiai vykusio įvykių tema buvo užklasę socialinės teisingumo problemas."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Araščiau, apie 60 tūkstančius žmonių užfili parko Didžiąją Žolę festivalio Global Citizen Festival, taip pat laukianti Cardi B, The Weeknd ir kitų pop žvaigždžių."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"Kai kurie kalbausi prašė auditoriją, kad susisieksinų su savo Kongreso nariais, kad atsakyti į šių savaičių Senato posėdžius dėl Aukščiausiojo Teismo kandidato Bretto Kavanaugeo."
Alastair Seeley continues British Supersport winning run at Assen,Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,Alastair Seeley tęsine Britų Supersport runą Assene.
Alastair Seeley has continued his winning form in British Supersports,Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley tęsinei savo laimėjimų formą Jungtinėje Supersports.
Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley savo penktąjąją pergalę pasiekė penkiuose britų Supersporto lenktynėse, laimėjęs šeštadienio 12-lapų sprint lenktynes Assene Nyderlanduose."
The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","The translation of the provided text into Lithuanian is:
    Carrickfergus rideris užėmė pergalę 0,05 sekundės nuo kitų Yamaha variklio Jack Kennedy."
The 38-year-old also won races at Silverstone and Oulton Park this month.,38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old also won races at Silverstone and Oulton Park this month.
Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.
The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.
Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Seeley's komandos nario David Allingham buvo septintas šeštadienos Supersport lenktynėse.
