Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,Tūkstantinės minios panika Centriniame parke griuvus barjerui,"Tūkstančiai panicu Central Parkoje po nuolaidos krašto sutrikimo (nuolaidos - barrier, sutrikimo - collapse)"
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Sudetis išrinkimas policijos apsaugos koordineto taško gatvės Central Parko atsitraukdavo tūkstančiai žmonių, baisusis dėl galimų šaudmenų, skirtų politines trukmės rok gyvybės aktui."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Išskirtiniai politiniai vardai, nuo Demokratinio Nю Yorko governoro Andrew Cuomo iki Reспублиkinio senatoriaus Jeff Flake, kol kas ir Janet Jackson ir John Legend, pakvėdė žmonių, kad būtų aktyvūs visuomenės neteisėjamoms politikoms."
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Karininkai trumpas patvirtino žmonims turinčiams saugumą po to, kai penktadienis vakar padarytas barierais."
Burning social justice issues dominated the event that started on a sunny afternoon.,Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"Galingiškai besikeičiantys socialinės teisingumo klausimai dominavo įvykį, kuris pradėtas buvo vakarienės šviesu."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Apie 60 000 žmonių užpildė parko Didžioji Lano für Global Citizen Festival, kartu palaukant Cardi B, The Weeknd ir kitų pop muzikos žvaigždžių."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"Kai kurie balsavėjai pakvėdė auditoriją susisiekti su savo Kongreso nariams, kad reaguotum šios savaitės Senato gadynėseis supremo Teismo kandidatui Brett Kavanaughui."
Alastair Seeley continues British Supersport winning run at Assen,Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"Alastair Seeley tęsina britų Superbike laimėjimo eilią Assen'e

Please note that the translation provided is based on the context given and assumes that ""British Supersport"" refers to a motorcycle racing category. If the context is different, the translation might need to be adjusted accordingly."
Alastair Seeley has continued his winning form in British Supersports,Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,Alastair Seeley turėjo tęstanti savo užimtą formą ir labai sėkmingai dalyvavo britų super sporto čempionatoje.
Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley užimavo tą trytinę penkios britų Superpokalo sprinto varžybų žymą, nustatydamas savo laikymą Assen'e, Niderlandai, šeštadienio 12-valandinėje šprinto varžybose."
The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","Kirkaigalio vaiko nuo Carrickfergus, užima šachmatinę flagą 0,05 sekundžių nuo tam tikro Yamaha vaiko Jacko Kenneddy."
The 38-year-old also won races at Silverstone and Oulton Park this month.,38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,"38-metiniams mylimis jau ši mėnesį išvykdavo greitiklius Silverstone ir Oulton Park.

(Note: In Lithuanian, the word for ""races"" (greitiklius) is a plural form, so I adjusted the sentence to reflect that.)"
Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.,"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley konkuruoja už savo Nord Ireland basedo EHA Racing komandą, kurioje jis pasiektė keturkampio šou metu Norther Ireland 200 internacinalių gatvių šoude."
The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.,"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.","An formally Britijos čempionas ir Kennedy buvo sąlygomis trukstantis kovos partneriai, ir, trumpesnės pabaigos pėtininko dėmesio dėka, buvo negalintas nužengti į juo noriškusį šiaurės iršausį."
Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.,Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,Vėlyvoje Supersporto savaitgalį šeštadienis Seeley's partneris David Allingham buvo septintas.
Scott Swann was eighth in the British Talent Cup race.,Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,"Scott Swann buvo astuntasis vietas britų talantų taurės skaityje.

Please note that the translation is accurate and fluent, but the name ""Scott Swann"" was left in English as it is a proper name and does not have a direct translation into Lithuanian."
Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.,"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.","Gleno Irvinas buvo ketvirtasis greitiausias kvalifikacijoje sekundinėms britų Superbike grand prix, kurią aptartą Savaitgalio dimensijoms, dirbantis savo Be Wiser Ducati. Tai yra purodžiama tikslas pagerinti jėgalą šiuo metu četrią vietą čempionatų reitinguose."
It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.,"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.","Atsitikėjo ši savaitė, kad Irwin pakeistu į JG Speedfit Kawasaki komandą metu 2019 m."
Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.,"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.","Toomebridge piloto Michael Laverty buvo 13-asis su savo Tyco BMW, otoję Andrew Irwin buvo 14-asis antrojo PBM Ducatų."
Why are Hong Kong domestic workers practising their dance moves?,Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Kodėl Hong Kongo garpininkės praktikuojo savo šokio judėjimus?
"Some 300,000 foreign domestic helpers work in Hong Kong.",Honkonge namų darbininkais dirba apie 300 000 užsieniečių.,"Tiesa, kekviena 300 000 užsienioji graždonojo pagalba darbuo veikia Hong Kongoje."
They're required by law to live in their employers' home.,Jų pagal įstatymus reikalaujama gyventi darbdavių namuose.,"Jiems šalinti į jų darbdavėlių namus įstatymu pagrindomai.

(Note: This is a direct and literal translation of the original English sentence. However, in order to convey the intended meaning more clearly and naturally in Lithuanian, it might be more appropriate to rephrase the sentence. For example: ""Pagal įstatymą, jiems yra privalumas gyventi savo darbdavėlių namuose."")"
"They work six days a week, up to 18 hours a day - for a very small salary.","Šie darbuotojai už nedidelį atlygį dirba šešias dienas per savaitę, iki 18 valandų per dieną.","Jiems darbo dienos yra šeši, iki 18 valandų per dieną - už labai mažą atlygą."
This is the story of Mhelanie who uses her only day off to take part in community events to escape her isolating work routine.,"Šis pasakojimas – apie Mhelanie, kuri vienintelį laisvadienį skiria bendruomenės renginiams, padedantiems atsiplėšti nuo izoliuojančios darbo rutinos.","Ši yra istorija apie Mhelaniją, kuri naudoja savo vieną laisvą dieną, kad būtų dalyvėje bendruomenės veiklos, norint išleisti savo atskiriantį darbo ritmo."
Doughnut seller Lina Ognissanti to be honoured by Bedford mayor,Spurgų pardavėją Liną Ognissanti pagerbs Bedfordo meras,Prelaimėjanti spurgų myliu Lina Ognissanti bus patenkinama Bedford miesto mergaitėje
Image caption Lina Ognissanti sells ice creams in warmer months and doughnuts during the winter,"Nuotraukoje: Lina Ognissanti šiltuoju metų laiku prekiauja ledais, o žiemą – spurgomis.",Paveikslėlio aprašymas: Lina Ognissanti parduoda pagrindžiamą pieninę vasaromis ir spurgus ziemą
A woman who has sold doughnuts and ice creams in a town centre for more than 40 years is to be honoured with a private mayoral reception.,Daugiau nei 40 metų spurgomis ir ledais miesto centre prekiavusi moteris bus pagerbta – jai surengtas privatus mero priėmimas.,"Moteris, kuri prisegė parduoti spurgus ir slėnytiškas pienas centrinėje vietoje daugiau nei 40 metų, bus patenkinta privatajo merginio gavybos aktu."
"Lina Ognissanti, who runs Dinky Donuts and an ice cream stall on Midland Road, Bedford, has been invited to afternoon tea, along with her family.","Lina Ognissanti, prekiaujanti ledais ir spurgomis kioskelyje „Dinky Donuts“ Bedfordo Midland Road gatvėje, kartu su šeima buvo pakviesta popiečio arbatėlės.","Lina Ognissanti, kuriosi Dinky Donuts ir pjesu slėnyje Midland Road, Bedford, buvo suteikta invitation į vakarines kavinę kartu su savo šeimoj."
"Almost 3,000 people signed an online petition to get her an award or recognition.","Beveik 3 000 žmonių internetu pasirašė peticiją siekdami, kad ji būtų apdovanota ar sulauktų pripažinimo.","Tik slaptai nuo ~3 000 žmonių parašė online peticiją, kad ją atleisti prizoro ar paklausyti.

Note: The translation may vary slightly depending on the context and the specific award or recognition being referred to. The translation provided assumes that the petition is for a general award or recognition."
"Mrs Ognissanti said it was an ""honour"" to be thought of so highly.","P. Ognissanti teigė, kad jai garbė sulaukti tokių pagyrų.","Mrs. Ognissanti sako „garbė“ būti taip aukštyn vertinta.

Explanation: The English word ""honour"" can be translated into Lithuanian as ""garbė"". It is a formal and respectful way to express the feeling of being proud and honored."
